ablation,baseline_relative_l2,candidate_relative_l2,delta_packet_consistency,delta_phase_error,delta_relative_l2,delta_type,loss_config,scenario
no_symbol,0.3798329532146454,0.39542954166730243,-2072.4224254942164,0.028257936239242554,0.015596588452657045,ablation_vs_full,proxy_0.20_0.05,wave_bicharacteristic_control
no_transport,0.3798329532146454,0.7141379788517952,-44153.576991913214,0.12592891355355573,0.3343050256371498,ablation_vs_full,proxy_0.20_0.05,wave_bicharacteristic_control
oracle_transport,0.3798329532146454,0.3822129809608062,9998.95464795456,-0.04085725545883179,0.0023800277461608066,ablation_vs_full,proxy_0.20_0.05,wave_bicharacteristic_control
randomized_metadata,0.3798329532146454,0.9124657958745956,67949.56178802997,0.15163011352221178,0.5326328426599503,ablation_vs_full,proxy_0.20_0.05,wave_bicharacteristic_control
uno_plus_same_refine,0.3798329532146454,0.055915853939950466,-49667.82295593483,-0.03698555131753278,-0.3239170992746949,ablation_vs_full,proxy_0.20_0.05,wave_bicharacteristic_control
wno_plus_same_refine,0.3798329532146454,0.0823413971811533,-48655.24420417007,-0.0023178309202194214,-0.2974915560334921,ablation_vs_full,proxy_0.20_0.05,wave_bicharacteristic_control
no_symbol,0.3155136536806822,0.33453624602407217,55115.056477864506,-0.003435075283050537,0.019022592343389988,ablation_vs_full,proxy_0.20_0.05,wave_chirp_propagation
no_transport,0.3155136536806822,0.8394277381400267,-812786.4270833334,0.04586138824621844,0.5239140844593445,ablation_vs_full,proxy_0.20_0.05,wave_chirp_propagation
oracle_transport,0.3155136536806822,0.3174977954477072,-46913.61409505224,-0.019049356381098503,0.001984141767024994,ablation_vs_full,proxy_0.20_0.05,wave_chirp_propagation
randomized_metadata,0.3155136536806822,1.0475626736879349,2032496.4291992185,0.07230967283248901,0.7320490200072527,ablation_vs_full,proxy_0.20_0.05,wave_chirp_propagation
uno_plus_same_refine,0.3155136536806822,0.06982440485929449,-1412674.59370931,-0.036032388607661,-0.2456892488213877,ablation_vs_full,proxy_0.20_0.05,wave_chirp_propagation
wno_plus_same_refine,0.3155136536806822,0.11905478779226542,-1478428.555399577,-0.07391628126303362,-0.19645886588841677,ablation_vs_full,proxy_0.20_0.05,wave_chirp_propagation
no_symbol,0.29500810367365676,0.29828450828790665,4599.794259394206,0.004921386639277214,0.0032764046142498837,ablation_vs_full,proxy_0.20_0.05,wave_synth
no_transport,0.29500810367365676,0.537221963206927,-5734.300813551372,0.050730377435684204,0.24221385953327018,ablation_vs_full,proxy_0.20_0.05,wave_synth
randomized_metadata,0.29500810367365676,0.9000948791702589,26598.17251231521,0.1064979682366054,0.6050867754966021,ablation_vs_full,proxy_0.20_0.05,wave_synth
uno_plus_same_refine,0.29500810367365676,0.15395365407069525,-16610.581275554687,-0.0037762969732284546,-0.1410544496029615,ablation_vs_full,proxy_0.20_0.05,wave_synth
wno_plus_same_refine,0.29500810367365676,0.16387615942706665,-16340.80152711024,0.022332633535067314,-0.1311319442465901,ablation_vs_full,proxy_0.20_0.05,wave_synth
no_symbol,0.2038455754518509,0.23614831330875555,156078.4908854167,0.009598538279533386,0.032302737856904656,ablation_vs_full,proxy_0.20_0.05,wave_two_packet_no_interaction
no_transport,0.2038455754518509,0.7769404699405035,86417.99348958331,0.02540300289789843,0.5730948944886526,ablation_vs_full,proxy_0.20_0.05,wave_two_packet_no_interaction
oracle_transport,0.2038455754518509,0.20860057945052782,20713.9609375,0.0022662729024887085,0.004755003998676927,ablation_vs_full,proxy_0.20_0.05,wave_two_packet_no_interaction
randomized_metadata,0.2038455754518509,1.0367232362429302,614676.828125,0.23676632344722748,0.8328776607910793,ablation_vs_full,proxy_0.20_0.05,wave_two_packet_no_interaction
uno_plus_same_refine,0.2038455754518509,0.022191812361901004,-286125.1953125,0.04950122535228729,-0.18165376308994988,ablation_vs_full,proxy_0.20_0.05,wave_two_packet_no_interaction
wno_plus_same_refine,0.2038455754518509,0.029576227301731706,-289676.53792317706,-0.13728869954744982,-0.17426934815011919,ablation_vs_full,proxy_0.20_0.05,wave_two_packet_no_interaction
no_symbol,0.23863624098400274,0.24046997601787248,-8929.704568738744,-0.008156632383664597,0.0018337350338697433,ablation_vs_full,proxy_0.20_0.05,wave_variable_speed_nocaustic
no_transport,0.23863624098400274,0.4559064793090026,-25996.353141754873,0.04163107772668195,0.21727023832499984,ablation_vs_full,proxy_0.20_0.05,wave_variable_speed_nocaustic
randomized_metadata,0.23863624098400274,0.889639638364315,164814.44465451437,0.14895161986351013,0.6510033973803123,ablation_vs_full,proxy_0.20_0.05,wave_variable_speed_nocaustic
uno_plus_same_refine,0.23863624098400274,0.07421016444762547,-46318.29899517074,-0.006439432501792908,-0.16442607653637725,ablation_vs_full,proxy_0.20_0.05,wave_variable_speed_nocaustic
wno_plus_same_refine,0.23863624098400274,0.09690748061984777,-49730.397177795574,0.027663682897885566,-0.14172876036415497,ablation_vs_full,proxy_0.20_0.05,wave_variable_speed_nocaustic
