ablation,batch_size,best_val_loss,campaign,canonical_loss_weight,core_field_weight,core_warmup_epochs,dissipative_symbol_scale,dissipative_time_step,epochs,family,final_train_canonical_consistency,final_train_core_field_loss,final_train_core_warmup_loss,final_train_highfreq_core_loss,final_train_metadata_flow_loss,final_train_packet_space_loss,final_train_residual_energy,final_train_route_l1,final_train_symbol_order_loss,final_train_symbol_proxy,final_train_transport_proxy,frame_type,freeze_refinement_epochs,grad_clip_norm,hardware_profile,height,highfreq_core_loss_weight,highfreq_cutoff,in_channels,learning_rate,local_refine_scale,loss_config,max_modes,max_test_samples,max_train_samples,max_val_samples,metadata_flow_loss_weight,mode_strategy,model,model_variant,oom_fallback,out_channels,packet_space_loss_weight,parameters,patch_size,pdo_symbol_order,pdo_symbol_scale,proxy_temperature,reference_source,refine_lowpass_cutoff,regime,requested_batch_size,residual_energy_weight,route_bias_init,route_l1_weight,row_type,run_id,runtime_seconds,scenario,seed,skip_lowpass_cutoff,skip_reason,source_kind,sparse_topk,stride,symbol_order,symbol_order_loss_weight,symbol_order_target,symbol_parameterization,symbol_proxy_weight,test_canonical_flow_error,test_core_relative_l2,test_dissipative_multiplier_mean,test_dissipative_symbol_norm,test_high_frequency_relative_error_proxy,test_loss,test_metadata_shift_norm,test_packet_consistency,test_packet_wavefront_localization_error,test_pdo_identity_norm,test_pdo_identity_order_proxy,test_phase_error,test_raw_refine_correction_norm,test_refine_correction_norm,test_refine_high_frequency_fraction,test_refine_lowpass_removed_norm,test_refine_relative_energy,test_refinement_energy,test_relative_l2,test_residual_energy,test_route_mean,test_sobolev_h1_error_proxy,test_sobolev_h2_error_proxy,test_symbol_budget,test_symbol_error_proxy,test_symbol_order_proxy,test_symbol_order_scaling_error_proxy,test_symplectic_defect_proxy,test_tokenizer_active_fraction,test_tokenizer_covering_radius,test_tokenizer_phase_window_diameter,test_tokenizer_reconstruction_error,test_transport_budget,test_transported_input_norm,test_transported_input_shift_norm,test_transported_synthesis_shift_norm,test_wavefront_confidence_proxy,test_wf_transport_error_proxy,token_refine_scale,transport_highpass_cutoff,transport_parameterization,transport_proxy_weight,transport_stencil,transported_input_scale,transported_synthesis_scale,wavefront_confidence_scale,weight_decay,width,window_type
full,2,0.00937911141954828,branch_id_v3,0.02,2.0,12,0.0,1.0,24,wave,0.0,0.009534120528163234,0.0,0.0004742761918047715,1.9800267295977392e-05,0.007981312395713758,0.0001425267188703098,0.006447703441760193,0.029650077999879915,0.1010210639021049,0.06627941504120827,gabor_gaussian,12,1.0,,64,1.0,0.16,1,0.0001,0.05,proxy_0.20_0.05,16,0,0,0,2.0,shell_balanced,MiNO-Plus,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0_diss0_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_framegabor_gaussian_sparse1_sklp0.16_tsyn1_tin1_tref0,False,1,0.05,1059764,16,-2.0,0.0,0.05,,0.16,synthetic,2,0.5,-5.0,0.05,run,branch_id_v3_wave_bicharacteristic_control_proxy_0p20_0p05_full_7_hamiltonian_verlet_gabor_gaussian_True_2p0_0p16_0p16_0p16_1p0_1p0_0p0_2p0_0p01_0p05_1p0_2p0_12_12,143.4959834000001,wave_bicharacteristic_control,7,0.16,,synthetic,True,8,0.0,0.01,0.0,,0.05,5.460761030917638e-05,0.36393572948873043,1.0,0.0,1.5782390497624874,0.0072000591026153415,0.018290725303813815,42341.55407632515,0.032609217683784664,0.0,0.0,1.3782300502061844,0.17777534946799278,0.1622562212869525,2.2327040136014458e-14,0.060011391527950764,0.00016558621791773476,0.00016558621791773476,0.35365959256887436,0.00016558621791773476,0.006444624799769372,0.3533062282949686,0.35257524996995926,0.9262033924460411,0.9262033924460411,0.17904503822016218,2.0382773727178574,0.0,0.9011479467153549,0.25,1.0774961709976196,4.878527939319611,0.22435048377762237,8.90392541885376,7.210816740989685,1.6968888342380524,1.4143895680705707,0.004839033979806118,0.0,0.16,hamiltonian_verlet,0.2,12,1.0,1.0,2.0,0.0001,64,gaussian
full,2,0.00405150480219163,branch_id_v3,0.02,2.0,12,0.0,1.0,24,wave,0.0,0.008704391574913947,0.0,0.0004548222880960869,2.0247078244513734e-05,0.008022862447736165,0.0001500872764760667,0.006421022650708134,0.04122327299167713,0.10983032026949029,0.06911769229918718,gabor_gaussian,12,1.0,,64,1.0,0.16,1,0.0001,0.05,proxy_0.20_0.05,16,0,0,0,2.0,shell_balanced,MiNO-Plus,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0_diss0_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_framegabor_gaussian_sparse1_sklp0.16_tsyn1_tin1_tref0,False,1,0.05,1059764,16,-2.0,0.0,0.05,,0.16,synthetic,2,0.5,-5.0,0.05,run,branch_id_v3_wave_bicharacteristic_control_proxy_0p20_0p05_full_11_hamiltonian_verlet_gabor_gaussian_True_2p0_0p16_0p16_0p16_1p0_1p0_0p0_2p0_0p01_0p05_1p0_2p0_12_12,137.7992307000004,wave_bicharacteristic_control,11,0.16,,synthetic,True,8,0.0,0.01,0.0,,0.05,4.907277389065712e-05,0.3968457020819187,1.0,0.0,3.1899911537766457,0.006957643898203969,0.018326459918171167,139960.08093866706,0.0801683149766177,0.0,0.0,1.370799645781517,0.16955567989498377,0.15290244296193123,2.251741883772286e-14,0.06194208189845085,0.00014668918720417423,0.00014668918720417423,0.38719238713383675,0.00014668918720417423,0.006414886796846986,0.38714499771595,0.3867199160158634,0.881640363484621,0.881640363484621,0.20363129302859306,2.952107787132263,0.0,0.8805006220936775,0.25,1.0774961709976196,3.7669263035058975,0.2009952204922835,8.10124284029007,6.861141860485077,1.772635892033577,1.3463483303785324,0.007238714111736044,0.0,0.16,hamiltonian_verlet,0.2,12,1.0,1.0,2.0,0.0001,64,gaussian
full,2,0.008928383380407467,branch_id_v3,0.02,2.0,12,0.0,1.0,24,wave,0.0,0.008618644414430795,0.0,0.0003107230043800276,2.3187266947388707e-05,0.006471227658039425,0.00013775784854412146,0.006426809966797009,0.03294696278559665,0.09224922621312241,0.06740349344909191,gabor_gaussian,12,1.0,,64,1.0,0.16,1,0.0001,0.05,proxy_0.20_0.05,16,0,0,0,2.0,shell_balanced,MiNO-Plus,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0_diss0_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_framegabor_gaussian_sparse1_sklp0.16_tsyn1_tin1_tref0,False,1,0.05,1059764,16,-2.0,0.0,0.05,,0.16,synthetic,2,0.5,-5.0,0.05,run,branch_id_v3_wave_bicharacteristic_control_proxy_0p20_0p05_full_19_hamiltonian_verlet_gabor_gaussian_True_2p0_0p16_0p16_0p16_1p0_1p0_0p0_2p0_0p01_0p05_1p0_2p0_12_12,138.67761429999882,wave_bicharacteristic_control,19,0.16,,synthetic,True,8,0.0,0.01,0.0,,0.05,7.193919145720429e-05,0.40963710844516754,1.0,0.0,2.7155155930668116,0.00978480899357237,0.01835990557447076,2266.7692123241723,0.08559762802906334,0.0,0.0,1.3453895896673203,0.2105735819786787,0.19297555647790432,2.2680854691928525e-14,0.07072266051545739,0.0001886010500129487,0.0001886010500129487,0.39864687994122505,0.0001886010500129487,0.006425536354072392,0.39765163511037827,0.39658767729997635,0.8763925607005755,0.8763925607005755,0.18161286832764745,1.9089008122682571,0.0,0.9121492132544518,0.25,1.0774961709976196,2.1458764150738716,0.27550719647357863,9.81392127275467,8.568718314170837,1.7397096008062363,1.37324042369922,0.0026978518726537004,0.0,0.16,hamiltonian_verlet,0.2,12,1.0,1.0,2.0,0.0001,64,gaussian
no_transport,2,0.029572633327916265,branch_id_v3,0.02,2.0,12,0.0,1.0,24,wave,0.0,0.029765951801285457,0.0,0.020797649417848636,0.9999998211860657,0.008882907296841344,6.804698566990434e-05,0.006431469499754409,0.019235729860762756,0.10125010476137201,0.06653729896061122,gabor_gaussian,12,1.0,,64,1.0,0.16,1,0.0001,0.05,proxy_0.20_0.05,16,0,0,0,2.0,shell_balanced,MiNO-Plus,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0_diss0_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_framegabor_gaussian_sparse1_sklp0.16_tsyn1_tin1_tref0,False,1,0.05,347000,16,-2.0,0.0,0.05,,0.16,synthetic,2,0.5,-5.0,0.05,run,branch_id_v3_wave_bicharacteristic_control_proxy_0p20_0p05_no_transport_7_hamiltonian_verlet_gabor_gaussian_True_2p0_0p16_0p16_0p16_1p0_1p0_0p0_2p0_0p01_0p05_1p0_2p0_12_12,53.44342069999948,wave_bicharacteristic_control,7,0.16,,synthetic,True,8,0.0,0.01,0.0,,0.05,0.018309833481907845,0.6895282790064812,1.0,0.0,2.869762137532234,0.025771527085453272,0.0,24882.77360033244,0.034621938364580274,0.0,0.0,1.4869257062673569,0.0534885604865849,0.048919778782874346,2.0626116874523123e-14,0.0182740050368011,1.487982160597312e-05,1.487982160597312e-05,0.687402032315731,1.487982160597312e-05,0.0064659048221074045,0.6899187192320824,0.6921726763248444,0.9591270436843237,0.9591270436843237,0.1413056180269147,3.1700226962566376,0.0,0.9011479467153549,0.25,1.0774961709976196,4.878527939319611,0.0,9.833640992641449,3.323233613627963e-05,3.4190633755315503e-06,0.0,0.02066980383824557,0.0,0.16,hamiltonian_verlet,0.2,12,1.0,1.0,2.0,0.0001,64,gaussian
no_transport,2,0.03245090297423303,branch_id_v3,0.02,2.0,12,0.0,1.0,24,wave,0.0,0.029860080976504833,0.0,0.02164725898425483,0.9999998211860657,0.008872557322320063,0.00010763574922142045,0.006445271661505103,0.030467460746876895,0.11007453547790647,0.06918731642266114,gabor_gaussian,12,1.0,,64,1.0,0.16,1,0.0001,0.05,proxy_0.20_0.05,16,0,0,0,2.0,shell_balanced,MiNO-Plus,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0_diss0_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_framegabor_gaussian_sparse1_sklp0.16_tsyn1_tin1_tref0,False,1,0.05,347000,16,-2.0,0.0,0.05,,0.16,synthetic,2,0.5,-5.0,0.05,run,branch_id_v3_wave_bicharacteristic_control_proxy_0p20_0p05_no_transport_11_hamiltonian_verlet_gabor_gaussian_True_2p0_0p16_0p16_0p16_1p0_1p0_0p0_2p0_0p01_0p05_1p0_2p0_12_12,51.865137400000094,wave_bicharacteristic_control,11,0.16,,synthetic,True,8,0.0,0.01,0.0,,0.05,0.018309833481907845,0.6869170516729355,1.0,0.0,3.1915145069360733,0.02174569375347346,0.0,26909.495461031795,0.02751608076505363,0.0,0.0,1.4711520671844482,0.14451120048761368,0.13019835017621517,2.1165401364458018e-14,0.053299151826649904,0.00010595664616630529,0.00010595664616630529,0.6816752701997757,0.00010595664616630529,0.006438522366806865,0.6843262985348701,0.6868148520588875,1.0308882966637611,1.0308882966637611,0.17473437494481914,3.1420178711414337,0.0,0.8805006220936775,0.25,1.0774961709976196,3.7669263035058975,0.0,8.757285833358765,2.6863327093451517e-05,3.5427731290837983e-06,0.0,0.01805737824179232,0.0,0.16,hamiltonian_verlet,0.2,12,1.0,1.0,2.0,0.0001,64,gaussian
no_transport,2,0.02808095107320696,branch_id_v3,0.02,2.0,12,0.0,1.0,24,wave,0.0,0.035971224666961156,0.0,0.02764948207186535,0.9999998211860657,0.007090566073505518,9.159427272228034e-05,0.006449207779951394,0.02755646042836209,0.09397023582520585,0.06769676227122545,gabor_gaussian,12,1.0,,64,1.0,0.16,1,0.0001,0.05,proxy_0.20_0.05,16,0,0,0,2.0,shell_balanced,MiNO-Plus,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0_diss0_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_framegabor_gaussian_sparse1_sklp0.16_tsyn1_tin1_tref0,False,1,0.05,347000,16,-2.0,0.0,0.05,,0.16,synthetic,2,0.5,-5.0,0.05,run,branch_id_v3_wave_bicharacteristic_control_proxy_0p20_0p05_no_transport_19_hamiltonian_verlet_gabor_gaussian_True_2p0_0p16_0p16_0p16_1p0_1p0_0p0_2p0_0p01_0p05_1p0_2p0_12_12,51.081305200001225,wave_bicharacteristic_control,19,0.16,,synthetic,True,8,0.0,0.01,0.0,,0.05,0.018309833481907845,0.7793519012629986,1.0,0.0,3.9093984961509705,0.0332701753359288,0.0,315.4041902124882,0.027948506642132998,0.0,0.0,1.514128252863884,0.17659700848162174,0.16058097872883081,2.2025823996784277e-14,0.06155369896441698,0.00013067186637272243,0.00013067186637272243,0.7733366340398788,0.00013067186637272243,0.006446369341574609,0.7745093889534473,0.7758164629340172,0.9442970231175423,0.9442970231175423,0.1662113950587809,2.6991618871688843,0.0,0.9121492132544518,0.25,1.0774961709976196,2.1458764150738716,0.0,10.53374981880188,3.0498858677674434e-05,2.365748969168635e-06,0.0,0.008393020776566118,0.0,0.16,hamiltonian_verlet,0.2,12,1.0,1.0,2.0,0.0001,64,gaussian
randomized_metadata,2,0.045827808789908886,branch_id_v3,0.02,2.0,12,0.0,1.0,24,wave,0.0,0.043558247930680714,0.0,0.033053523142977305,766.0546925862631,0.009266282962926198,3.382808685614691e-06,0.006451041001128033,0.0003068130905982495,0.1321220858177791,0.041078516631387174,gabor_gaussian,12,1.0,,64,1.0,0.16,1,0.0001,0.05,proxy_0.20_0.05,16,0,0,0,2.0,shell_balanced,MiNO-Plus,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0_diss0_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_framegabor_gaussian_sparse1_sklp0.16_tsyn1_tin1_tref0,False,1,0.05,1059764,16,-2.0,0.0,0.05,,0.16,synthetic,2,0.5,-5.0,0.05,run,branch_id_v3_wave_bicharacteristic_control_proxy_0p20_0p05_randomized_metadata_7_hamiltonian_verlet_gabor_gaussian_True_2p0_0p16_0p16_0p16_1p0_1p0_0p0_2p0_0p01_0p05_1p0_2p0_12_12,144.7437217000006,wave_bicharacteristic_control,7,0.16,,synthetic,True,8,0.0,0.01,0.0,,0.05,0.4615752808749676,0.9245525971055031,1.0,0.0,6.793163865804672,0.04144071601331234,0.4623792804777622,71859.12439115345,0.20958757866173983,0.0,0.0,1.5241974890232086,0.00646947615314275,0.006362806481774896,1.6600909688898452e-14,0.001117166168114636,2.3896952860980036e-07,2.3896952860980036e-07,0.9151555746793747,2.3896952860980036e-07,0.00652053247904405,0.930268719792366,0.9344558566808701,0.8797340380648772,0.8797340380648772,0.011953163649498796,3.383353143930435,0.0,0.9011479467153549,0.25,1.0774961709976196,4.878527939319611,0.18880454699198404,5.232440412044525,11.688569784164429,0.8718862980604172,0.0,0.10889965947717428,0.0,0.16,hamiltonian_verlet,0.2,12,1.0,1.0,2.0,0.0001,64,gaussian
randomized_metadata,2,0.037001256132498384,branch_id_v3,0.02,2.0,12,0.0,1.0,24,wave,0.0,0.03778670961037278,0.0,0.02795947657432407,771.2117665608724,0.009189469329915786,3.067447296463873e-06,0.006485174720486005,8.812915962153056e-05,0.13934131083078682,0.04263607024525603,gabor_gaussian,12,1.0,,64,1.0,0.16,1,0.0001,0.05,proxy_0.20_0.05,16,0,0,0,2.0,shell_balanced,MiNO-Plus,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0_diss0_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_framegabor_gaussian_sparse1_sklp0.16_tsyn1_tin1_tref0,False,1,0.05,1059764,16,-2.0,0.0,0.05,,0.16,synthetic,2,0.5,-5.0,0.05,run,branch_id_v3_wave_bicharacteristic_control_proxy_0p20_0p05_randomized_metadata_11_hamiltonian_verlet_gabor_gaussian_True_2p0_0p16_0p16_0p16_1p0_1p0_0p0_2p0_0p01_0p05_1p0_2p0_12_12,143.47929169999952,wave_bicharacteristic_control,11,0.16,,synthetic,True,8,0.0,0.01,0.0,,0.05,0.4571245461702347,0.9041920825839043,1.0,0.0,12.618809908628464,0.03626583982259035,0.45759328082203865,314308.64601653814,0.2809637803584337,0.0,0.0,1.5120956599712372,0.0031718663522042334,0.0031022297916933894,1.8051868551336478e-14,0.000629837089945795,5.921767387562227e-08,5.921767387562227e-08,0.9058381095528603,5.921767387562227e-08,0.006570499972440302,0.9120588526129723,0.9164955019950867,0.8476070339481035,0.8476070339481035,0.02088794613761517,3.5720063745975494,0.0,0.8805006220936775,0.25,1.0774961709976196,3.7669263035058975,0.17202209122478962,4.997083902359009,10.27094441652298,1.281099021434784,0.0,0.09872758854180574,0.0,0.16,hamiltonian_verlet,0.2,12,1.0,1.0,2.0,0.0001,64,gaussian
randomized_metadata,2,0.036382590886205435,branch_id_v3,0.02,2.0,12,0.0,1.0,24,wave,0.0,0.04264430001300449,0.0,0.03348808885008717,771.3617477416992,0.007314745373150799,4.658150859408276e-06,0.006405956577509642,0.00986723277795439,0.12028990507436295,0.041154346195980906,gabor_gaussian,12,1.0,,64,1.0,0.16,1,0.0001,0.05,proxy_0.20_0.05,16,0,0,0,2.0,shell_balanced,MiNO-Plus,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0_diss0_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_framegabor_gaussian_sparse1_sklp0.16_tsyn1_tin1_tref0,False,1,0.05,1059764,16,-2.0,0.0,0.05,,0.16,synthetic,2,0.5,-5.0,0.05,run,branch_id_v3_wave_bicharacteristic_control_proxy_0p20_0p05_randomized_metadata_19_hamiltonian_verlet_gabor_gaussian_True_2p0_0p16_0p16_0p16_1p0_1p0_0p0_2p0_0p01_0p05_1p0_2p0_12_12,131.95140990000073,wave_bicharacteristic_control,19,0.16,,synthetic,True,8,0.0,0.01,0.0,,0.05,0.4623017981648445,0.9207179993391037,1.0,0.0,13.514443039894104,0.047117538284510374,0.4627702385187149,2249.319183714688,0.22038941597566009,0.0,0.0,1.513016477227211,0.0026814877637661994,0.002643424639245495,1.8030890403969186e-14,0.00039698207183391787,3.5295906419818834e-08,3.5295906419818834e-08,0.916403703391552,3.5295906419818834e-08,0.006559618224855512,0.9248827397823334,0.9289219900965691,0.8520691941181818,0.8520691941181818,0.08358491398394108,3.541377156972885,0.0,0.9121492132544518,0.25,1.0774961709976196,2.1458764150738716,0.22835840719441572,5.243288040161133,12.069801568984985,0.4889988340437412,0.0,0.11855948576703668,0.0,0.16,hamiltonian_verlet,0.2,12,1.0,1.0,2.0,0.0001,64,gaussian
no_symbol,2,0.010287501601851545,branch_id_v3,0.02,2.0,12,0.0,1.0,24,wave,0.0,0.010178217465484826,0.0,0.0003540205933253067,2.7418509347398867e-05,0.008526412003751224,3.2895719328962514e-05,0.006440020214843874,0.0,0.10251392136948805,0.06627621276614566,gabor_gaussian,12,1.0,,64,1.0,0.16,1,0.0001,0.05,proxy_0.20_0.05,16,0,0,0,2.0,shell_balanced,MiNO-Plus,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0_diss0_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_framegabor_gaussian_sparse1_sklp0.16_tsyn1_tin1_tref0,False,1,0.05,854708,16,-2.0,0.0,0.05,,0.16,synthetic,2,0.5,-5.0,0.05,run,branch_id_v3_wave_bicharacteristic_control_proxy_0p20_0p05_no_symbol_7_hamiltonian_verlet_gabor_gaussian_True_2p0_0p16_0p16_0p16_1p0_1p0_0p0_2p0_0p01_0p05_1p0_2p0_12_12,122.36548529999891,wave_bicharacteristic_control,7,0.16,,synthetic,True,8,0.0,0.01,0.0,,0.05,4.6684111111972015e-05,0.38601766899228096,1.0,0.0,1.3200544603168964,0.00812665731064044,0.018307416699826717,52831.44550040923,0.041323927347548306,0.0,0.0,1.4774184823036194,0.08958165533840656,0.08255110448226333,2.2355134524808988e-14,0.028912212932482362,4.277920447748329e-05,4.277920447748329e-05,0.3808119557797909,4.277920447748329e-05,0.0064322041580453515,0.3810054026544094,0.380232609808445,0.0,0.0,0.0,2.3021355122327805,0.0,0.9011479467153549,0.25,1.0774961709976196,4.878527939319611,0.4222532231360674,9.05751234292984,7.350214898586273,1.322752133011818,0.8835883624851704,0.005726505667553283,0.0,0.16,hamiltonian_verlet,0.2,12,1.0,1.0,2.0,0.0001,64,gaussian
