ablation,family,loss_config,mean_final_train_canonical_consistency,mean_final_train_core_field_loss,mean_final_train_core_warmup_loss,mean_final_train_highfreq_core_loss,mean_final_train_packet_space_loss,mean_final_train_residual_energy,mean_final_train_route_l1,mean_final_train_symbol_order_loss,mean_final_train_symbol_proxy,mean_final_train_transport_proxy,mean_runtime_seconds,mean_test_canonical_flow_error,mean_test_core_relative_l2,mean_test_dissipative_multiplier_mean,mean_test_dissipative_symbol_norm,mean_test_high_frequency_relative_error_proxy,mean_test_metadata_shift_norm,mean_test_packet_consistency,mean_test_packet_wavefront_localization_error,mean_test_pdo_identity_norm,mean_test_pdo_identity_order_proxy,mean_test_phase_error,mean_test_raw_refine_correction_norm,mean_test_refine_correction_norm,mean_test_refine_high_frequency_fraction,mean_test_refine_lowpass_removed_norm,mean_test_refine_relative_energy,mean_test_refinement_energy,mean_test_relative_l2,mean_test_residual_energy,mean_test_route_mean,mean_test_sobolev_h1_error_proxy,mean_test_sobolev_h2_error_proxy,mean_test_symbol_budget,mean_test_symbol_error_proxy,mean_test_symbol_order_proxy,mean_test_symbol_order_scaling_error_proxy,mean_test_symplectic_defect_proxy,mean_test_tokenizer_active_fraction,mean_test_tokenizer_covering_radius,mean_test_tokenizer_phase_window_diameter,mean_test_tokenizer_reconstruction_error,mean_test_transport_budget,mean_test_transported_input_norm,mean_test_transported_input_shift_norm,mean_test_transported_synthesis_shift_norm,mean_test_wavefront_confidence_proxy,mean_test_wf_transport_error_proxy,model_variant,regime,runs,scenario,std_final_train_canonical_consistency,std_final_train_core_field_loss,std_final_train_core_warmup_loss,std_final_train_highfreq_core_loss,std_final_train_packet_space_loss,std_final_train_residual_energy,std_final_train_route_l1,std_final_train_symbol_order_loss,std_final_train_symbol_proxy,std_final_train_transport_proxy,std_runtime_seconds,std_test_canonical_flow_error,std_test_core_relative_l2,std_test_dissipative_multiplier_mean,std_test_dissipative_symbol_norm,std_test_high_frequency_relative_error_proxy,std_test_metadata_shift_norm,std_test_packet_consistency,std_test_packet_wavefront_localization_error,std_test_pdo_identity_norm,std_test_pdo_identity_order_proxy,std_test_phase_error,std_test_raw_refine_correction_norm,std_test_refine_correction_norm,std_test_refine_high_frequency_fraction,std_test_refine_lowpass_removed_norm,std_test_refine_relative_energy,std_test_refinement_energy,std_test_relative_l2,std_test_residual_energy,std_test_route_mean,std_test_sobolev_h1_error_proxy,std_test_sobolev_h2_error_proxy,std_test_symbol_budget,std_test_symbol_error_proxy,std_test_symbol_order_proxy,std_test_symbol_order_scaling_error_proxy,std_test_symplectic_defect_proxy,std_test_tokenizer_active_fraction,std_test_tokenizer_covering_radius,std_test_tokenizer_phase_window_diameter,std_test_tokenizer_reconstruction_error,std_test_transport_budget,std_test_transported_input_norm,std_test_transported_input_shift_norm,std_test_transported_synthesis_shift_norm,std_test_wavefront_confidence_proxy,std_test_wf_transport_error_proxy
full,wave,proxy_0.20_0.05,0.0,0.008952385505835991,0.0,0.00041327382809362863,0.007491800833829782,0.00014345728129683266,0.006431845353088445,0.03460677125905123,0.10103353679490587,0.06760020026316245,139.99094279999977,5.8539858552345926e-05,0.3901395133386056,1.0,0.0,2.4945819322019815,0.018325696932151914,61522.80140910546,0.06612505356315523,0.0,0.0,1.364806428551674,0.18596820378055176,0.169378073575596,2.2508437888555282e-14,0.06422537798061967,0.00016695881837828588,0.00016695881837828588,0.3798329532146454,0.00016695881837828588,0.0064283493168962496,0.37936762037376565,0.37862761442859966,0.8947454388770792,0.8947454388770792,0.1880963998588009,2.2997619907061257,0.0,0.8979325940211614,0.25,1.0774961709976196,3.5971102192997932,0.2336176335811615,8.939696510632833,7.5468923052151995,1.7364114423592885,1.377992774049441,0.0049251999880652875,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0_diss0_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_framegabor_gaussian_sparse1_sklp0.16_tsyn1_tin1_tref0,synthetic,3,wave_bicharacteristic_control,0.0,0.0005056183056756235,0.0,8.934269514420446e-05,0.0008840864251094903,6.217166404761899e-06,1.4035045034444561e-05,0.005962460373533206,0.00879055366484413,0.00142932663387919,3.06706238001847,1.192959325653464e-05,0.023577186753844768,0.0,0.0,0.8282783186078628,3.459644595606846e-05,70822.32847395606,0.02915223492418792,0.0,0.0,0.017221003213350832,0.02170159485330533,0.020964355266307595,1.770781694058592e-16,0.005709019318570915,2.0989618506385765e-05,2.0989618506385765e-05,0.023379156464441234,2.0989618506385765e-05,1.5067241762819874e-05,0.023173141244727434,0.023095182367853958,0.02736945360388623,0.02736945360388623,0.013514737038243414,0.568639474697792,0.0,0.016067426686514005,0.0,0.0,1.3742176738355394,0.038110611255530946,0.8568993707038474,0.9020334943601779,0.03798108184380107,0.03426866107764568,0.002271657083345871
no_symbol,wave,proxy_0.20_0.05,0.0,0.009427363166145774,0.0,0.0003569228215888466,0.007873696380961014,7.69964074373143e-05,0.006428882922692638,0.0,0.10268913561271296,0.06759948185127643,120.53944449999956,5.7125305223356314e-05,0.4029160626232624,1.0,0.0,1.6657142800589402,0.01833957441461583,59450.37898361124,0.0691277301327015,0.0,0.0,1.3930643647909164,0.13676411844789982,0.1252988224538664,2.167241749899255e-14,0.04609254258684814,9.458425355054108e-05,9.458425355054108e-05,0.39542954166730243,9.458425355054108e-05,0.006422549350342403,0.3951400617758433,0.3942692515750726,0.0,0.0,0.0,2.078510840733846,0.0,0.8979325940211614,0.25,1.0774961709976196,3.5971102192997932,0.535377986729145,9.000085612138113,7.604630907376607,1.1230777601401012,0.7037842940125201,0.00499918977826989,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0_diss0_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_framegabor_gaussian_sparse1_sklp0.16_tsyn1_tin1_tref0,synthetic,3,wave_bicharacteristic_control,0.0,0.0006598369483815036,0.0,9.527289865887105e-05,0.0009380994230800173,3.843244661929773e-05,1.2081734589513352e-05,0.0,0.007947323556729396,0.001431288419146452,1.6016603594466463,9.052048708637715e-06,0.015307094478598696,0.0,0.0,0.4702220850260847,2.8094020812929043e-05,60673.953191552006,0.024954536329306016,0.0,0.0,0.07508776735349768,0.046203776628438824,0.04238332838316849,1.2597093687908806e-15,0.015787101787033544,4.9710421503864964e-05,4.9710421503864964e-05,0.01313968675003635,4.9710421503864964e-05,1.0402178965022287e-05,0.012565145040567405,0.012404167107014629,0.0,0.0,0.0,0.478780940835605,0.0,0.016067426686514005,0.0,0.0,1.3742176738355394,0.10858922491104607,0.847924971702021,0.8697398048574887,0.2765121770664366,0.156786517513742,0.0032192553380690795
no_transport,wave,proxy_0.20_0.05,0.0,0.03186575248158381,0.0,0.02336479682465627,0.008282010230888974,8.909233587120171e-05,0.006441982980403636,0.02575321701200058,0.10176495868816145,0.0678071258848326,52.1299544333336,0.018309833481907845,0.7185990773141384,1.0,0.0,3.323558380206426,0.0,17369.22441719224,0.0300288419239223,0.0,0.0,1.4907353421052296,0.12486558981860678,0.11323303589597344,2.1272447411921807e-14,0.044375618609289326,8.383611138166695e-05,8.383611138166695e-05,0.7141379788517952,8.383611138166695e-05,0.00645026551016296,0.7162514689067999,0.7182679971059164,0.9781041211552091,0.9781041211552091,0.16075046267683823,3.0037341515223184,0.0,0.8979325940211614,0.25,1.0774961709976196,3.5971102192997932,0.0,9.708225548267365,3.0198173969135194e-05,3.1091951579279944e-06,0.0,0.01570673428553467,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0_diss0_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_framegabor_gaussian_sparse1_sklp0.16_tsyn1_tin1_tref0,synthetic,3,wave_bicharacteristic_control,0.0,0.0035557546982443993,0.0,0.0037348835128515816,0.0010318338847002115,1.9912617002532628e-05,9.315214094536153e-06,0.005828954433559326,0.00806448527498446,0.0013284514416036035,1.2031182214107925,0.0,0.052629685923134314,0.0,0.0,0.5322477129041365,0.0,14803.766028472855,0.003983610073749773,0.0,0.0,0.02173989714329941,0.06386223458238305,0.05773146724112637,7.059668187920486e-16,0.0229783606993195,6.0983095626452214e-05,6.0983095626452214e-05,0.05134743940199358,6.0983095626452214e-05,1.4100879824434691e-05,0.05053026546966503,0.0499103797780811,0.04630992621016594,0.04630992621016594,0.017370572360437597,0.26413872438070674,0.0,0.016067426686514005,0.0,0.0,1.3742176738355394,0.0,0.89484794694952,3.195133411513291e-06,6.468077013043385e-07,0.0,0.006467147427011607
oracle_transport,wave,proxy_0.20_0.05,0.0,0.009006655797242679,0.0,0.0004245035653790789,0.0074724858463418465,0.0001400592033683602,0.00643672210086758,0.023515718976139195,0.10190573047536115,0.06759924710624748,74.96457523333326,3.9114045335963965e-08,0.39176168230672676,1.0,0.0,2.501053867240747,0.018309803679585457,71521.75605706002,0.06740771319406728,0.0,0.0,1.323949173092842,0.17239569903661808,0.15713735514630875,2.2339662197477968e-14,0.05936489533632994,0.00014502432183386796,0.00014502432183386796,0.3822129809608062,0.00014502432183386796,0.006435440620407462,0.3817847104122241,0.3810226631661256,0.8508783309823937,0.8508783309823937,0.14818103199973442,2.518107702334722,0.0,0.8979325940211614,0.25,1.0774961709976196,3.5971102192997932,0.2594139254134562,8.97342598438263,7.58005490899086,1.8419673591852188,0.0,0.005133626124006696,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0_diss0_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_framegabor_gaussian_sparse1_sklp0.16_tsyn1_tin1_tref0,synthetic,3,wave_bicharacteristic_control,0.0,0.0005304561584705047,0.0,7.410983784325714e-05,0.0009107812249186433,1.2907699986483274e-05,4.658679597383657e-06,0.010506286590542074,0.008277963097403924,0.0014311040015354088,0.7517002346309897,0.0,0.020279412335301963,0.0,0.0,0.6497974965289294,0.0,85605.57043511163,0.02898352846686069,0.0,0.0,0.04983722246463158,0.03973955536977676,0.036485469464479066,6.67946732044583e-16,0.013790821501653004,4.9322972798862345e-05,4.9322972798862345e-05,0.018512099989203813,4.9322972798862345e-05,7.443646158751585e-06,0.01812318275291246,0.018025338315510123,0.021761958602071686,0.021761958602071686,0.03695273904811266,0.49412172383100994,0.0,0.016067426686514005,0.0,0.0,1.3742176738355394,0.050718151376451415,0.8284135236265872,0.8478624337018805,0.3360864988735674,0.0,0.002312613406846738
randomized_metadata,wave,proxy_0.20_0.05,0.0,0.041329752518019326,0.0,0.03150036285579618,0.00859016588866426,3.7028022804956135e-06,0.00644739076637456,0.00342072500939139,0.13058443390764296,0.0416229776908747,140.05814110000028,0.4603338750700156,0.9164875596761703,1.0,0.0,10.975472271442413,0.4609142666061719,129472.36319713543,0.23698025833194455,0.0,0.0,1.5164365420738857,0.004107610089704394,0.00403615363757126,1.756122288140137e-14,0.0007146617766314497,1.1116103630174716e-07,1.1116103630174716e-07,0.9124657958745956,1.1116103630174716e-07,0.006550216892113288,0.9224034373958906,0.9266244495908419,0.8598034220437208,0.8598034220437208,0.03880867459035168,3.4989122251669564,0.0,0.8979325940211614,0.25,1.0774961709976196,3.5971102192997932,0.19639501513706312,5.157604118188222,11.343105256557465,0.8806613845129808,0.0,0.10872891126200557,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0_diss0_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_framegabor_gaussian_sparse1_sklp0.16_tsyn1_tin1_tref0,synthetic,3,wave_bicharacteristic_control,0.0,0.0031022072759769857,0.0,0.003074185840541691,0.0011052140978554937,8.42247814995454e-07,3.9735018616737524e-05,0.00558391014191885,0.00961833121552456,0.0008781827392540679,7.049043471848531,0.002802998543229953,0.010819431718087082,0.0,0.0,3.649563998117618,0.0028826935288472602,163813.0636735821,0.03847184138730682,0.0,0.0,0.006736928028959452,0.002060079189307044,0.0020279572567139664,8.317217632346187e-16,0.00036750878049021944,1.1132978383656215e-07,1.1132978383656215e-07,0.005773571321550383,1.1132978383656215e-07,2.6276917476630385e-05,0.009354679092056358,0.009197967405431374,0.01740401705305237,0.01740401705305237,0.03903384807063618,0.10124210184131144,0.0,0.016067426686514005,0.0,0.0,1.3742176738355394,0.028925015630998065,0.13912035266750875,0.9478824128640408,0.3961229964580682,0.0,0.009917051129381559
uno_plus_same_refine,wave,proxy_0.20_0.05,0.0,0.00013547874401511863,0.0,0.00011481515741706971,0.0,5.85931284683335e-10,0.006340098457359191,0.0,0.0,0.0,17.65701476666618,0.0,0.05591735693936547,0.0,0.0,1.6623544581234455,0.0,11854.978453170625,0.004341892987819544,0.0,0.0,1.327820877234141,0.00037689988372828037,0.00031753659338088863,1.6052553811382338e-14,0.00018991075921803713,5.441213694890035e-10,5.441213694890035e-10,0.055915853939950466,5.441213694890035e-10,0.006325015701198329,0.058889754582196474,0.06066928726310531,0.0,0.0,0.0,2.7411147356033325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004760620062976765,UNOplusSameRefine_same_ref0.05,synthetic,3,wave_bicharacteristic_control,0.0,1.1900163206030594e-05,0.0,1.1286886246570419e-05,0.0,2.6928826749075067e-10,1.5671791411914948e-09,0.0,0.0,0.0,0.14920787817716252,0.0,0.01052842317032573,0.0,0.0,0.5257342015739027,0.0,15868.488206481536,0.001160222837612008,0.0,0.0,0.025386881530244144,7.655532141989279e-05,7.355660502532834e-05,6.182763430898754e-15,3.852229041320898e-05,1.7774035548815863e-10,1.7774035548815863e-10,0.010528377831396865,1.7774035548815863e-10,5.217086546956854e-09,0.010765315815501124,0.010857873234697358,0.0,0.0,0.0,0.033534861260469215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003718887876011219
wno_plus_same_refine,wave,proxy_0.20_0.05,0.0,0.00032893205464764225,0.0,0.00026098911911908037,0.0,2.2685599470506328e-09,0.0063401041035023,0.0,0.0,0.0,7.107122400000662,0.0,0.08233928012972076,0.0,0.0,1.226380114754041,0.0,12867.557204935389,0.009006739099277183,0.0,0.0,1.3624885976314545,0.0007658438747360682,0.0005869452985886406,1.1862291138677735e-14,0.0004240745347487973,2.4094599903231226e-09,2.4094599903231226e-09,0.0823413971811533,2.4094599903231226e-09,0.006325044494587928,0.08414584351703525,0.08498468343168497,0.0,0.0,0.0,0.5655952493349711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011714269804845875,WNO-styleplusSameRefine_same_ref0.05,synthetic,3,wave_bicharacteristic_control,0.0,3.114317954415214e-05,0.0,1.812996840996738e-05,0.0,2.1034546494288968e-09,3.7648495962853934e-09,0.0,0.0,0.0,0.03264801644574329,0.0,0.011724144490235682,0.0,0.0,0.2984607505497209,0.0,17566.477774585284,0.0006491094648958861,0.0,0.0,0.048955175214886654,0.0002837724614577591,0.0003046933262532001,4.409909138009339e-15,0.00015759074324068597,2.4392583415821485e-09,2.4392583415821485e-09,0.011730561819625888,2.4392583415821485e-09,2.52524664196293e-08,0.012437195731679337,0.012689636586035582,0.0,0.0,0.0,0.12502425823190758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007266572182726362
full,wave,proxy_0.20_0.05,0.0,0.0010512151494721264,0.0,0.00011926694698003201,0.0016409993659181055,1.2502379399216403e-05,0.006350340745282463,0.004984706668134701,0.05459364144998189,0.10882631337477101,130.62417019999944,4.3971737492635533e-05,0.31801464439680177,1.0,0.0,7.159470234066248,0.017528757996236283,1654997.089029948,0.06952010973085028,0.0,0.0,1.4631936997175217,0.021400874305982143,0.016349550103768706,2.4570372944913504e-14,0.011446517154884836,1.2252901275526066e-05,1.2252901275526066e-05,0.3155136536806822,1.2252901275526066e-05,0.006344101624563336,0.31560287686685723,0.31538158655166626,0.9445538578761948,0.9445538578761948,-0.02141110768051943,0.7912660613656044,0.0,0.4967314936220646,0.25,1.0774961709976196,0.5932435983171066,0.21382866044425303,4.109800785779953,4.36277558406194,1.2892126863201459,1.3809691700670454,0.005577420388969283,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0_diss0_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_framegabor_gaussian_sparse1_sklp0.16_tsyn1_tin1_tref0,synthetic,3,wave_chirp_propagation,0.0,0.00016682022339064738,0.0,6.176678606378387e-05,0.0007563153788078536,5.925916486992762e-06,7.467942828543282e-06,0.0026834624755380345,0.008164207485446653,0.0004137731257790247,1.0510708533410806,6.5143579476786105e-06,0.07104090843004544,0.0,0.0,4.415461096365851,1.0442395301750065e-05,336829.2172174638,0.03005581696494286,0.0,0.0,0.05511196001193528,0.004049450007345326,0.002883718880678394,9.985089165245709e-16,0.0033702315712754636,3.373004229893229e-06,3.373004229893229e-06,0.07066656713635631,3.373004229893229e-06,1.6383228175028722e-05,0.07010277904547926,0.06971784840806329,0.0353555128882555,0.0353555128882555,0.08125208349350681,0.08049028535806739,0.0,0.013847329607521936,0.0,0.0,0.13730731467394844,0.02237075725829094,0.11966561509234024,0.6515517028886608,0.23818361603942775,0.035013665741826024,0.0008430797112520712
no_symbol,wave,proxy_0.20_0.05,0.0,0.0012297442155563153,0.0,6.063204830297764e-05,0.0011065859414429724,1.2441333662824602e-05,0.006353486710900648,0.0,0.06512972994500564,0.10883356723934412,120.09043326666627,2.7108559379485087e-05,0.3372666935125987,1.0,0.0,4.564379337243736,0.017544447211548686,1710112.1455078125,0.07313940509629901,0.0,0.0,1.4597586244344711,0.020748522869932156,0.016418788097022723,2.499854301755287e-14,0.010541587408321599,1.2526878009270584e-05,1.2526878009270584e-05,0.33453624602407217,1.2526878009270584e-05,0.006358277537704756,0.3341497915486495,0.333608675437669,0.0,0.0,0.0,1.3412564843893051,0.0,0.4967314936220646,0.25,1.0774961709976196,0.5932435983171066,0.6017716340720654,4.137475311756134,4.414579937855403,0.716343529522419,1.0954867245422468,0.0029058578899518275,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0_diss0_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_framegabor_gaussian_sparse1_sklp0.16_tsyn1_tin1_tref0,synthetic,3,wave_chirp_propagation,0.0,0.0002283360171938259,0.0,3.484072622611477e-05,7.065303195407741e-05,4.164850213767232e-06,5.017830876816962e-06,0.0,0.004972741358327768,0.00041824688673131657,0.8467234611996529,7.0807615084794585e-06,0.06275131213472784,0.0,0.0,2.089619683115548,4.287513830738769e-06,360317.53074138984,0.030178509416777646,0.0,0.0,0.03669087387115594,0.005094687902750577,0.005312774468757693,8.901420520849648e-16,0.0017585621037429402,6.045298000925974e-06,6.045298000925974e-06,0.06190511971910916,6.045298000925974e-06,3.6297550955406604e-05,0.061371539804746786,0.06096126852718756,0.0,0.0,0.0,0.43124991108910826,0.0,0.013847329607521936,0.0,0.0,0.13730731467394844,0.0585836392923302,0.10518783273352603,0.6189893113483049,0.06473340573779127,0.16408737243136376,0.0008167542272942205
no_transport,wave,proxy_0.20_0.05,0.0,0.006584010214687118,0.0,0.005611174310009422,0.0012134622529376632,1.1399527595428665e-06,0.006379645272520267,0.02549545424214254,0.06260000419570133,0.10888490189487736,48.96536219999992,0.017541948705911636,0.8397212028503418,1.0,0.0,13.74468769878149,0.0,842210.6619466146,0.03891962037111322,0.0,0.0,1.50905508796374,0.005228417663602158,0.0038862695388767556,2.4113719977701133e-14,0.002874843092286028,8.029202658669613e-07,8.029202658669613e-07,0.8394277381400267,8.029202658669613e-07,0.006383475265465677,0.8426135058204333,0.8456562000016371,0.9438830787936846,0.9438830787936846,0.159160819887701,1.4535880809028943,0.0,0.4967314936220646,0.25,1.0774961709976196,0.5932435983171066,0.0,4.359236866235733,1.4140889940487492e-05,3.4100261553741498e-06,0.0,0.018915509805083275,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0_diss0_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_framegabor_gaussian_sparse1_sklp0.16_tsyn1_tin1_tref0,synthetic,3,wave_chirp_propagation,0.0,0.0005508443882695316,0.0,0.00041706682817894676,0.00011288141599865449,9.896970000603606e-07,1.8197852345190662e-05,0.010708021413105092,0.003871553066529961,0.0003362858700419428,1.0350882352746151,0.0,0.17133125295571205,0.0,0.0,8.569748518870016,0.0,349968.219423713,0.008595836087718259,0.0,0.0,0.08025259799812007,0.0027904031177420087,0.0015565008452501537,1.2981072381236218e-15,0.0019961124973316433,7.196266405155322e-07,7.196266405155322e-07,0.17130973079512313,7.196266405155322e-07,3.822903211500629e-05,0.17111473579824307,0.1709087060462912,0.021563693467830852,0.021563693467830852,0.04580082926860201,0.24439015309709491,0.0,0.013847329607521936,0.0,0.0,0.13730731467394844,0.0,0.1766468685120709,1.253436815466545e-06,1.0962501604436958e-06,0.0,0.006710192937685949
