ablation,baseline_relative_l2,candidate_relative_l2,delta_packet_consistency,delta_phase_error,delta_relative_l2,delta_type,loss_config,scenario
full_no_flow_supervision,0.3780922976632913,0.37852480448782444,-2337.0330693883225,-0.02596905827522278,0.00043250682453316314,ablation_vs_full,proxy_0.20_0.05,wave_bicharacteristic_control
identity_transport,0.3780922976632913,0.7136502216259638,-34970.74822918947,0.08561800916989637,0.33555792396267253,ablation_vs_full,proxy_0.20_0.05,wave_bicharacteristic_control
no_symbol,0.3780922976632913,0.3923591611286004,-7215.732069410384,0.032783567905426025,0.014266863465309143,ablation_vs_full,proxy_0.20_0.05,wave_bicharacteristic_control
no_transport,0.3780922976632913,0.7148458162943522,-38806.593884253256,0.12978271643320705,0.3367535186310609,ablation_vs_full,proxy_0.20_0.05,wave_bicharacteristic_control
no_transport_no_carrier,0.3780922976632913,0.8146873886386553,40168.73526401942,0.12494185070196773,0.43659509097536403,ablation_vs_full,proxy_0.20_0.05,wave_bicharacteristic_control
randomized_metadata,0.3780922976632913,0.9124925285577774,59104.524950448416,0.1439980467160542,0.5344002308944862,ablation_vs_full,proxy_0.20_0.05,wave_bicharacteristic_control
full_no_flow_supervision,0.3148427310710152,0.3190859056388338,65970.32991536474,0.025606567660967583,0.004243174567818642,ablation_vs_full,proxy_0.20_0.05,wave_chirp_propagation
identity_transport,0.3148427310710152,0.8061706510682901,-856534.2832031249,0.0457463413476944,0.49132791999727493,ablation_vs_full,proxy_0.20_0.05,wave_chirp_propagation
no_symbol,0.3148427310710152,0.33370333909988403,53269.500162760494,-0.01667829354604078,0.018860608028868853,ablation_vs_full,proxy_0.20_0.05,wave_chirp_propagation
no_transport,0.3148427310710152,0.8396946340799332,-726127.9013671874,0.07163174947102857,0.524851903008918,ablation_vs_full,proxy_0.20_0.05,wave_chirp_propagation
no_transport_no_carrier,0.3148427310710152,0.8259806583325068,532225.7659505208,0.08996771275997162,0.5111379272614915,ablation_vs_full,proxy_0.20_0.05,wave_chirp_propagation
randomized_metadata,0.3148427310710152,1.044405460357666,1913235.7565104167,0.06403799851735426,0.7295627292866509,ablation_vs_full,proxy_0.20_0.05,wave_chirp_propagation
full_no_flow_supervision,0.2960171488424142,0.29564311106999713,989.2325282773636,0.0028484314680099487,-0.0003740377724170685,ablation_vs_full,proxy_0.20_0.05,wave_synth
identity_transport,0.2960171488424142,0.534983633706967,-6993.900360693535,0.0461134215195973,0.2389664848645528,ablation_vs_full,proxy_0.20_0.05,wave_synth
no_symbol,0.2960171488424142,0.29799677804112434,2440.7796463115774,-0.0012127161026000977,0.001979629198710142,ablation_vs_full,proxy_0.20_0.05,wave_synth
no_transport,0.2960171488424142,0.5339593552052975,-10924.800160163393,0.04803343117237091,0.23794220636288327,ablation_vs_full,proxy_0.20_0.05,wave_synth
no_transport_no_carrier,0.2960171488424142,0.7741477328042189,22420.783121893182,0.09836492439111066,0.4781305839618047,ablation_vs_full,proxy_0.20_0.05,wave_synth
randomized_metadata,0.2960171488424142,0.9045065815250078,30233.6729826921,0.10464264949162794,0.6084894326825936,ablation_vs_full,proxy_0.20_0.05,wave_synth
full_no_flow_supervision,0.20480586277941862,0.18528091410795847,-52889.919270833314,-0.036914820472399246,-0.01952494867146015,ablation_vs_full,proxy_0.20_0.05,wave_two_packet_no_interaction
identity_transport,0.20480586277941862,0.7492159157991409,-146903.7473958333,-0.002471168835957771,0.5444100530197223,ablation_vs_full,proxy_0.20_0.05,wave_two_packet_no_interaction
no_symbol,0.20480586277941862,0.23437680241962275,55554.229166666686,-0.0143297413984933,0.02957093964020413,ablation_vs_full,proxy_0.20_0.05,wave_two_packet_no_interaction
no_transport,0.20480586277941862,0.7791551699241003,92733.78515625006,0.05511021614074707,0.5743493071446817,ablation_vs_full,proxy_0.20_0.05,wave_two_packet_no_interaction
no_transport_no_carrier,0.20480586277941862,0.8013268609841665,256338.37890625006,0.04419365028540301,0.5965209982047479,ablation_vs_full,proxy_0.20_0.05,wave_two_packet_no_interaction
randomized_metadata,0.20480586277941862,1.0381333927313487,309023.7434895833,0.20869789520899462,0.8333275299519302,ablation_vs_full,proxy_0.20_0.05,wave_two_packet_no_interaction
full_no_flow_supervision,0.23807845575114092,0.23776363457242647,-5362.74769863487,-0.001562143365542168,-0.0003148211787144528,ablation_vs_full,proxy_0.20_0.05,wave_variable_speed_nocaustic
identity_transport,0.23807845575114092,0.4555616018672784,-37330.95715252559,0.03883325556913997,0.21748314611613748,ablation_vs_full,proxy_0.20_0.05,wave_variable_speed_nocaustic
no_symbol,0.23807845575114092,0.23964306712150574,-10965.309436485179,-0.00669156014919281,0.0015646113703648157,ablation_vs_full,proxy_0.20_0.05,wave_variable_speed_nocaustic
no_transport,0.23807845575114092,0.4553194008767605,-27320.927686721094,0.04174332320690155,0.21724094512561956,ablation_vs_full,proxy_0.20_0.05,wave_variable_speed_nocaustic
no_transport_no_carrier,0.23807845575114092,0.7531046445171038,80101.17546187837,0.12990032633145643,0.5150261887659628,ablation_vs_full,proxy_0.20_0.05,wave_variable_speed_nocaustic
randomized_metadata,0.23807845575114092,0.8920361374815305,196659.2743037641,0.1522180438041687,0.6539576817303896,ablation_vs_full,proxy_0.20_0.05,wave_variable_speed_nocaustic
