ablation,batch_size,campaign,canonical_loss_weight,core_warmup_epochs,effective_metadata_flow_loss_weight,epochs,frame_type,freeze_refinement_epochs,hardware_profile,highfreq_core_loss_weight,highfreq_cutoff,loss_config,metadata_flow_loss_weight,packet_space_loss_weight,refine_lowpass_cutoff,row_type,scenario,seed,sparse_topk,symbol_order,symbol_order_loss_weight,symbol_order_target,symbol_parameterization,transport_highpass_cutoff,transport_parameterization,wavefront_confidence_scale
full,2,branch_id_v3_controls,0.02,12,2.0,24,gabor_gaussian,12,local_smoke,1.0,0.16,proxy_0.20_0.05,2.0,0.05,0.16,plan,wave_bicharacteristic_control,7,True,0.0,0.01,0.0,spectral_order,0.16,hamiltonian_verlet,2.0
full_no_flow_supervision,2,branch_id_v3_controls,0.02,12,0.0,24,gabor_gaussian,12,local_smoke,1.0,0.16,proxy_0.20_0.05,2.0,0.05,0.16,plan,wave_bicharacteristic_control,7,True,0.0,0.01,0.0,spectral_order,0.16,hamiltonian_verlet,2.0
no_transport,2,branch_id_v3_controls,0.02,12,2.0,24,gabor_gaussian,12,local_smoke,1.0,0.16,proxy_0.20_0.05,2.0,0.05,0.16,plan,wave_bicharacteristic_control,7,True,0.0,0.01,0.0,spectral_order,0.16,hamiltonian_verlet,2.0
identity_transport,2,branch_id_v3_controls,0.02,12,2.0,24,gabor_gaussian,12,local_smoke,1.0,0.16,proxy_0.20_0.05,2.0,0.05,0.16,plan,wave_bicharacteristic_control,7,True,0.0,0.01,0.0,spectral_order,0.16,hamiltonian_verlet,2.0
no_transport_no_carrier,2,branch_id_v3_controls,0.02,12,2.0,24,gabor_gaussian,12,local_smoke,1.0,0.16,proxy_0.20_0.05,2.0,0.05,0.16,plan,wave_bicharacteristic_control,7,True,0.0,0.01,0.0,spectral_order,0.16,hamiltonian_verlet,2.0
randomized_metadata,2,branch_id_v3_controls,0.02,12,2.0,24,gabor_gaussian,12,local_smoke,1.0,0.16,proxy_0.20_0.05,2.0,0.05,0.16,plan,wave_bicharacteristic_control,7,True,0.0,0.01,0.0,spectral_order,0.16,hamiltonian_verlet,2.0
no_symbol,2,branch_id_v3_controls,0.02,12,2.0,24,gabor_gaussian,12,local_smoke,1.0,0.16,proxy_0.20_0.05,2.0,0.05,0.16,plan,wave_bicharacteristic_control,7,True,0.0,0.01,0.0,spectral_order,0.16,hamiltonian_verlet,2.0
full,2,branch_id_v3_controls,0.02,12,2.0,24,gabor_gaussian,12,local_smoke,1.0,0.16,proxy_0.20_0.05,2.0,0.05,0.16,plan,wave_chirp_propagation,7,True,0.0,0.01,0.0,spectral_order,0.16,hamiltonian_verlet,2.0
full_no_flow_supervision,2,branch_id_v3_controls,0.02,12,0.0,24,gabor_gaussian,12,local_smoke,1.0,0.16,proxy_0.20_0.05,2.0,0.05,0.16,plan,wave_chirp_propagation,7,True,0.0,0.01,0.0,spectral_order,0.16,hamiltonian_verlet,2.0
no_transport,2,branch_id_v3_controls,0.02,12,2.0,24,gabor_gaussian,12,local_smoke,1.0,0.16,proxy_0.20_0.05,2.0,0.05,0.16,plan,wave_chirp_propagation,7,True,0.0,0.01,0.0,spectral_order,0.16,hamiltonian_verlet,2.0
identity_transport,2,branch_id_v3_controls,0.02,12,2.0,24,gabor_gaussian,12,local_smoke,1.0,0.16,proxy_0.20_0.05,2.0,0.05,0.16,plan,wave_chirp_propagation,7,True,0.0,0.01,0.0,spectral_order,0.16,hamiltonian_verlet,2.0
no_transport_no_carrier,2,branch_id_v3_controls,0.02,12,2.0,24,gabor_gaussian,12,local_smoke,1.0,0.16,proxy_0.20_0.05,2.0,0.05,0.16,plan,wave_chirp_propagation,7,True,0.0,0.01,0.0,spectral_order,0.16,hamiltonian_verlet,2.0
randomized_metadata,2,branch_id_v3_controls,0.02,12,2.0,24,gabor_gaussian,12,local_smoke,1.0,0.16,proxy_0.20_0.05,2.0,0.05,0.16,plan,wave_chirp_propagation,7,True,0.0,0.01,0.0,spectral_order,0.16,hamiltonian_verlet,2.0
no_symbol,2,branch_id_v3_controls,0.02,12,2.0,24,gabor_gaussian,12,local_smoke,1.0,0.16,proxy_0.20_0.05,2.0,0.05,0.16,plan,wave_chirp_propagation,7,True,0.0,0.01,0.0,spectral_order,0.16,hamiltonian_verlet,2.0
