ablation,batch_size,best_val_loss,campaign,canonical_loss_weight,core_field_weight,core_warmup_epochs,dissipative_symbol_scale,dissipative_time_step,effective_metadata_flow_loss_weight,epochs,family,final_train_canonical_consistency,final_train_core_field_loss,final_train_core_warmup_loss,final_train_highfreq_core_loss,final_train_metadata_flow_loss,final_train_packet_space_loss,final_train_residual_energy,final_train_route_l1,final_train_symbol_order_loss,final_train_symbol_proxy,final_train_transport_proxy,frame_type,freeze_refinement_epochs,grad_clip_norm,height,highfreq_core_loss_weight,highfreq_cutoff,in_channels,learning_rate,local_refine_scale,loss_config,max_modes,max_test_samples,max_train_samples,max_val_samples,metadata_flow_loss_weight,mode_strategy,model,model_variant,oom_fallback,out_channels,packet_space_loss_weight,parameters,patch_size,pdo_symbol_order,pdo_symbol_scale,proxy_temperature,reference_source,refine_lowpass_cutoff,regime,requested_batch_size,residual_energy_weight,route_bias_init,route_l1_weight,row_type,run_id,runtime_seconds,scenario,seed,skip_lowpass_cutoff,source_kind,sparse_topk,stride,symbol_order,symbol_order_loss_weight,symbol_order_target,symbol_proxy_weight,test_canonical_flow_error,test_core_relative_l2,test_dissipative_multiplier_mean,test_dissipative_symbol_norm,test_high_frequency_relative_error_proxy,test_loss,test_metadata_shift_norm,test_packet_consistency,test_packet_wavefront_localization_error,test_pdo_identity_norm,test_pdo_identity_order_proxy,test_phase_error,test_raw_refine_correction_norm,test_refine_correction_norm,test_refine_high_frequency_fraction,test_refine_lowpass_removed_norm,test_refine_relative_energy,test_refinement_energy,test_relative_l2,test_residual_energy,test_route_mean,test_sobolev_h1_error_proxy,test_sobolev_h2_error_proxy,test_symbol_budget,test_symbol_error_proxy,test_symbol_order_proxy,test_symbol_order_scaling_error_proxy,test_symplectic_defect_proxy,test_tokenizer_active_fraction,test_tokenizer_covering_radius,test_tokenizer_phase_window_diameter,test_tokenizer_reconstruction_error,test_transport_budget,test_transported_input_norm,test_transported_input_shift_norm,test_transported_synthesis_shift_norm,test_wavefront_confidence_proxy,test_wf_transport_error_proxy,token_refine_scale,transport_highpass_cutoff,transport_parameterization,transport_proxy_weight,transport_stencil,transported_input_scale,transported_synthesis_scale,wavefront_confidence_scale,weight_decay,width,window_type
full,2,0.009360974712762982,branch_id_v3_controls,0.02,2.0,12,0.0,1.0,2.0,24,wave,0.0,0.009571538907039212,0.0,0.00045747698944372434,1.8133175776332184e-05,0.008041926560205562,0.00011833473903758811,0.006445453938795254,0.030490970239043236,0.10126680694520473,0.06627954045931499,gabor_gaussian,12,1.0,64,1.0,0.16,1,0.0001,0.05,proxy_0.20_0.05,16,0,0,0,2.0,shell_balanced,MiNO-Plus,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0_diss0_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_framegabor_gaussian_sparse1_sklp0.16_tsyn1_tin1_tref0,False,1,0.05,1059764,16,-2.0,0.0,0.05,,0.16,synthetic,2,0.5,-5.0,0.05,run,branch_id_v3_controls_wave_bicharacteristic_control_proxy_0p20_0p05_full_7_hamiltonian_verlet_gabor_gaussian_True_2p0_0p16_0p16_0p16_1p0_1p0_0p0_2p0_0p01_0p05_1p0_2p0_12_12,139.74599120000494,wave_bicharacteristic_control,7,0.16,synthetic,True,8,0.0,0.01,0.0,0.05,4.769360248246812e-05,0.35932174138724804,1.0,0.0,1.3527141902595758,0.007112452934961766,0.018309910083189607,39698.6283445321,0.034072688780725,0.0,0.0,1.3753378242254257,0.16242118552327156,0.14839916490018368,2.2909122447917034e-14,0.054398023057729006,0.0001385697132718633,0.0001385697132718633,0.34973785653710365,0.0001385697132718633,0.006441266392357647,0.34908808395266533,0.34816765785217285,0.924878736337026,0.924878736337026,0.1803228749971216,2.1558261662721634,0.0,0.9011479467153549,0.25,1.0774961709976196,4.878527939319611,0.22060449048876762,8.920037627220154,7.231196105480194,1.7038014084100723,1.405310722688834,0.004066015004354995,0.0,0.16,hamiltonian_verlet,0.2,12,1.0,1.0,2.0,0.0001,64,gaussian
full,2,0.004053660464705899,branch_id_v3_controls,0.02,2.0,12,0.0,1.0,2.0,24,wave,0.0,0.00875712694687536,0.0,0.00047621408596872544,2.2500114994272735e-05,0.008022642529491955,0.00015086543423118806,0.0064444029412698,0.04646101198159158,0.10979298292659223,0.06911799862670402,gabor_gaussian,12,1.0,64,1.0,0.16,1,0.0001,0.05,proxy_0.20_0.05,16,0,0,0,2.0,shell_balanced,MiNO-Plus,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0_diss0_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_framegabor_gaussian_sparse1_sklp0.16_tsyn1_tin1_tref0,False,1,0.05,1059764,16,-2.0,0.0,0.05,,0.16,synthetic,2,0.5,-5.0,0.05,run,branch_id_v3_controls_wave_bicharacteristic_control_proxy_0p20_0p05_full_11_hamiltonian_verlet_gabor_gaussian_True_2p0_0p16_0p16_0p16_1p0_1p0_0p0_2p0_0p01_0p05_1p0_2p0_12_12,136.83095559999492,wave_bicharacteristic_control,11,0.16,synthetic,True,8,0.0,0.01,0.0,0.05,7.253892727021594e-05,0.39537522569298744,1.0,0.0,2.4206377025693655,0.006932037184014916,0.018347731325775385,143581.1871188879,0.07719805440865457,0.0,0.0,1.3809883147478104,0.16793583426624537,0.15141888055950403,2.2406448416028364e-14,0.06139047723263502,0.00014385588610821287,0.00014385588610821287,0.38569921255111694,0.00014385588610821287,0.006439445249270648,0.3854008801281452,0.384765625,0.8860799719889959,0.8860799719889959,0.2128325334439675,2.8871530890464783,0.0,0.8805006220936775,0.25,1.0774961709976196,3.7669263035058975,0.20130440313369036,8.114632546901703,6.877851068973541,1.672783449292183,1.3507139285405476,0.0064878260309342295,0.0,0.16,hamiltonian_verlet,0.2,12,1.0,1.0,2.0,0.0001,64,gaussian
full,2,0.008906695147743449,branch_id_v3_controls,0.02,2.0,12,0.0,1.0,2.0,24,wave,0.0,0.008647422541495567,0.0,0.00033077186799346237,2.7519532826166444e-05,0.006492832988442387,0.00015881003313703937,0.006433272666375463,0.03508810101387402,0.0919113220879808,0.0674032662063837,gabor_gaussian,12,1.0,64,1.0,0.16,1,0.0001,0.05,proxy_0.20_0.05,16,0,0,0,2.0,shell_balanced,MiNO-Plus,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0_diss0_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_framegabor_gaussian_sparse1_sklp0.16_tsyn1_tin1_tref0,False,1,0.05,1059764,16,-2.0,0.0,0.05,,0.16,synthetic,2,0.5,-5.0,0.05,run,branch_id_v3_controls_wave_bicharacteristic_control_proxy_0p20_0p05_full_19_hamiltonian_verlet_gabor_gaussian_True_2p0_0p16_0p16_0p16_1p0_1p0_0p0_2p0_0p01_0p05_1p0_2p0_12_12,136.41049740000017,wave_bicharacteristic_control,19,0.16,synthetic,True,8,0.0,0.01,0.0,0.05,6.393294552253792e-05,0.41056807339191437,1.0,0.0,2.9021309725940228,0.009783385903574526,0.01833459362387657,2318.992236889899,0.0867917702998966,0.0,0.0,1.36747507750988,0.22339359670877457,0.20463521499186754,2.2039042792959128e-14,0.07513986667618155,0.00021199090861045988,0.00021199090861045988,0.3988398239016533,0.00021199090861045988,0.006431929825339466,0.39788562804460526,0.3968731760978699,0.8808370046317577,0.8808370046317577,0.19193811062723398,2.3466731756925583,0.0,0.9121492132544518,0.25,1.0774961709976196,2.1458764150738716,0.2798623004928231,9.807929158210754,8.560509473085403,1.9092829078435898,1.3726230313380559,0.002864485519239679,0.0,0.16,hamiltonian_verlet,0.2,12,1.0,1.0,2.0,0.0001,64,gaussian
full_no_flow_supervision,2,0.009414230793481693,branch_id_v3_controls,0.02,2.0,12,0.0,1.0,0.0,24,wave,0.0,0.009553889263770543,0.0,0.0004789227961434032,0.0,0.007967945331377754,0.0001408564411728245,0.006454327376559377,0.0283552121448641,0.10102168695690732,0.06629100527303915,gabor_gaussian,12,1.0,64,1.0,0.16,1,0.0001,0.05,proxy_0.20_0.05,16,0,0,0,2.0,shell_balanced,MiNO-Plus,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0_diss0_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_framegabor_gaussian_sparse1_sklp0.16_tsyn1_tin1_tref0,False,1,0.05,1059764,16,-2.0,0.0,0.05,,0.16,synthetic,2,0.5,-5.0,0.05,run,branch_id_v3_controls_wave_bicharacteristic_control_proxy_0p20_0p05_full_no_flow_supervision_7_hamiltonian_verlet_gabor_gaussian_True_2p0_0p16_0p16_0p16_1p0_1p0_0p0_2p0_0p01_0p05_1p0_2p0_12_12,128.4451115999982,wave_bicharacteristic_control,7,0.16,synthetic,True,8,0.0,0.01,0.0,0.05,0.00027381907420931384,0.3596880082041025,1.0,0.0,1.4581731110811234,0.0072036421042867005,0.018291304353624582,44344.121566563845,0.03687197470571846,0.0,0.0,1.361696258187294,0.1430792873725295,0.13092410750687122,2.316895721602558e-14,0.04776538023725152,0.000107604067579814,0.000107604067579814,0.351285045966506,0.000107604067579814,0.006454568181652576,0.35077408142387867,0.34994727931916714,0.9042024115721384,0.9042024115721384,0.16143083154505197,2.4640591889619827,0.0,0.9011479467153549,0.25,1.0774961709976196,4.878527939319611,0.2141060633584857,9.028447687625885,7.266255676746368,1.5478607192635536,1.4029521966973941,0.004002780071459711,0.0,0.16,hamiltonian_verlet,0.2,12,1.0,1.0,2.0,0.0001,64,gaussian
full_no_flow_supervision,2,0.004026204376714304,branch_id_v3_controls,0.02,2.0,12,0.0,1.0,0.0,24,wave,0.0,0.00872387195461973,0.0,0.00045654423517286585,0.0,0.007974731578239394,0.00017036083132400867,0.006438639189582318,0.022078616661019623,0.11018110058891277,0.06912129931151867,gabor_gaussian,12,1.0,64,1.0,0.16,1,0.0001,0.05,proxy_0.20_0.05,16,0,0,0,2.0,shell_balanced,MiNO-Plus,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0_diss0_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_framegabor_gaussian_sparse1_sklp0.16_tsyn1_tin1_tref0,False,1,0.05,1059764,16,-2.0,0.0,0.05,,0.16,synthetic,2,0.5,-5.0,0.05,run,branch_id_v3_controls_wave_bicharacteristic_control_proxy_0p20_0p05_full_no_flow_supervision_11_hamiltonian_verlet_gabor_gaussian_True_2p0_0p16_0p16_0p16_1p0_1p0_0p0_2p0_0p01_0p05_1p0_2p0_12_12,127.07700879999902,wave_bicharacteristic_control,11,0.16,synthetic,True,8,0.0,0.01,0.0,0.05,0.0004906543690594845,0.39645954594016075,1.0,0.0,2.5924341548234224,0.0069717325968667865,0.018216136610135436,131947.40138715506,0.07595338183455169,0.0,0.0,1.3402669727802277,0.18343428894877434,0.16527916304767132,2.2929031533825773e-14,0.06728130765259266,0.00017156194644485367,0.00017156194644485367,0.3859718330204487,0.00017156194644485367,0.006434567854739726,0.3859036788344383,0.3853764533996582,0.8743865713477135,0.8743865713477135,0.1393575711893694,2.9275246262550354,0.0,0.8805006220936775,0.25,1.0774961709976196,3.7669263035058975,0.19932865910232067,8.224424004554749,6.971634149551392,1.6779426485300064,1.3048170457283657,0.006880665721837431,0.0,0.16,hamiltonian_verlet,0.2,12,1.0,1.0,2.0,0.0001,64,gaussian
full_no_flow_supervision,2,0.009007692613522522,branch_id_v3_controls,0.02,2.0,12,0.0,1.0,0.0,24,wave,0.0,0.008633554024224091,0.0,0.00028872528400825104,0.0,0.006559643855628868,0.0001473189959900386,0.006434467184590176,0.020047489320859313,0.09095007099676877,0.06739804210762183,gabor_gaussian,12,1.0,64,1.0,0.16,1,0.0001,0.05,proxy_0.20_0.05,16,0,0,0,2.0,shell_balanced,MiNO-Plus,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0_diss0_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_framegabor_gaussian_sparse1_sklp0.16_tsyn1_tin1_tref0,False,1,0.05,1059764,16,-2.0,0.0,0.05,,0.16,synthetic,2,0.5,-5.0,0.05,run,branch_id_v3_controls_wave_bicharacteristic_control_proxy_0p20_0p05_full_no_flow_supervision_19_hamiltonian_verlet_gabor_gaussian_True_2p0_0p16_0p16_0p16_1p0_1p0_0p0_2p0_0p01_0p05_1p0_2p0_12_12,129.66558030000306,wave_bicharacteristic_control,19,0.16,synthetic,True,8,0.0,0.01,0.0,0.05,0.0004084155189048033,0.40975258126854897,1.0,0.0,2.7171229608356953,0.009770442440640181,0.0183434272184968,2296.1855384260416,0.08706532488577068,0.0,0.0,1.3439308106899261,0.21824126318097115,0.1996943773701787,2.2168107955989344e-14,0.07381894532591105,0.0002019591161115386,0.0002019591161115386,0.39831753447651863,0.0002019591161115386,0.0064327477011829615,0.39731477573513985,0.39625583216547966,0.8581091413895289,0.8581091413895289,0.13608383453295878,2.2343246936798096,0.0,0.9121492132544518,0.25,1.0774961709976196,2.1458764150738716,0.2692457775895794,9.94466769695282,8.769135445356369,1.7503388226032257,1.3663691729307175,0.002952483555418439,0.0,0.16,hamiltonian_verlet,0.2,12,1.0,1.0,2.0,0.0001,64,gaussian
no_transport,2,0.029510830529034138,branch_id_v3_controls,0.02,2.0,12,0.0,1.0,2.0,24,wave,0.0,0.029827721232625965,0.0,0.02084584077723169,0.9999998211860657,0.008884944778401405,7.057447281037336e-05,0.006435344655377169,0.01413024637925749,0.10122903793429334,0.06653729958149295,gabor_gaussian,12,1.0,64,1.0,0.16,1,0.0001,0.05,proxy_0.20_0.05,16,0,0,0,2.0,shell_balanced,MiNO-Plus,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0_diss0_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_framegabor_gaussian_sparse1_sklp0.16_tsyn1_tin1_tref0,False,1,0.05,347000,16,-2.0,0.0,0.05,,0.16,synthetic,2,0.5,-5.0,0.05,run,branch_id_v3_controls_wave_bicharacteristic_control_proxy_0p20_0p05_no_transport_7_hamiltonian_verlet_gabor_gaussian_True_2p0_0p16_0p16_0p16_1p0_1p0_0p0_2p0_0p01_0p05_1p0_2p0_12_12,45.92357999999513,wave_bicharacteristic_control,7,0.16,synthetic,True,8,0.0,0.01,0.0,0.05,0.018309833481907845,0.6921391189098358,1.0,0.0,3.1738260239362717,0.025894104270264506,0.0,18197.723267626017,0.03607238782569766,0.0,0.0,1.4395184218883514,0.1268233135342598,0.11488400120288134,2.291776811320966e-14,0.04438738105818629,8.28594270387839e-05,8.28594270387839e-05,0.6871954575181007,8.28594270387839e-05,0.006431129470001906,0.6903140693902969,0.6930270940065384,0.9873160185913245,0.9873160185913245,0.11626320466166362,3.2517249286174774,0.0,0.9011479467153549,0.25,1.0774961709976196,4.878527939319611,0.0,9.722632646560669,3.2858005397429224e-05,3.819368913582366e-06,0.0,0.025928844115696847,0.0,0.16,hamiltonian_verlet,0.2,12,1.0,1.0,2.0,0.0001,64,gaussian
no_transport,2,0.032399474643170834,branch_id_v3_controls,0.02,2.0,12,0.0,1.0,2.0,24,wave,0.0,0.029853746586013585,0.0,0.021606391014453646,0.9999998211860657,0.008869985162164085,0.00013529493295057668,0.006441912012329946,0.03877216437831521,0.11015997415718932,0.06918731789725523,gabor_gaussian,12,1.0,64,1.0,0.16,1,0.0001,0.05,proxy_0.20_0.05,16,0,0,0,2.0,shell_balanced,MiNO-Plus,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0_diss0_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_framegabor_gaussian_sparse1_sklp0.16_tsyn1_tin1_tref0,False,1,0.05,347000,16,-2.0,0.0,0.05,,0.16,synthetic,2,0.5,-5.0,0.05,run,branch_id_v3_controls_wave_bicharacteristic_control_proxy_0p20_0p05_no_transport_11_hamiltonian_verlet_gabor_gaussian_True_2p0_0p16_0p16_0p16_1p0_1p0_0p0_2p0_0p01_0p05_1p0_2p0_12_12,46.02832800000033,wave_bicharacteristic_control,11,0.16,synthetic,True,8,0.0,0.01,0.0,0.05,0.018309833481907845,0.6871515810489655,1.0,0.0,3.6425444781780243,0.021709549124352634,0.0,50137.86489896476,0.027491185232065618,0.0,0.0,1.4870950877666473,0.16141445003449917,0.14513327553868294,2.127776706117488e-14,0.05987908784300089,0.00013216230354373693,0.00013216230354373693,0.6811973378062248,0.00013216230354373693,0.0064358827075921,0.6839838325977325,0.6866336837410927,1.0458924832443397,1.0458924832443397,0.1984550147644768,3.6476786136627197,0.0,0.8805006220936775,0.25,1.0774961709976196,3.7669263035058975,0.0,8.747848808765411,2.6826599196283496e-05,3.4562586535002993e-06,0.0,0.018132994533516467,0.0,0.16,hamiltonian_verlet,0.2,12,1.0,1.0,2.0,0.0001,64,gaussian
no_transport,2,0.028184937895275652,branch_id_v3_controls,0.02,2.0,12,0.0,1.0,2.0,24,wave,0.0,0.0359231040153342,0.0,0.027608429731723543,0.9999998211860657,0.007088655273643478,0.00010938850702283769,0.006433941889554262,0.030088972494316597,0.09392491277928154,0.06769676281449695,gabor_gaussian,12,1.0,64,1.0,0.16,1,0.0001,0.05,proxy_0.20_0.05,16,0,0,0,2.0,shell_balanced,MiNO-Plus,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0_diss0_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_framegabor_gaussian_sparse1_sklp0.16_tsyn1_tin1_tref0,False,1,0.05,347000,16,-2.0,0.0,0.05,,0.16,synthetic,2,0.5,-5.0,0.05,run,branch_id_v3_controls_wave_bicharacteristic_control_proxy_0p20_0p05_no_transport_19_hamiltonian_verlet_gabor_gaussian_True_2p0_0p16_0p16_0p16_1p0_1p0_0p0_2p0_0p01_0p05_1p0_2p0_12_12,46.29555990000517,wave_bicharacteristic_control,19,0.16,synthetic,True,8,0.0,0.01,0.0,0.05,0.018309833481907845,0.7814300954341888,1.0,0.0,4.168101713061333,0.03348590154200792,0.0,843.4378809593618,0.0280961690004915,0.0,0.0,1.586535856127739,0.15542289149016142,0.14153697155416012,2.2403993291030748e-14,0.05381906172260642,0.00010156050620935275,0.00010156050620935275,0.7761446535587311,0.00010156050620935275,0.006438594136852771,0.7774270921945572,0.7788472734391689,0.9532736726105213,0.9532736726105213,0.18145415435234705,3.376226156949997,0.0,0.9121492132544518,0.25,1.0774961709976196,2.1458764150738716,0.0,10.553826451301575,3.054949775105342e-05,2.2414943003923327e-06,0.0,0.008645525784231722,0.0,0.16,hamiltonian_verlet,0.2,12,1.0,1.0,2.0,0.0001,64,gaussian
identity_transport,2,0.0296300818445161,branch_id_v3_controls,0.02,2.0,12,0.0,1.0,2.0,24,wave,0.0,0.0297341844610249,0.0,0.02078803381421797,0.9999999403953552,0.008870083860529121,0.00010084780255207686,0.0064141925249714404,0.015813004632946104,0.10128635408667226,0.06653729903822143,gabor_gaussian,12,1.0,64,1.0,0.16,1,0.0001,0.05,proxy_0.20_0.05,16,0,0,0,2.0,shell_balanced,MiNO-Plus,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0_diss0_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_framegabor_gaussian_sparse1_sklp0.16_tsyn1_tin1_tref0,False,1,0.05,1059764,16,-2.0,0.0,0.05,,0.16,synthetic,2,0.5,-5.0,0.05,run,branch_id_v3_controls_wave_bicharacteristic_control_proxy_0p20_0p05_identity_transport_7_hamiltonian_verlet_gabor_gaussian_True_2p0_0p16_0p16_0p16_1p0_1p0_0p0_2p0_0p01_0p05_1p0_2p0_12_12,145.28048130000388,wave_bicharacteristic_control,7,0.16,synthetic,True,8,0.0,0.01,0.0,0.05,0.018309833481907845,0.6908311694860458,1.0,0.0,3.2406825125217438,0.025866063311696053,0.0,16365.568049028516,0.034698366886004806,0.0,0.0,1.4784816205501556,0.06884499220177531,0.06285684509202838,2.0831898870377345e-14,0.02358477422967553,2.4600153778919776e-05,2.4600153778919776e-05,0.6881192848086357,2.4600153778919776e-05,0.006445693608839065,0.690943643450737,0.6934891790151596,0.9460829185942808,0.9460829185942808,0.13006211001144644,3.6400846242904663,0.0,0.9011479467153549,0.25,1.0774961709976196,4.878527939319611,0.20495052138964334,9.85569816827774,3.330777531118656e-05,3.6157798035674205e-06,1.3321843147277832,0.022671222686767578,0.0,0.16,hamiltonian_verlet,0.2,12,1.0,1.0,2.0,0.0001,64,gaussian
