ablation,family,loss_config,mean_final_train_canonical_consistency,mean_final_train_core_field_loss,mean_final_train_core_warmup_loss,mean_final_train_highfreq_core_loss,mean_final_train_packet_space_loss,mean_final_train_residual_energy,mean_final_train_route_l1,mean_final_train_symbol_order_loss,mean_final_train_symbol_proxy,mean_final_train_transport_proxy,mean_runtime_seconds,mean_test_canonical_flow_error,mean_test_core_relative_l2,mean_test_dissipative_multiplier_mean,mean_test_dissipative_symbol_norm,mean_test_high_frequency_relative_error_proxy,mean_test_metadata_shift_norm,mean_test_packet_consistency,mean_test_packet_wavefront_localization_error,mean_test_pdo_identity_norm,mean_test_pdo_identity_order_proxy,mean_test_phase_error,mean_test_raw_refine_correction_norm,mean_test_refine_correction_norm,mean_test_refine_high_frequency_fraction,mean_test_refine_lowpass_removed_norm,mean_test_refine_relative_energy,mean_test_refinement_energy,mean_test_relative_l2,mean_test_residual_energy,mean_test_route_mean,mean_test_sobolev_h1_error_proxy,mean_test_sobolev_h2_error_proxy,mean_test_symbol_budget,mean_test_symbol_error_proxy,mean_test_symbol_order_proxy,mean_test_symbol_order_scaling_error_proxy,mean_test_symplectic_defect_proxy,mean_test_tokenizer_active_fraction,mean_test_tokenizer_covering_radius,mean_test_tokenizer_phase_window_diameter,mean_test_tokenizer_reconstruction_error,mean_test_transport_budget,mean_test_transported_input_norm,mean_test_transported_input_shift_norm,mean_test_transported_synthesis_shift_norm,mean_test_wavefront_confidence_proxy,mean_test_wf_transport_error_proxy,model_variant,regime,runs,scenario,std_final_train_canonical_consistency,std_final_train_core_field_loss,std_final_train_core_warmup_loss,std_final_train_highfreq_core_loss,std_final_train_packet_space_loss,std_final_train_residual_energy,std_final_train_route_l1,std_final_train_symbol_order_loss,std_final_train_symbol_proxy,std_final_train_transport_proxy,std_runtime_seconds,std_test_canonical_flow_error,std_test_core_relative_l2,std_test_dissipative_multiplier_mean,std_test_dissipative_symbol_norm,std_test_high_frequency_relative_error_proxy,std_test_metadata_shift_norm,std_test_packet_consistency,std_test_packet_wavefront_localization_error,std_test_pdo_identity_norm,std_test_pdo_identity_order_proxy,std_test_phase_error,std_test_raw_refine_correction_norm,std_test_refine_correction_norm,std_test_refine_high_frequency_fraction,std_test_refine_lowpass_removed_norm,std_test_refine_relative_energy,std_test_refinement_energy,std_test_relative_l2,std_test_residual_energy,std_test_route_mean,std_test_sobolev_h1_error_proxy,std_test_sobolev_h2_error_proxy,std_test_symbol_budget,std_test_symbol_error_proxy,std_test_symbol_order_proxy,std_test_symbol_order_scaling_error_proxy,std_test_symplectic_defect_proxy,std_test_tokenizer_active_fraction,std_test_tokenizer_covering_radius,std_test_tokenizer_phase_window_diameter,std_test_tokenizer_reconstruction_error,std_test_transport_budget,std_test_transported_input_norm,std_test_transported_input_shift_norm,std_test_transported_synthesis_shift_norm,std_test_wavefront_confidence_proxy,std_test_wf_transport_error_proxy
full,wave,proxy_0.20_0.05,0.0,0.008992029465136712,0.0,0.0004214876478019707,0.007519134026046635,0.0001426700688019385,0.006441043182146839,0.03734669441150294,0.10099037065325926,0.0676002684308009,137.66248140000002,6.138849175840733e-05,0.38842168015738326,1.0,0.0,2.225160955140988,0.018330745010947187,61866.26923343664,0.06602083782975872,0.0,0.0,1.3746004054943721,0.18458353883276382,0.16815108681718507,2.2451537885634842e-14,0.06364278898884852,0.00016480550266351202,0.00016480550266351202,0.3780922976632913,0.00016480550266351202,0.0064375471556559205,0.3774581973751386,0.3766021529833476,0.8972652376525933,0.8972652376525933,0.19503117302277437,2.463217477003733,0.0,0.8979325940211614,0.25,1.0774961709976196,3.5971102192997932,0.23392373137176037,8.947533110777536,7.556518882513046,1.761955921848615,1.3762158941891458,0.004472775518176301,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0_diss0_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_framegabor_gaussian_sparse1_sklp0.16_tsyn1_tin1_tref0,synthetic,3,wave_bicharacteristic_control,0.0,0.0005048585535380607,0.0,7.911879818504658e-05,0.0008888550687827612,2.1446103818607063e-05,6.7499507749708235e-06,0.00822110037747648,0.008944034959368774,0.0014294469557571464,1.8165781264573069,1.2616585301519493e-05,0.026321293331063967,0.0,0.0,0.7929889409277981,1.9202095296952285e-05,73193.61415215449,0.02808065200266766,0.0,0.0,0.006786732273401399,0.03372340851610455,0.031632236360488016,4.36788789571072e-16,0.010552757950340204,4.0949149033864396e-05,4.0949149033864396e-05,0.02541947413599054,4.0949149033864396e-05,4.949236350079475e-06,0.02534984683064943,0.025358205445584706,0.02405724753319973,0.02405724753319973,0.016474062926906466,0.37933718196311794,0.0,0.016067426686514005,0.0,0.0,1.3742176738355394,0.040937604261197295,0.8469830899609035,0.8872491240764033,0.1285280477122888,0.027475152054495435,0.0018456000928220777
full_no_flow_supervision,wave,proxy_0.20_0.05,0.0,0.008970438414204788,0.0,0.0004080641051081734,0.007500773588415339,0.00015284542282895726,0.006442477916910623,0.023493772708914347,0.10071761951419629,0.06760344889739321,128.39590023333344,0.00039096298739120056,0.38863337847093743,1.0,0.0,2.2559100755800805,0.01828362272741894,59529.236164048314,0.06663022714201361,0.0,0.0,1.3486313472191493,0.18158494650075832,0.16529921597490707,2.2755365568613566e-14,0.06295521107191841,0.00016037504337873543,0.00016037504337873543,0.37852480448782444,0.00016037504337873543,0.006440627912525088,0.37799751199781895,0.37719318829476833,0.8788993747697936,0.8788993747697936,0.14562407908912672,2.541969502965609,0.0,0.8979325940211614,0.25,1.0774961709976196,3.5971102192997932,0.22756016668346193,9.065846463044485,7.669008423884709,1.6587140634655952,1.3580461384521592,0.00461197644957186,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0_diss0_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_framegabor_gaussian_sparse1_sklp0.16_tsyn1_tin1_tref0,synthetic,3,wave_bicharacteristic_control,0.0,0.0005072972526359558,0.0,0.00010395439223004223,0.0008150493198191552,1.5509136170424315e-05,1.0471803898526172e-05,0.004330884968461097,0.009619119894811954,0.0014262836492178964,1.2949872283598196,0.00010946611080770651,0.02593360834850352,0.0,0.0,0.693667804487277,6.399203294257744e-05,66146.05220092491,0.026363497693592995,0.0,0.0,0.011461886887039908,0.03761509939472069,0.03438513931712291,5.225368034249696e-16,0.013554829293511803,4.81620067689675e-05,4.81620067689675e-05,0.02438457338842341,4.81620067689675e-05,1.2106880987795718e-05,0.024256744676067102,0.02421455941190364,0.023375659029779554,0.023375659029779554,0.013786566118002556,0.35310628626758,0.0,0.016067426686514005,0.0,0.0,1.3742176738355394,0.036849159238708504,0.8607314282695536,0.9640591572101547,0.10259946123490223,0.049594169426727536,0.002033714324449669
identity_transport,wave,proxy_0.20_0.05,0.0,0.031728045035076015,0.0,0.023295627870538738,0.00826355979047043,0.00011278781088700877,0.0064291326464929925,0.022641356445900682,0.10168054490350187,0.06780712596244282,148.12363526666982,0.018309833481907845,0.7186954890688261,1.0,0.0,3.7954268604516983,0.0,26895.52100424717,0.030492610841368634,0.0,0.0,1.4602184146642685,0.14148250641301274,0.1281847582819561,2.1815528162354137e-14,0.050406275472293295,0.00010506811186890748,0.00010506811186890748,0.7136502216259638,0.00010506811186890748,0.006436000966156523,0.7160993628203869,0.7184391741951307,0.9164021011028025,0.9164021011028025,0.1465112570141274,3.450028399626414,0.0,0.8979325940211614,0.25,1.0774961709976196,3.5971102192997932,0.22636333604653677,9.70522572596868,3.0196185510552216e-05,3.3358255819848637e-06,1.3321843147277832,0.01744140306254849,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0_diss0_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_framegabor_gaussian_sparse1_sklp0.16_tsyn1_tin1_tref0,synthetic,3,wave_bicharacteristic_control,0.0,0.0035066435468472873,0.0,0.0036600311701132687,0.0010194156433299838,1.1663847198977492e-05,1.5258958378281596e-05,0.008311247577450899,0.007769509070992717,0.0013284513980633527,3.091390765195008,0.0,0.050660626836580264,0.0,0.0,0.5974974575662311,0.0,32971.66074366355,0.003684024629414787,0.0,0.0,0.06482434941743333,0.06857337161508549,0.06203796773349037,9.758673160795653e-16,0.024575287264603753,7.6093588662298e-05,7.6093588662298e-05,0.04899178423369776,7.6093588662298e-05,1.0364690905415058e-05,0.04788691696245,0.04698848241029232,0.03000136835415938,0.03000136835415938,0.019236004280316264,0.5619678205239713,0.0,0.016067426686514005,0.0,0.0,1.3742176738355394,0.0411289485297462,0.8748103242400284,3.209833949372292e-06,8.612599011111957e-07,0.0,0.007968924007119762
no_symbol,wave,proxy_0.20_0.05,0.0,0.009425968552224934,0.0,0.00032160608775989706,0.00793121021868299,9.669864289207908e-05,0.006423556414018902,0.0,0.10288087232038379,0.0675995766909586,135.29916023333257,6.024579655180181e-05,0.40027602141102153,1.0,0.0,1.595315070822835,0.018341358828668792,54650.53716402625,0.06909408639573182,0.0,0.0,1.4073839733997981,0.14223895563433567,0.1301527563482523,2.19280292431704e-14,0.048093930973360934,0.00010081779396386992,0.00010081779396386992,0.3923591611286004,0.00010081779396386992,0.006422881386242807,0.3919747720162074,0.391113484899203,0.0,0.0,0.0,2.267231230934461,0.0,0.8979325940211614,0.25,1.0774961709976196,3.5971102192997932,0.5577209966464175,9.006197392940521,7.614053964614868,1.1234199206034343,0.6954966911839114,0.004503459844272584,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0_diss0_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_framegabor_gaussian_sparse1_sklp0.16_tsyn1_tin1_tref0,synthetic,3,wave_bicharacteristic_control,0.0,0.0006000273887072332,0.0,7.814294797694676e-05,0.0009407036860197689,3.439830234212771e-05,1.7474025461396125e-06,0.0,0.007984631872029182,0.001431031201534855,1.053321070765843,1.1303352584146927e-05,0.017463192831095663,0.0,0.0,0.3808769894247516,2.1717789506415843e-05,60128.21095201337,0.024986548402718092,0.0,0.0,0.05807971153804906,0.020871697774848087,0.0180303796306064,5.373051698195866e-16,0.009839416976034323,3.22741416742786e-05,3.22741416742786e-05,0.017160541103908748,3.22741416742786e-05,5.493689359149481e-06,0.01648505305838744,0.016157797035098346,0.0,0.0,0.0,0.6258873980571124,0.0,0.016067426686514005,0.0,0.0,1.3742176738355394,0.0639759073452612,0.8704646231433901,0.8962389083558063,0.5421596306748229,0.10128341606578468,0.0029074846992761753
no_transport,wave,proxy_0.20_0.05,0.0,0.03186819061132458,0.0,0.02335355384113629,0.00828119507140299,0.00010508597092792924,0.0064370661857537925,0.027663794417296432,0.10177130829025474,0.06780712676441504,46.08248930000021,0.018309833481907845,0.7202402651309967,1.0,0.0,3.661490738391876,0.0,23059.67534918338,0.030553247352751594,0.0,0.0,1.5043831219275792,0.14788688501964012,0.1338514160985748,2.2199842821805096e-14,0.05269517687459787,0.00010552741226395786,0.00010552741226395786,0.7148458162943522,0.00010552741226395786,0.006435202104815592,0.7172416647275289,0.7195026837289333,0.9954940581487285,0.9954940581487285,0.16539079125949582,3.425209899743398,0.0,0.8979325940211614,0.25,1.0774961709976196,3.5971102192997932,0.0,9.674769302209219,3.0078034114922048e-05,3.1723739558249995e-06,0.0,0.017569121477815013,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0_diss0_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_framegabor_gaussian_sparse1_sklp0.16_tsyn1_tin1_tref0,synthetic,3,wave_bicharacteristic_control,0.0,0.003511682127594604,0.0,0.003704400869109616,0.0010327968456863691,3.2574044158285044e-05,4.254816610983051e-06,0.012498685818797735,0.008131103697550789,0.0013284518883083542,0.1918133111025637,0.0,0.0530505926722642,0.0,0.0,0.49740854142077917,0.0,25004.28097928203,0.004789278130376038,0.0,0.0,0.07501792176837026,0.018485946722777067,0.016524390199226847,8.388438014508938e-16,0.0078067651841434976,2.488966985820039e-05,2.488966985820039e-05,0.053170997239971915,2.488966985820039e-05,3.7785880832848934e-06,0.05221812170122722,0.05149324392202075,0.04684785234199777,0.04684785234199777,0.04338660089686454,0.2024707027418147,0.0,0.016067426686514005,0.0,0.0,1.3742176738355394,0.0,0.9039397027094775,3.0432176492900485e-06,8.263564393880202e-07,0.0,0.008655445554903524
no_transport_no_carrier,wave,proxy_0.20_0.05,0.0,0.03330654630877285,0.0,0.024471369963268645,0.0074772460357053205,9.407089273988984e-05,0.006444063445087522,0.0192385759890183,0.10172694937015574,0.06780712681615518,47.608237699998426,0.018309833481907845,0.8187046498060226,1.0,0.0,3.602795347571373,0.0,102035.00449745606,0.22970782779157162,0.0,0.0,1.4995422561963399,0.1177092333479474,0.11703827309732635,2.1337825861713867e-14,0.011622781360832354,9.197184586658598e-05,9.197184586658598e-05,0.8146873886386553,9.197184586658598e-05,0.00645332399290055,0.8172603150208791,0.819748543202877,0.9588887960546546,0.9588887960546546,0.14021664309418863,3.707453320423762,0.0,0.8979325940211614,0.25,1.0774961709976196,3.5971102192997932,0.0,0.0,0.0,0.0,0.0,0.091592917451635,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0_diss0_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_framegabor_gaussian_sparse1_sklp0.16_tsyn1_tin1_tref0,synthetic,3,wave_bicharacteristic_control,0.0,0.0024083974324825724,0.0,0.002249301568900801,0.0008431279586109997,3.5186444214812535e-05,1.5182879046773724e-05,0.0035653085957709366,0.008222381777380428,0.0013284517705828178,0.2906914703347731,0.0,0.02353662347007584,0.0,0.0,0.3555914418138678,0.0,103705.2942914341,0.04115523510403541,0.0,0.0,0.04901023563395886,0.06507802922733556,0.06478555897976822,7.785215178476467e-16,0.005991001191161656,6.986364046998379e-05,6.986364046998379e-05,0.02375751497739425,6.986364046998379e-05,9.422154140788758e-06,0.02333433684374321,0.022998793223323204,0.030549229520823208,0.030549229520823208,0.01649803643566284,0.5856348709679875,0.0,0.016067426686514005,0.0,0.0,1.3742176738355394,0.0,0.0,0.0,0.0,0.0,0.03437723421326925
randomized_metadata,wave,proxy_0.20_0.05,0.0,0.041443638594096735,0.0,0.03162186316654293,0.008588221165862504,5.157730980433052e-06,0.006455209998724362,0.0022760692584395453,0.13093987008970645,0.04149418126326054,151.59518919999877,0.4603351019322872,0.9167853742837906,1.0,0.0,11.040041153629621,0.46091529230276745,120970.79418388505,0.22422888642176986,0.0,0.0,1.5185984522104263,0.004541200920357369,0.004457210627151653,1.744743515753823e-14,0.0008165052549884422,1.4233959868178067e-07,1.4233959868178067e-07,0.9124925285577774,1.4233959868178067e-07,0.006550695533708979,0.9220443144440651,0.9263585532704989,0.8515166098044978,0.8515166098044978,0.042319839293567287,3.508896807829539,0.0,0.8979325940211614,0.25,1.0774961709976196,3.5971102192997932,0.19725319950117004,5.19378603498141,11.425957719484964,0.747200840463241,0.0,0.10925280892600615,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0_diss0_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_framegabor_gaussian_sparse1_sklp0.16_tsyn1_tin1_tref0,synthetic,3,wave_bicharacteristic_control,0.0,0.003388322725716532,0.0,0.003278487309311783,0.001104518193030457,6.625001316829099e-06,1.8332912835156568e-05,0.002675916904733412,0.009814120430092341,0.0005552427191027141,0.7043343039000769,0.002801190977790419,0.013631990080893337,0.0,0.0,3.6741725243247765,0.0028772403278376443,129704.28181561445,0.031246552075384508,0.0,0.0,0.006568677696140959,0.002410696644204822,0.0023574968530542997,9.876566937530335e-16,0.0004930046259608379,1.1272853600741898e-07,1.1272853600741898e-07,0.009581725606666293,1.1272853600741898e-07,3.594423353123702e-05,0.012522118725164975,0.012330202684924569,0.020348087679034378,0.020348087679034378,0.022601807081657103,0.13668263114520937,0.0,0.016067426686514005,0.0,0.0,1.3742176738355394,0.027034631667031635,0.17958082560604952,1.038980646726135,0.19388553910873227,0.0,0.009960516840788093
full,wave,proxy_0.20_0.05,0.0,0.0010665461904106148,0.0,0.00011751608541190864,0.0013940920454034414,1.1695317289062146e-05,0.006344374831921111,0.0003598203451619221,0.05553259571833122,0.108826811114947,149.82106803333104,3.917431483084025e-05,0.31741572295626,1.0,0.0,6.539387561380863,0.017535878034929436,1605551.0745442708,0.0699688995082397,0.0,0.0,1.4655134677886963,0.021691775841948886,0.016658260506422568,2.497554684948178e-14,0.011498262620686242,1.2602261714178553e-05,1.2602261714178553e-05,0.3148427310710152,1.2602261714178553e-05,0.0063280231358173,0.31476977840065956,0.3144801612943411,0.9221287700865004,0.9221287700865004,-0.011958985829955459,0.8622629592816035,0.0,0.4967314936220646,0.25,1.0774961709976196,0.5932435983171066,0.220553924019138,4.113645017147064,4.369687209526698,1.1610496193170547,1.3663433608081605,0.005166812343910958,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0_diss0_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_framegabor_gaussian_sparse1_sklp0.16_tsyn1_tin1_tref0,synthetic,3,wave_chirp_propagation,0.0,0.0001818925253082635,0.0,5.383565204743777e-05,0.0003899030671545995,6.534559735747708e-06,2.3757209359893052e-05,0.0001546004128527404,0.007264237346737806,0.0004150881703126747,1.142392566256346,5.341392623288727e-06,0.07090241549601793,0.0,0.0,3.4997597214839975,1.1637592248113282e-05,338379.46565491945,0.030570977227976692,0.0,0.0,0.039653552079096356,0.001396701120652538,0.001144984392214196,7.832155119028953e-16,0.0025694836829064827,3.0440225919254794e-07,3.0440225919254794e-07,0.07064508311544279,3.0440225919254794e-07,2.509144482064482e-05,0.07017185936601246,0.06982048349438091,0.033202990811072,0.033202990811072,0.019092426628121495,0.13715738570306937,0.0,0.013847329607521936,0.0,0.0,0.13730731467394844,0.02792875273716972,0.12388482439478785,0.653078099557348,0.21072489248076196,0.020368058281413148,0.0010067630324500823
full_no_flow_supervision,wave,proxy_0.20_0.05,0.0,0.0010846970254634572,0.0,0.00012323425143121212,0.000929641888471148,1.1119080087058148e-05,0.006356036060929505,0.022170298205714464,0.06187195096087331,0.10669388715177774,147.94585619999756,0.007927259003433088,0.3212795974686742,1.0,0.0,7.504144207884868,0.017431168894593913,1671521.4044596355,0.06767881617997773,0.0,0.0,1.4911200354496639,0.01858812483260408,0.014215937015251257,2.4946872454876618e-14,0.009928589909880733,9.806408060697436e-06,9.806408060697436e-06,0.3190859056388338,9.806408060697436e-06,0.006359606185772766,0.31933725128571194,0.3193277884274721,0.9217073164052433,0.9217073164052433,0.12536499942911583,1.2011201828718185,0.0,0.4967314936220646,0.25,1.0774961709976196,0.5932435983171066,0.2175331676585807,4.042807906866074,4.206698293487231,2.1658489803473153,1.4208704862329695,0.006984337359123553,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0_diss0_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_framegabor_gaussian_sparse1_sklp0.16_tsyn1_tin1_tref0,synthetic,3,wave_chirp_propagation,0.0,0.00017627183847388232,0.0,5.466170487610398e-05,6.75464626738139e-05,5.993486644336442e-06,1.6990284442303968e-05,0.01629004221787654,0.0025287978192712977,0.0019523237087555906,0.5712683652497723,0.005623084948338869,0.07514505676601149,0.0,0.0,4.7362444737407685,0.0011398502161695677,321082.5910724621,0.03416072512096548,0.0,0.0,0.032519779517821916,0.006830963591553933,0.004869513559385782,6.411160931923459e-16,0.004457440318595567,5.5012574913154616e-06,5.5012574913154616e-06,0.07478396986093468,5.5012574913154616e-06,3.79530238250645e-05,0.07449713392591892,0.07432665797474425,0.03865941419003153,0.03865941419003153,0.03161561795072666,0.6277569120513716,0.0,0.013847329607521936,0.0,0.0,0.13730731467394844,0.029979982860826263,0.11242956369750297,0.7182966725646622,0.36590978786207573,0.010574259444891917,0.0010973972065079752
identity_transport,wave,proxy_0.20_0.05,0.0,0.006109281859405908,0.0,0.005311904918117862,0.0012447129932348212,1.909157641335726e-06,0.00636324446531944,0.020833771540007245,0.061021871192173824,0.10888490111877522,149.64354206666758,0.017541948705911636,0.8065367278953394,1.0,0.0,17.592385431130726,0.0,749016.7913411459,0.04453538148663938,0.0,0.0,1.5112598091363907,0.007564862244180404,0.005744818372477312,2.3983429228582318e-14,0.004083872227056418,1.8392966115721165e-06,1.8392966115721165e-06,0.8061706510682901,1.8392966115721165e-06,0.0063780591008253396,0.809648851553599,0.8129131086170673,1.046598746544785,1.046598746544785,0.1415993203748561,1.2100686406095822,0.0,0.4967314936220646,0.25,1.0774961709976196,0.5932435983171066,0.21298238769587544,4.3328980803489685,1.4055748541371335e-05,5.0188820684600915e-06,1.3321843147277832,0.02587457695820679,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0_diss0_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_framegabor_gaussian_sparse1_sklp0.16_tsyn1_tin1_tref0,synthetic,3,wave_chirp_propagation,0.0,0.0005515076173888949,0.0,0.0003783809505728565,0.00013306539952299918,1.3619813149540622e-06,2.3351604527608657e-05,0.00594540716300781,0.0035660873932259057,0.0003362866951843624,1.3328407887009455,0.0,0.18678652811672397,0.0,0.0,12.016319713768413,0.0,223112.23752269492,0.007377560947576529,0.0,0.0,0.05686278378127605,0.0047626405678695,0.0037445238517837755,1.2859421443347029e-15,0.0026210696379611598,1.8366876501177084e-06,1.8366876501177084e-06,0.18645059329315647,1.8366876501177084e-06,9.351256284233872e-06,0.18563634168515797,0.1849987584325323,0.1496281672029095,0.1496281672029095,0.026231589984366158,0.3081584117986456,0.0,0.013847329607521936,0.0,0.0,0.13730731467394844,0.015230969699364777,0.14968972912289183,1.1664430573316856e-06,1.742916748650358e-06,0.0,0.005774170217603687
