ablation,batch_size,best_val_loss,branch_diversity_weight,branch_entropy_weight,branch_routing,branch_synthesis,campaign,canonical_loss_weight,core_field_weight,core_warmup_epochs,dissipative_symbol_scale,dissipative_time_step,effective_metadata_flow_loss_weight,epochs,family,final_train_branch_diversity_loss,final_train_branch_entropy_loss,final_train_canonical_consistency,final_train_core_field_loss,final_train_core_warmup_loss,final_train_highfreq_core_loss,final_train_metadata_flow_loss,final_train_packet_space_loss,final_train_residual_energy,final_train_route_l1,final_train_symbol_order_loss,final_train_symbol_proxy,final_train_symbol_seminorm_loss,final_train_transport_proxy,frame_type,freeze_refinement_epochs,grad_clip_norm,height,highfreq_core_loss_weight,highfreq_cutoff,in_channels,learning_rate,local_refine_scale,loss_config,max_modes,max_test_samples,max_train_samples,max_val_samples,metadata_flow_loss_weight,mode_strategy,model,model_variant,num_canonical_branches,oom_fallback,out_channels,packet_space_loss_weight,parameters,patch_size,pdo_symbol_order,pdo_symbol_scale,proxy_temperature,reference_source,refine_lowpass_cutoff,regime,requested_batch_size,residual_energy_weight,route_bias_init,route_l1_weight,row_type,run_id,runtime_seconds,scenario,seed,skip_lowpass_cutoff,source_kind,sparse_topk,stride,symbol_order,symbol_order_loss_weight,symbol_order_target,symbol_proxy_weight,symbol_seminorm_loss_weight,symbol_seminorm_target,test_branch_diversity,test_branch_entropy,test_branch_spread,test_branch_usage_max,test_canonical_flow_error,test_core_relative_l2,test_dissipative_multiplier_mean,test_dissipative_symbol_norm,test_egorov_intertwining_proxy,test_egorov_jacobian_self_proxy,test_egorov_jacobian_target_proxy,test_egorov_targeted_probe_proxy,test_high_frequency_relative_error_proxy,test_loss,test_metadata_shift_norm,test_packet_consistency,test_packet_wavefront_localization_error,test_pdo_identity_norm,test_pdo_identity_order_proxy,test_phase_error,test_raw_refine_correction_norm,test_refine_correction_norm,test_refine_high_frequency_fraction,test_refine_lowpass_removed_norm,test_refine_relative_energy,test_refinement_energy,test_relative_l2,test_residual_energy,test_route_mean,test_sobolev_h1_error_proxy,test_sobolev_h2_error_proxy,test_symbol_budget,test_symbol_error_proxy,test_symbol_order_proxy,test_symbol_order_scaling_error_proxy,test_symbol_seminorm_proxy,test_symplectic_defect_proxy,test_tokenizer_active_fraction,test_tokenizer_covering_radius,test_tokenizer_phase_window_diameter,test_tokenizer_reconstruction_error,test_transport_budget,test_transported_input_norm,test_transported_input_shift_norm,test_transported_landing_gate,test_transported_landing_norm,test_transported_synthesis_shift_norm,test_wavefront_confidence_proxy,test_wf_transport_error_proxy,token_refine_scale,transport_highpass_cutoff,transport_parameterization,transport_proxy_weight,transport_stencil,transported_decoder_channels,transported_decoder_scale,transported_decoder_transport_gate,transported_input_scale,transported_synthesis_mode,transported_synthesis_scale,wavefront_confidence_scale,weight_decay,width,window_type
full,2,0.0014588435490926106,0.0,0.0,metadata_softmax,sum,calculus_id,0.02,2.0,8,0.1,1.0,0.0,16,poisson_robin,0.0,0.0,0.0,0.0012950169984833337,0.0,0.0004398710813499444,0.0,0.397833488881588,1.5714470280592252e-08,0.006459749856730923,0.0005032271208383343,0.2102140731488665,0.1436836694677671,0.044137902868290745,gabor_gaussian,8,1.0,192,1.0,0.16,3,0.0001,0.05,proxy_0.10_0.05,16,0,0,0,0.0,shell_balanced,MiNO-Plus,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0.1_diss0.1_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_framegabor_gaussian_sparse1_sklp0.16_tsyn1_tin1_tsmwarp_tdec1x16_tdgate1_tref0_br1_brroutemetadata_softmax_brent0_brdiv0,1,False,1,0.05,1473398,16,-2.0,0.1,0.05,,0.16,control,2,0.5,-5.0,0.05,run,calculus_id_poisson_robin_control_proxy_0p10_0p05_full_7_hamiltonian_verlet_gabor_gaussian_True_2p0_0p16_0p16_0p16_1p0_1p0_warp_16_1p0_True_0p0_1_metadata_softmax_0p0_0p0_0p0_0p01_0p05_1p0_0p0_8_8,1899.2518912000087,poisson_robin_control,7,0.16,tcno_cache,True,8,0.0,0.01,0.0,0.05,0.001,0.0,0.0,0.0,0.0,1.0,0.009285148854056994,0.03435457622011503,0.49727871807085144,0.40304359835055137,0.0,0.0,0.0,0.0,0.45514676223198575,0.001396636890907151,0.009285148854056994,0.007907132462908825,0.013255311797062555,0.048662766348570585,-0.7401336141758494,1.1921593348185222,0.007602857348198692,0.007595943131794532,1.643203895366585e-14,0.0003164848676533438,1.5656111499821417e-09,1.5656111499821417e-09,0.034354964115967355,1.5656111499821417e-09,0.006692852824926376,0.0342454225756228,0.03455366054549813,0.3039782995151149,0.3039782995151149,0.0013299728323343312,0.8665571709473928,0.2774583798729711,0.0,0.9999803105990092,0.0833333432674408,1.3031495809555054,4.563807348410289,0.17741988392339814,4.232498864332835,3.981722911198934,0.03540159668773413,0.13649376792212328,7.270163933436076,1.3285768114858203,0.0002678897496177039,0.0,0.16,hamiltonian_verlet,0.1,12,16,1.0,True,1.0,warp,1.0,2.0,0.0001,192,gaussian
full,2,0.0011221949486449982,0.0,0.0,metadata_softmax,sum,calculus_id,0.02,2.0,8,0.1,1.0,0.0,16,poisson_robin,0.0,0.0,0.0,0.0013212376955683187,0.0,0.00046825325898680603,0.0,0.3264861845721801,1.9235741888223856e-09,0.006459881648576508,0.0004955058496102319,0.2985933156063159,0.5935233036677042,0.044164995585257806,gabor_gaussian,8,1.0,192,1.0,0.16,3,0.0001,0.05,proxy_0.10_0.05,16,0,0,0,0.0,shell_balanced,MiNO-Plus,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0.1_diss0.1_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_framegabor_gaussian_sparse1_sklp0.16_tsyn1_tin1_tsmwarp_tdec1x16_tdgate1_tref0_br1_brroutemetadata_softmax_brent0_brdiv0,1,False,1,0.05,1473398,16,-2.0,0.1,0.05,,0.16,control,2,0.5,-5.0,0.05,run,calculus_id_poisson_robin_control_proxy_0p10_0p05_full_11_hamiltonian_verlet_gabor_gaussian_True_2p0_0p16_0p16_0p16_1p0_1p0_warp_16_1p0_True_0p0_1_metadata_softmax_0p0_0p0_0p0_0p01_0p05_1p0_0p0_8_8,2300.009755399995,poisson_robin_control,11,0.16,tcno_cache,True,8,0.0,0.01,0.0,0.05,0.001,0.0,0.0,0.0,0.0,1.0,0.01111449634966751,0.03091998491436243,0.49372920849257046,0.4046545910338561,0.0,0.0,0.0,0.0,0.707254116733869,0.0011029700011325378,0.01111449634966751,0.011294280799726645,0.013108297406385342,0.06791171545369758,-0.6774878112806214,1.2537972629070282,0.0028027138323523104,0.002791429423571875,1.835551031058328e-14,0.00024245798704214394,2.203372877670103e-10,2.203372877670103e-10,0.030919811222702265,2.203372877670103e-10,0.006629414895238976,0.03074347445120414,0.03118830748523275,0.3096796243141095,0.3096796243141095,-0.004113417998370197,1.1313107411066692,0.4318527802824974,0.0,0.9999803105990092,0.0833333432674408,1.3031495809555054,4.563807348410289,0.2171556813021501,5.4041094581286115,4.854322969913483,0.04200157802551985,0.5873453617095947,29.449906667073567,1.3264422118663788,0.0003411862441377404,0.0,0.16,hamiltonian_verlet,0.1,12,16,1.0,True,1.0,warp,1.0,2.0,0.0001,192,gaussian
full,2,0.0010952666101123516,0.0,0.0,metadata_softmax,sum,calculus_id,0.02,2.0,8,0.1,1.0,0.0,16,poisson_robin,0.0,0.0,0.0,0.0012130001408271103,0.0,0.00038011489050404634,0.0,0.3252576198428869,4.3346148799935e-09,0.006460108561441302,0.0006398167882034992,0.3531037649760644,0.2801965344697237,0.044172515238945685,gabor_gaussian,8,1.0,192,1.0,0.16,3,0.0001,0.05,proxy_0.10_0.05,16,0,0,0,0.0,shell_balanced,MiNO-Plus,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0.1_diss0.1_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_framegabor_gaussian_sparse1_sklp0.16_tsyn1_tin1_tsmwarp_tdec1x16_tdgate1_tref0_br1_brroutemetadata_softmax_brent0_brdiv0,1,False,1,0.05,1473398,16,-2.0,0.1,0.05,,0.16,control,2,0.5,-5.0,0.05,run,calculus_id_poisson_robin_control_proxy_0p10_0p05_full_19_hamiltonian_verlet_gabor_gaussian_True_2p0_0p16_0p16_0p16_1p0_1p0_warp_16_1p0_True_0p0_1_metadata_softmax_0p0_0p0_0p0_0p01_0p05_1p0_0p0_8_8,1757.8138641000114,poisson_robin_control,19,0.16,tcno_cache,True,8,0.0,0.01,0.0,0.05,0.001,0.0,0.0,0.0,0.0,1.0,0.012659380057205757,0.03038585822408398,0.48728379896945423,0.402426870746745,0.0,0.0,0.0,0.0,0.545595849553744,0.0010942903948792566,0.012659380057205757,0.010472738184034824,0.01333475656186541,0.06762593524116609,-0.9109429152061542,1.330957368016243,0.014733977771053711,0.014725658421715101,1.7630372604218925e-14,0.00047924832567029324,5.909642516085019e-09,5.909642516085019e-09,0.0303863810064892,5.909642516085019e-09,0.006597962734910349,0.030155677037934463,0.030511500934759777,0.29620956463946235,0.29620956463946235,0.002887759312418186,0.7165277600288391,0.3308014128771093,0.0,0.9999803105990092,0.0833333432674408,1.3031495809555054,4.563807348410289,0.2004558951076534,5.382798790931702,4.826565782229106,0.04018083509678642,0.5438801646232605,13.498082717259726,1.3306493245893054,0.0003272250675460479,0.0,0.16,hamiltonian_verlet,0.1,12,16,1.0,True,1.0,warp,1.0,2.0,0.0001,192,gaussian
no_transport,2,0.0014997250715775106,0.0,0.0,metadata_softmax,sum,calculus_id,0.02,2.0,8,0.1,1.0,0.0,16,poisson_robin,0.0,0.0,0.0,0.0012576847099505055,0.0,0.00046709325245804695,0.0,0.3402113125969966,4.764447036897934e-08,0.006459569907747209,0.0006551551287192018,0.4256891341259082,0.14958007664730152,0.044105799247821174,gabor_gaussian,8,1.0,192,1.0,0.16,3,0.0001,0.05,proxy_0.10_0.05,16,0,0,0,0.0,shell_balanced,MiNO-Plus,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0.1_diss0.1_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_framegabor_gaussian_sparse1_sklp0.16_tsyn1_tin1_tsmwarp_tdec1x16_tdgate1_tref0_br1_brroutemetadata_softmax_brent0_brdiv0,1,False,1,0.05,760634,16,-2.0,0.1,0.05,,0.16,control,2,0.5,-5.0,0.05,run,calculus_id_poisson_robin_control_proxy_0p10_0p05_no_transport_7_hamiltonian_verlet_gabor_gaussian_True_2p0_0p16_0p16_0p16_1p0_1p0_warp_16_1p0_True_0p0_1_metadata_softmax_0p0_0p0_0p0_0p01_0p05_1p0_0p0_8_8,66.78849169999012,poisson_robin_control,7,0.16,tcno_cache,True,8,0.0,0.01,0.0,0.05,0.001,0.0,0.0,0.0,0.0,1.0,0.0,0.03357903736953934,0.49343213273419273,0.40598822716209626,0.0,0.0,0.0,0.0,0.9829340626796087,0.0013555202579785448,0.0,0.0078096579139431315,0.013495084053526321,0.06780404318124056,-0.7854959637754493,1.4055098295211792,0.04980728433777889,0.04975368113567432,1.537466019703752e-14,0.0022501027948843935,6.723506788356796e-08,6.723506788356796e-08,0.033578874388088785,6.723506788356796e-08,0.006444084186417361,0.034012535431732736,0.0347017675327758,0.2914811097499397,0.2914811097499397,-0.0027111731469631195,1.7510467569033306,0.37793972053461605,0.0,0.9999803105990092,0.0833333432674408,1.3031495809555054,4.563807348410289,0.0,2.4845378200213113,3.2588212282765504e-05,0.03797381619612376,1.5286583205064137,5.19761359403977e-06,0.0,0.0003687083799377433,0.0,0.16,hamiltonian_verlet,0.1,12,16,1.0,True,1.0,warp,1.0,2.0,0.0001,192,gaussian
no_transport,2,0.0016291445159974198,0.0,0.0,metadata_softmax,sum,calculus_id,0.02,2.0,8,0.1,1.0,0.0,16,poisson_robin,0.0,0.0,0.0,0.0013903608487453312,0.0,0.0005213801179403769,0.0,0.34039057542880374,6.4396168841796e-08,0.006459647304533671,0.00043424201526439293,0.4292682446539402,0.09794709924608469,0.04410579971348246,gabor_gaussian,8,1.0,192,1.0,0.16,3,0.0001,0.05,proxy_0.10_0.05,16,0,0,0,0.0,shell_balanced,MiNO-Plus,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0.1_diss0.1_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_framegabor_gaussian_sparse1_sklp0.16_tsyn1_tin1_tsmwarp_tdec1x16_tdgate1_tref0_br1_brroutemetadata_softmax_brent0_brdiv0,1,False,1,0.05,760634,16,-2.0,0.1,0.05,,0.16,control,2,0.5,-5.0,0.05,run,calculus_id_poisson_robin_control_proxy_0p10_0p05_no_transport_11_hamiltonian_verlet_gabor_gaussian_True_2p0_0p16_0p16_0p16_1p0_1p0_warp_16_1p0_True_0p0_1_metadata_softmax_0p0_0p0_0p0_0p01_0p05_1p0_0p0_8_8,69.63725580000028,poisson_robin_control,11,0.16,tcno_cache,True,8,0.0,0.01,0.0,0.05,0.001,0.0,0.0,0.0,0.0,1.0,0.0,0.034591395407915115,0.4910607979529434,0.4027109311686622,0.0,0.0,0.0,0.0,0.971902146935463,0.0014224772094166838,0.0,0.007951778747762242,0.013094801222905517,0.0549611023420261,-0.8843159468637573,1.431919664144516,0.04594099366416534,0.045918645026783146,1.9530200165791014e-14,0.0013873735539770375,5.7404344981174894e-08,5.7404344981174894e-08,0.03458277337873975,5.7404344981174894e-08,0.006474470680889984,0.03467221728836497,0.035364454767356314,0.31734516471624374,0.31734516471624374,-0.006973560348746509,1.7738020221392314,0.3161006636089749,0.0,0.9999803105990092,0.0833333432674408,1.3031495809555054,4.563807348410289,0.0,2.4831311404705048,3.243515023617268e-05,0.03616958064958453,1.4040395319461823,4.455993689589377e-06,0.0,0.0003929823348395682,0.0,0.16,hamiltonian_verlet,0.1,12,16,1.0,True,1.0,warp,1.0,2.0,0.0001,192,gaussian
no_transport,2,0.0015916569561037857,0.0,0.0,metadata_softmax,sum,calculus_id,0.02,2.0,8,0.1,1.0,0.0,16,poisson_robin,0.0,0.0,0.0,0.001394680944334444,0.0,0.0005225310008730352,0.0,0.3404928793509801,7.944352472163037e-08,0.006459675350924954,0.0002788856919255049,0.43019387560586136,0.09023706475272775,0.04410579955826203,gabor_gaussian,8,1.0,192,1.0,0.16,3,0.0001,0.05,proxy_0.10_0.05,16,0,0,0,0.0,shell_balanced,MiNO-Plus,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0.1_diss0.1_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_framegabor_gaussian_sparse1_sklp0.16_tsyn1_tin1_tsmwarp_tdec1x16_tdgate1_tref0_br1_brroutemetadata_softmax_brent0_brdiv0,1,False,1,0.05,760634,16,-2.0,0.1,0.05,,0.16,control,2,0.5,-5.0,0.05,run,calculus_id_poisson_robin_control_proxy_0p10_0p05_no_transport_19_hamiltonian_verlet_gabor_gaussian_True_2p0_0p16_0p16_0p16_1p0_1p0_warp_16_1p0_True_0p0_1_metadata_softmax_0p0_0p0_0p0_0p01_0p05_1p0_0p0_8_8,96.15903409999737,poisson_robin_control,19,0.16,tcno_cache,True,8,0.0,0.01,0.0,0.05,0.001,0.0,0.0,0.0,0.0,1.0,0.0,0.03440824259693424,0.4918038969238599,0.40443897992372513,0.0,0.0,0.0,0.0,0.9537041733662287,0.0013983850585645996,0.0,0.008110844685385624,0.012607943887511889,0.0673844629070825,-0.3954232881466548,1.3743851681550343,0.057768618067105613,0.057731744522849716,1.936568420340544e-14,0.002002654286722342,9.09954766351954e-08,9.09954766351954e-08,0.03440035957222184,9.09954766351954e-08,0.00644413405098021,0.03455406396339337,0.035174779749164976,0.2979977575855123,0.2979977575855123,-0.008514250680390332,0.8771487772464752,0.29719559682740104,0.0,0.9999803105990092,0.0833333432674408,1.3031495809555054,4.563807348410289,0.0,2.4826617439587912,3.230540460208431e-05,0.03742235666140914,1.2775290608406067,3.807614291417849e-06,0.0,0.00037250201421556994,0.0,0.16,hamiltonian_verlet,0.1,12,16,1.0,True,1.0,warp,1.0,2.0,0.0001,192,gaussian
no_symbol,2,0.0013805531513450358,0.0,0.0,metadata_softmax,sum,calculus_id,0.02,2.0,8,0.1,1.0,0.0,16,poisson_robin,0.0,0.0,0.0,0.0011743770337488968,0.0,0.0003495569764406052,0.0,0.3339309735844533,2.0220213781119156e-08,0.006459676932233076,8.398623318633751e-25,0.41078451586266357,0.0,0.04418270972867807,gabor_gaussian,8,1.0,192,1.0,0.16,3,0.0001,0.05,proxy_0.10_0.05,16,0,0,0,0.0,shell_balanced,MiNO-Plus,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0.1_diss0.1_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_framegabor_gaussian_sparse1_sklp0.16_tsyn1_tin1_tsmwarp_tdec1x16_tdgate1_tref0_br1_brroutemetadata_softmax_brent0_brdiv0,1,False,1,0.05,1268342,16,-2.0,0.1,0.05,,0.16,control,2,0.5,-5.0,0.05,run,calculus_id_poisson_robin_control_proxy_0p10_0p05_no_symbol_7_hamiltonian_verlet_gabor_gaussian_True_2p0_0p16_0p16_0p16_1p0_1p0_warp_16_1p0_True_0p0_1_metadata_softmax_0p0_0p0_0p0_0p01_0p05_1p0_0p0_8_8,2077.5022188000003,poisson_robin_control,7,0.16,tcno_cache,True,8,0.0,0.01,0.0,0.05,0.001,0.0,0.0,0.0,0.0,1.0,0.01425621798262,0.03377586339289943,0.4872158198720879,0.4183840900659561,0.0,0.0,0.0,0.0,0.7510971004764239,0.0013061182786865781,0.01425621798262,0.00847541521458576,0.013259737053886056,0.07565364800393581,-0.6062143002119329,1.3966744144757588,0.017190572805702686,0.017138399959852297,1.3541471682041242e-14,0.001313137656931455,7.991607338849368e-09,7.991607338849368e-09,0.033774216969807945,7.991607338849368e-09,0.006535813367615144,0.03391005052253604,0.03440432250499725,0.0,0.0,-8.507031987071085e-13,1.3902234037717183,0.0,0.0,0.9999803105990092,0.0833333432674408,1.3031495809555054,4.563807348410289,0.1975331242299742,4.56803431113561,4.381246209144592,0.039970974127451576,1.1973948776721954,34.91147263844808,1.330789844195048,0.000264602077853245,0.0,0.16,hamiltonian_verlet,0.1,12,16,1.0,True,1.0,warp,1.0,2.0,0.0001,192,gaussian
no_symbol,2,0.0011230487361899577,0.0,0.0,metadata_softmax,sum,calculus_id,0.02,2.0,8,0.1,1.0,0.0,16,poisson_robin,0.0,0.0,0.0,0.0014574878999458936,0.0,0.0005812451757568245,0.0,0.3555774999161561,1.1802238307027462e-09,0.0064594293653499335,8.471914122143201e-25,0.28503137671699125,0.0,0.04415393698339661,gabor_gaussian,8,1.0,192,1.0,0.16,3,0.0001,0.05,proxy_0.10_0.05,16,0,0,0,0.0,shell_balanced,MiNO-Plus,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0.1_diss0.1_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_framegabor_gaussian_sparse1_sklp0.16_tsyn1_tin1_tsmwarp_tdec1x16_tdgate1_tref0_br1_brroutemetadata_softmax_brent0_brdiv0,1,False,1,0.05,1268342,16,-2.0,0.1,0.05,,0.16,control,2,0.5,-5.0,0.05,run,calculus_id_poisson_robin_control_proxy_0p10_0p05_no_symbol_11_hamiltonian_verlet_gabor_gaussian_True_2p0_0p16_0p16_0p16_1p0_1p0_warp_16_1p0_True_0p0_1_metadata_softmax_0p0_0p0_0p0_0p01_0p05_1p0_0p0_8_8,1663.9114371000032,poisson_robin_control,11,0.16,tcno_cache,True,8,0.0,0.01,0.0,0.05,0.001,0.0,0.0,0.0,0.0,1.0,0.011204403514663378,0.03129848542933663,0.4923663122786416,0.4067075596087509,0.0,0.0,0.0,0.0,0.6342920064926147,0.0011117683267608907,0.011204403514663378,0.009760197795306643,0.012849245375643173,0.13991313676039377,-0.6447793747841691,1.2554164826869965,0.006103405496105552,0.006055352743715048,2.054026733246182e-14,0.000756794431557258,1.003361717784775e-09,1.003361717784775e-09,0.03129748084271947,1.003361717784775e-09,0.006535636571546395,0.03126452801128229,0.03165578035016855,0.0,0.0,-6.442910669148711e-13,1.1523264944553375,0.0,0.0,0.9999803105990092,0.0833333432674408,1.3031495809555054,4.563807348410289,0.2959560246931182,5.466286917527516,5.057183305422465,0.04436598718166351,1.527419904867808,14.568722009658813,1.3297205169995625,0.0003275076936309536,0.0,0.16,hamiltonian_verlet,0.1,12,16,1.0,True,1.0,warp,1.0,2.0,0.0001,192,gaussian
no_symbol,2,0.0010751663370077342,0.0,0.0,metadata_softmax,sum,calculus_id,0.02,2.0,8,0.1,1.0,0.0,16,poisson_robin,0.0,0.0,0.0,0.0012656075511282931,0.0,0.00042311234513666324,0.0,0.34076151934762794,9.358190278252465e-09,0.006459259408681343,1.470101281368785e-24,0.3545390007396539,0.0,0.04417017575663825,gabor_gaussian,8,1.0,192,1.0,0.16,3,0.0001,0.05,proxy_0.10_0.05,16,0,0,0,0.0,shell_balanced,MiNO-Plus,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0.1_diss0.1_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_framegabor_gaussian_sparse1_sklp0.16_tsyn1_tin1_tsmwarp_tdec1x16_tdgate1_tref0_br1_brroutemetadata_softmax_brent0_brdiv0,1,False,1,0.05,1268342,16,-2.0,0.1,0.05,,0.16,control,2,0.5,-5.0,0.05,run,calculus_id_poisson_robin_control_proxy_0p10_0p05_no_symbol_19_hamiltonian_verlet_gabor_gaussian_True_2p0_0p16_0p16_0p16_1p0_1p0_warp_16_1p0_True_0p0_1_metadata_softmax_0p0_0p0_0p0_0p01_0p05_1p0_0p0_8_8,1688.095508000013,poisson_robin_control,19,0.16,tcno_cache,True,8,0.0,0.01,0.0,0.05,0.001,0.0,0.0,0.0,0.0,1.0,0.01004682038910687,0.030088762907932203,0.49580604541632867,0.4042030821243922,0.0,0.0,0.0,0.0,0.518239788711071,0.0010493055160623044,0.01004682038910687,0.00856378833608081,0.013002183443556229,0.10565890521845883,-1.005590982321236,1.2671437462170918,0.02134499605745077,0.021311127115041018,1.951482157677282e-14,0.0011659211692555498,1.2420516985282385e-08,1.2420516985282385e-08,0.03008735040202737,1.2420516985282385e-08,0.006535512278787792,0.029981913200269144,0.030323964543640614,0.0,0.0,-6.428053048744698e-13,0.9670969347159067,0.0,0.0,0.9999803105990092,0.0833333432674408,1.3031495809555054,4.563807348410289,0.25409870677524143,5.341051081816356,4.844968398412068,0.0402220735947291,1.2200045486291249,8.805307229359945,1.332025061051051,0.00027256417646034,0.0,0.16,hamiltonian_verlet,0.1,12,16,1.0,True,1.0,warp,1.0,2.0,0.0001,192,gaussian
no_pdo_identity,2,0.0014599208819466487,0.0,0.0,metadata_softmax,sum,calculus_id,0.02,2.0,8,0.1,1.0,0.0,16,poisson_robin,0.0,0.0,0.0,0.001292079642250125,0.0,0.0004408069865651972,0.0,0.39784360614915687,1.57577397981908e-08,0.006459613883635029,0.00027116970704336535,0.20879798382520676,0.16272650534907976,0.0441403950098902,gabor_gaussian,8,1.0,192,1.0,0.16,3,0.0001,0.05,proxy_0.10_0.05,16,0,0,0,0.0,shell_balanced,MiNO-Plus,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0.1_diss0.1_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_framegabor_gaussian_sparse1_sklp0.16_tsyn1_tin1_tsmwarp_tdec1x16_tdgate1_tref0_br1_brroutemetadata_softmax_brent0_brdiv0,1,False,1,0.05,1473398,16,-2.0,0.1,0.05,,0.16,control,2,0.5,-5.0,0.05,run,calculus_id_poisson_robin_control_proxy_0p10_0p05_no_pdo_identity_7_hamiltonian_verlet_gabor_gaussian_True_2p0_0p16_0p16_0p16_1p0_1p0_warp_16_1p0_True_0p0_1_metadata_softmax_0p0_0p0_0p0_0p01_0p05_1p0_0p0_8_8,1855.4889231999987,poisson_robin_control,7,0.16,tcno_cache,True,8,0.0,0.01,0.0,0.05,0.001,0.0,0.0,0.0,0.0,1.0,0.009101807217424115,0.03315769710267583,0.4961742257906331,0.4021518780953354,0.0,0.0,0.0,0.0,0.5334618588288625,0.001332045469704705,0.009101807217424115,0.007632968481630087,0.013108652550727129,0.0,-6.681965907234105e-13,1.2107470830281575,0.0063371983511994285,0.006325289607048035,1.3565320459359818e-14,0.00038053389531948295,1.09101452872018e-09,1.09101452872018e-09,0.033155822505553566,1.09101452872018e-09,0.006660947537360092,0.032910446636378765,0.033256229013204575,0.2812455476572116,0.2812455476572116,0.004552975440876455,1.3302070299784343,0.28402973525226116,0.0,0.9999803105990092,0.0833333432674408,1.3031495809555054,4.563807348410289,0.20018847576446003,4.268282771110535,3.9235111673672995,0.035259445353100695,0.8723461180925369,16.967610200246174,1.3275687330298953,0.00025700198330014246,0.0,0.16,hamiltonian_verlet,0.1,12,16,1.0,True,1.0,warp,1.0,2.0,0.0001,192,gaussian
