ablation,baseline_relative_l2,candidate_relative_l2,delta_packet_consistency,delta_phase_error,delta_relative_l2,delta_type,loss_config,scenario
no_branch_routing,0.5483849247296652,0.5484162370363871,-0.0001050730546315326,0.04329601923624682,3.1312306721931193e-05,ablation_vs_full,proxy_0.20_0.05,helmholtz_highk_control
no_symbol,0.5483849247296652,0.5483777125676473,0.00019157926241558654,-0.030030051867167007,-7.212162017822266e-06,ablation_vs_full,proxy_0.20_0.05,helmholtz_highk_control
no_transport,0.5483849247296652,0.5591972271601359,-0.017029662926991762,-0.002008676528930664,0.01081230243047071,ablation_vs_full,proxy_0.20_0.05,helmholtz_highk_control
no_transport_no_carrier,0.5483849247296652,0.5543529987335205,0.031794836123784365,0.160806695620219,0.00596807400385535,ablation_vs_full,proxy_0.20_0.05,helmholtz_highk_control
single_branch,0.5483849247296652,0.5483712156613668,-0.0014105737209320068,-0.0770101944605508,-1.3709068298339844e-05,ablation_vs_full,proxy_0.20_0.05,helmholtz_highk_control
no_branch_routing,0.705464760462443,0.7054498394330343,-3.7868817647335185e-05,0.003389437993367439,-1.4921029408698772e-05,ablation_vs_full,proxy_0.20_0.05,helmholtz_highk_positive
no_symbol,0.705464760462443,0.7054608464241028,9.799003601074219e-05,-0.045270681381225586,-3.914038340213644e-06,ablation_vs_full,proxy_0.20_0.05,helmholtz_highk_positive
no_transport,0.705464760462443,0.7057375113169352,-0.003277738889058468,0.018061200777689468,0.0002727508544921875,ablation_vs_full,proxy_0.20_0.05,helmholtz_highk_positive
no_transport_no_carrier,0.705464760462443,0.7219576239585876,0.0326535701751709,0.12375537554423,0.01649286349614465,ablation_vs_full,proxy_0.20_0.05,helmholtz_highk_positive
single_branch,0.705464760462443,0.7053434650103251,0.00011626879374182497,-0.1251910527547202,-0.00012129545211791992,ablation_vs_full,proxy_0.20_0.05,helmholtz_highk_positive
no_branch_routing,0.7351144552230835,0.7351155877113342,-7.18235969543457e-06,-0.0041330655415852124,1.1324882507324219e-06,ablation_vs_full,proxy_0.20_0.05,helmholtz_variable_positive
no_symbol,0.7351144552230835,0.7351306875546774,4.1484832763671875e-05,0.021656274795532227,1.6232331593868388e-05,ablation_vs_full,proxy_0.20_0.05,helmholtz_variable_positive
no_transport,0.7351144552230835,0.7354360421498617,-0.0004927317301431922,-0.015159209569295173,0.00032158692677819456,ablation_vs_full,proxy_0.20_0.05,helmholtz_variable_positive
no_transport_no_carrier,0.7351144552230835,0.7344720959663391,-6.045897801715272e-05,-0.0342141787211101,-0.0006423592567443848,ablation_vs_full,proxy_0.20_0.05,helmholtz_variable_positive
single_branch,0.7351144552230835,0.7351014216740926,-6.739298502600466e-05,0.046546896298726326,-1.303354899084841e-05,ablation_vs_full,proxy_0.20_0.05,helmholtz_variable_positive
