ablation,family,loss_config,mean_final_train_canonical_consistency,mean_final_train_core_field_loss,mean_final_train_core_warmup_loss,mean_final_train_highfreq_core_loss,mean_final_train_packet_space_loss,mean_final_train_residual_energy,mean_final_train_route_l1,mean_final_train_symbol_order_loss,mean_final_train_symbol_proxy,mean_final_train_transport_proxy,mean_runtime_seconds,mean_test_branch_diversity,mean_test_branch_entropy,mean_test_branch_spread,mean_test_branch_usage_max,mean_test_canonical_flow_error,mean_test_core_relative_l2,mean_test_dissipative_multiplier_mean,mean_test_dissipative_symbol_norm,mean_test_high_frequency_relative_error_proxy,mean_test_metadata_shift_norm,mean_test_packet_consistency,mean_test_packet_wavefront_localization_error,mean_test_pdo_identity_norm,mean_test_pdo_identity_order_proxy,mean_test_phase_error,mean_test_raw_refine_correction_norm,mean_test_refine_correction_norm,mean_test_refine_high_frequency_fraction,mean_test_refine_lowpass_removed_norm,mean_test_refine_relative_energy,mean_test_refinement_energy,mean_test_relative_l2,mean_test_residual_energy,mean_test_route_mean,mean_test_sobolev_h1_error_proxy,mean_test_sobolev_h2_error_proxy,mean_test_symbol_budget,mean_test_symbol_error_proxy,mean_test_symbol_order_proxy,mean_test_symbol_order_scaling_error_proxy,mean_test_symplectic_defect_proxy,mean_test_tokenizer_active_fraction,mean_test_tokenizer_covering_radius,mean_test_tokenizer_phase_window_diameter,mean_test_tokenizer_reconstruction_error,mean_test_transport_budget,mean_test_transported_input_norm,mean_test_transported_input_shift_norm,mean_test_transported_landing_gate,mean_test_transported_landing_norm,mean_test_transported_synthesis_shift_norm,mean_test_wavefront_confidence_proxy,mean_test_wf_transport_error_proxy,model_variant,regime,runs,scenario,std_final_train_canonical_consistency,std_final_train_core_field_loss,std_final_train_core_warmup_loss,std_final_train_highfreq_core_loss,std_final_train_packet_space_loss,std_final_train_residual_energy,std_final_train_route_l1,std_final_train_symbol_order_loss,std_final_train_symbol_proxy,std_final_train_transport_proxy,std_runtime_seconds,std_test_branch_diversity,std_test_branch_entropy,std_test_branch_spread,std_test_branch_usage_max,std_test_canonical_flow_error,std_test_core_relative_l2,std_test_dissipative_multiplier_mean,std_test_dissipative_symbol_norm,std_test_high_frequency_relative_error_proxy,std_test_metadata_shift_norm,std_test_packet_consistency,std_test_packet_wavefront_localization_error,std_test_pdo_identity_norm,std_test_pdo_identity_order_proxy,std_test_phase_error,std_test_raw_refine_correction_norm,std_test_refine_correction_norm,std_test_refine_high_frequency_fraction,std_test_refine_lowpass_removed_norm,std_test_refine_relative_energy,std_test_refinement_energy,std_test_relative_l2,std_test_residual_energy,std_test_route_mean,std_test_sobolev_h1_error_proxy,std_test_sobolev_h2_error_proxy,std_test_symbol_budget,std_test_symbol_error_proxy,std_test_symbol_order_proxy,std_test_symbol_order_scaling_error_proxy,std_test_symplectic_defect_proxy,std_test_tokenizer_active_fraction,std_test_tokenizer_covering_radius,std_test_tokenizer_phase_window_diameter,std_test_tokenizer_reconstruction_error,std_test_transport_budget,std_test_transported_input_norm,std_test_transported_input_shift_norm,std_test_transported_landing_gate,std_test_transported_landing_norm,std_test_transported_synthesis_shift_norm,std_test_wavefront_confidence_proxy,std_test_wf_transport_error_proxy
full,helmholtz_highk,proxy_0.20_0.05,0.0,0.3024011005957921,0.0,0.1873647024234136,0.1791103594005108,1.9449615529243403e-10,0.006691192354386051,0.0015242735483411707,0.6213386307160059,0.04832232681413492,98.27074940000118,0.6593806048234304,1.0845151841640472,0.0002966721125024681,0.38609831780195236,0.0012245571124367416,0.5483865539232889,1.0,0.0,56.86004765828451,0.0012245571124367416,0.3723408281803131,0.03056959497431914,0.0,7.530316860341878e-13,1.471852978070577,0.0030271611952533326,0.002763930708169937,1.2218702679961564e-14,0.0011735335380459826,2.2033430404263163e-10,2.2033430404263163e-10,0.5483849247296652,2.2033430404263163e-10,0.006690199797352155,0.551000157992045,0.5533795952796936,0.2437657192349434,0.2437657192349434,0.0214840251331528,0.11575158437093098,0.0,1.0,0.06372366100549698,1.3623838424682617,0.7317692240079244,0.08195995663603146,59.410797119140625,13.870782852172852,0.3654155433177948,0.05717413003245989,0.14474330097436905,0.8761122624079386,0.0558304488658905,MiNO-Plus_wingaussian_modshell_balanced_K6_modes8_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0_diss0_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_frameanisotropic_gabor_sparse1_sklp0.16_tsyn1_tin1_tsmwarp_tdec1x16_tdgate1_tref0_br3_brroutemetadata_softmax_brent0.01_brdiv0.01,control,3,helmholtz_highk_control,0.0,0.00042604566690388927,0.0,0.00039121781689314614,0.00011053442627015726,1.2325206653179202e-10,4.295288927238966e-09,0.0010145929971523272,9.874877351023631e-05,9.184001233726644e-06,0.2225564825433187,0.002728944119607327,0.003275470798716552,5.626442275451622e-05,0.004873207481864055,0.00025532022878113994,0.0022323471162361257,0.0,0.0,4.568929125977127,0.00025532022878113994,0.002170293654620129,0.001248172089490337,0.0,8.887090208437504e-13,0.07850225949370072,0.0007370404293278501,0.0008512544242660898,2.3256520389873293e-15,0.00019852187580543531,1.340875532952376e-10,1.340875532952376e-10,0.0022308313940180256,1.340875532952376e-10,6.524799254096952e-09,0.0024076601098007816,0.0026203951749267655,0.015429970722846176,0.015429970722846176,0.04023576369066356,0.13377861728097643,0.0,0.0,0.0,0.0,3.4838562204366936e-06,0.006362311576340384,1.174110791500526,1.9112793439458786,0.0045914350444844956,0.013600856355456385,0.046003358429850524,0.0014498294374910624,0.002452938577600756
no_branch_routing,helmholtz_highk,proxy_0.20_0.05,0.0,0.3023894925912221,0.0,0.187359020113945,0.17910017321507135,1.945140772989055e-10,0.006691192431996266,0.0015154903308030043,0.6213226020336151,0.04831837676465511,98.79010493333287,0.6666666269302368,1.0986120700836182,0.00029658185424826417,0.3333333730697632,0.001221265255783995,0.5484179258346558,1.0,0.0,56.9775759379069,0.001221265255783995,0.3722357551256816,0.03116566004852454,0.0,1.769540146374955e-12,1.5151489973068237,0.0030274116434156895,0.0027639929515620074,1.5810369145251763e-14,0.00117397050295646,2.203473190946307e-10,2.203473190946307e-10,0.5484162370363871,2.203473190946307e-10,0.006690199797352155,0.5510347485542297,0.5534196694691976,0.24382356305917105,0.24382356305917105,0.030559637118130922,0.12855307261149088,0.0,1.0,0.06372366100549698,1.3623838424682617,0.7317692041397095,0.08017602283507586,59.439553578694664,13.802256266276041,0.36552783846855164,0.057283771534760795,0.14567153652509054,0.8759811768929163,0.055891805638869606,MiNO-Plus_wingaussian_modshell_balanced_K6_modes8_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0_diss0_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_frameanisotropic_gabor_sparse1_sklp0.16_tsyn1_tin1_tsmwarp_tdec1x16_tdgate1_tref0_br3_brroutemetadata_softmax_brent0.01_brdiv0.01,control,3,helmholtz_highk_control,0.0,0.00042917633273266014,0.0,0.00039250577683848685,0.00011281004526314906,1.232546030090333e-10,4.395095983758497e-09,0.0002110900853346338,0.00010345468213633367,1.0257550815014134e-05,0.15734845866492414,0.0,0.0,5.7637672756601544e-05,0.0,0.0002607265700999397,0.0022145783653427006,0.0,0.0,4.619148644105442,0.0002607265700999397,0.0022048040909119788,0.0018506594580231608,0.0,9.809334326768132e-13,0.039965815806160064,0.000737159168513024,0.00085137438845141,8.599965904377384e-15,0.00019900086213178546,1.341032088970715e-10,1.341032088970715e-10,0.002213043547296463,1.341032088970715e-10,6.524799254096952e-09,0.0023921071395835527,0.0026070463922382983,0.012829601902879366,0.012829601902879366,0.032340723540493256,0.18179068981994306,0.0,0.0,0.0,0.0,3.5222260243163485e-06,0.006760399882038905,1.1955248181515088,1.9801431840729753,0.004671723829924623,0.013551018745196488,0.04743106682264376,0.001028973099806431,0.002489640525859381
no_symbol,helmholtz_highk,proxy_0.20_0.05,0.0,0.3023997942606608,0.0,0.18736425787210464,0.17911250020066896,1.943934851052672e-10,0.006691192431996266,4.5647813398240214e-24,0.6213511824607849,0.04831935092806816,98.55884463333253,0.6596319874127706,1.0851218700408936,0.000292633673476909,0.3846390371521314,0.0012323592867081363,0.5483794013659159,1.0,0.0,56.70149485270182,0.0012323592867081363,0.3725324074427287,0.03047666201988856,0.0,1.1263354468487765e-12,1.44182292620341,0.003025847331931194,0.0027627182813982167,1.2258761973824693e-14,0.0011729225128268201,2.2019523241804487e-10,2.2019523241804487e-10,0.5483777125676473,2.2019523241804487e-10,0.006690199797352155,0.5509870449701945,0.5533591111501058,0.0,0.0,1.1263354468487765e-12,0.09291426340738933,0.0,1.0,0.06372366100549698,1.3623838424682617,0.7317694425582886,0.08491803333163261,59.36825815836588,13.977590243021647,0.36524977286656696,0.05720815807580948,0.14316814641157785,0.8776483635107676,0.055748213082551956,MiNO-Plus_wingaussian_modshell_balanced_K6_modes8_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0_diss0_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_frameanisotropic_gabor_sparse1_sklp0.16_tsyn1_tin1_tsmwarp_tdec1x16_tdgate1_tref0_br3_brroutemetadata_softmax_brent0.01_brdiv0.01,control,3,helmholtz_highk_control,0.0,0.0004382474587349915,0.0,0.0003964564993365745,0.00011141268142272673,1.2334124869987398e-10,4.564510022765837e-09,2.6262955581639625e-24,7.698906108849261e-05,1.280542801468283e-05,0.07399527637073297,0.0026524754726245554,0.0031334595520371234,6.210458045208187e-05,0.0038355027611257936,0.0002553109804111303,0.0022517529340551567,0.0,0.0,4.445410182661291,0.0002553109804111303,0.002058995156072861,0.0012832461903475223,0.0,4.678674768787587e-13,0.10583589799460637,0.0007382509163873069,0.0008526403371139243,3.341951089917162e-15,0.00019775694481356172,1.3430148174436328e-10,1.3430148174436328e-10,0.002250213431179807,1.3430148174436328e-10,6.524799254096952e-09,0.0024224213934043574,0.002629586505867133,0.0,0.0,4.678674768787587e-13,0.012147387179135077,0.0,0.0,0.0,0.0,3.6373487239819426e-06,0.004888964700519284,1.1374653306811133,1.817070082149506,0.004450745722381945,0.013522086219634124,0.04782177614942181,0.00041112808834539526,0.002391546348646688
no_transport,helmholtz_highk,proxy_0.20_0.05,0.0,0.30645020802815753,0.0,0.19148716578880945,0.17911840975284576,1.9631546735454641e-10,0.006691192587216695,0.01417420502305807,0.6213455349206924,0.04836566373705864,1.2537861333318385,0.6597271511952082,1.0850901405016582,0.0,0.38378817091385525,5.684924412700335e-08,0.5591988563537598,1.0,0.0,79.67900085449219,5.684924412700335e-08,0.35531116525332135,0.041442517191171646,0.0,2.181773660029964e-12,1.4698443015416462,0.003071741433814168,0.0027760983599970737,1.3791145372328445e-14,0.0012513302887479465,2.2173977700286804e-10,2.2173977700286804e-10,0.5591972271601359,2.2173977700286804e-10,0.0066902001077930135,0.5627913872400919,0.5663692752520243,0.23690610999862352,0.23690610999862352,-0.047737032252674304,0.33426634470621747,0.0,1.0,0.06372366100549698,1.3623838424682617,0.7317691644032797,0.0,66.34005228678386,0.000281266732296596,0.3913765052954356,0.06220494583249092,2.1789091230554427e-06,0.0,0.07039607564608256,MiNO-Plus_wingaussian_modshell_balanced_K6_modes8_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0_diss0_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_frameanisotropic_gabor_sparse1_sklp0.16_tsyn1_tin1_tsmwarp_tdec1x16_tdgate1_tref0_br3_brroutemetadata_softmax_brent0.01_brdiv0.01,control,3,helmholtz_highk_control,0.0,4.233877325442684e-05,0.0,4.6464093196942745e-05,9.87511749420033e-05,1.2228841454774732e-10,4.60000134779061e-09,0.011470510734560102,9.646283358613446e-05,0.0,0.0038590425786205244,0.0021888472801364894,0.0025311260840147716,0.0,0.0023498029140352887,1.1080661335297683e-09,0.0001974245213486832,0.0,0.0,0.006572111193130638,1.1080661335297683e-09,8.688500156174224e-05,3.405724549837976e-05,0.0,4.850785526436904e-14,0.014802139839510602,0.0007108515814945761,0.0008373992564787013,2.8286046378151746e-15,0.00022054522649828822,1.326436192514865e-10,1.326436192514865e-10,0.00019920837432514906,1.326436192514865e-10,6.785458883393057e-09,0.00019837279475239984,0.00019754833818026222,0.018857426654911236,0.018857426654911236,0.10147785460402449,0.08777161130145751,0.0,0.0,0.0,0.0,3.4741549482972452e-06,0.0,0.00010959096998298769,4.663159591813003e-07,1.3225427659863329e-06,0.013095441660859512,9.232582530691977e-08,0.0,2.982080372082186e-05
no_transport_no_carrier,helmholtz_highk,proxy_0.20_0.05,0.0,0.4758131206035614,0.0,0.36090931793053943,0.17872230460246405,1.879604909216237e-10,0.006691275552536051,0.015090053901076317,0.6208717276652654,0.04836566373705864,0.9008023666671457,0.6596463074286779,1.0849381883939107,0.0,0.38411695261796314,5.6520155074698174e-08,0.5543545484542847,1.0,0.0,1.6240453720092773,5.6520155074698174e-08,0.4041356643040975,0.07318803668022156,0.0,2.242887733178156e-12,1.632659673690796,0.0028404955131312213,0.0027265907653296986,1.2522208984522883e-14,0.0007439278803455333,2.1677180883639124e-10,2.1677180883639124e-10,0.5543529987335205,2.1677180883639124e-10,0.006690360295275847,0.5562472144762675,0.5571694572766622,0.23698228721817335,0.23698228721817335,-0.041571871843189,0.42131805419921875,0.0,1.0,0.06372366100549698,1.3623838424682617,0.7317692836125692,0.0,0.0,0.0,0.010125936629871527,0.0,9.12011870468632e-08,0.0,0.03231381749113401,MiNO-Plus_wingaussian_modshell_balanced_K6_modes8_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0_diss0_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_frameanisotropic_gabor_sparse1_sklp0.16_tsyn1_tin1_tsmwarp_tdec1x16_tdgate1_tref0_br3_brroutemetadata_softmax_brent0.01_brdiv0.01,control,3,helmholtz_highk_control,0.0,0.00020293117854619527,0.0,9.598615147556535e-05,0.00011815284921845424,1.2804978328793472e-10,3.340639708462345e-08,0.010085239075022566,0.00010774305218535036,0.0,0.004058339007206599,0.002163497267952233,0.00248311774355,0.0,0.0021808761290111095,1.335474344224171e-09,0.00014231347581657403,0.0,0.0,0.06237675761659672,1.335474344224171e-09,0.00034882754870301484,5.2689209593972315e-05,0.0,1.4819389875186976e-13,0.14929544360284128,0.0008539603766407359,0.0009138745122446699,2.7762252365140795e-15,0.00012294090085894038,1.4126708018690478e-10,1.4126708018690478e-10,0.0001444315001987858,1.4126708018690478e-10,4.8932855607064466e-08,0.00014416295288667864,0.00014414835073387885,0.019879411518311216,0.019879411518311216,0.12127937429695161,0.27489768482020877,0.0,0.0,0.0,0.0,3.4664768713488093e-06,0.0,0.0,0.0,0.00026523413977044786,0.0,3.5417408541551525e-09,0.0,1.783292704522399e-05
single_branch,helmholtz_highk,proxy_0.20_0.05,0.0,0.3020037164290746,0.0,0.18697593112786612,0.17911766345302263,1.949586822998691e-10,0.006691192509606481,0.0045883533312007785,0.621324747800827,0.04832249196867148,98.7163756000009,0.0,3.8009602576494217e-06,0.0003201634535798803,1.0,0.0011138452682644129,0.5483728845914205,1.0,0.0,58.0128428141276,0.0011138452682644129,0.3709302544593811,0.030832301825284958,0.0,1.35614275524031e-12,1.3948427836100261,0.0030303426707784333,0.002767727244645357,1.2157162912900381e-14,0.0011750335300651689,2.2085753133745575e-10,2.2085753133745575e-10,0.5483712156613668,2.2085753133745575e-10,0.006690199952572584,0.5510255495707194,0.5534512996673584,0.4001273413499196,0.4001273413499196,-0.013421446628247699,0.3967284361521403,0.0,1.0,0.06372366100549698,1.3623838424682617,0.7317694624265035,0.12715328857302666,59.71463521321615,12.956185976664225,0.3666122953097026,0.057500820606946945,0.13913693775733313,0.8777230133612951,0.05647740885615349,MiNO-Plus_wingaussian_modshell_balanced_K6_modes8_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0_diss0_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_frameanisotropic_gabor_sparse1_sklp0.16_tsyn1_tin1_tsmwarp_tdec1x16_tdgate1_tref0_br3_brroutemetadata_softmax_brent0.01_brdiv0.01,control,3,helmholtz_highk_control,0.0,0.00046959643940743673,0.0,0.000501758364798382,0.00010383361930085724,1.234076971133759e-10,4.580317897001747e-09,0.0033064639157995702,0.00013353084778004067,1.2032598327855856e-05,0.2408599994004996,0.0,0.0,6.51891141132018e-05,0.0,0.0002396103502574192,0.0021068298620277154,0.0,0.0,3.130436532040318,0.0002396103502574192,0.0011434494245719598,0.00048353355237275135,0.0,2.2521954919867895e-12,0.19329979618715173,0.0007387390056976584,0.0008497443266592773,4.646962909966928e-15,0.00019133340554267043,1.339077999111706e-10,1.339077999111706e-10,0.002105704904631258,1.339077999111706e-10,6.7158625935464895e-09,0.0022379904999483466,0.0023916206968393966,0.040760870567589154,0.040760870567589154,0.06698967219220246,0.19531332031248827,0.0,0.0,0.0,0.0,3.770356968083226e-06,0.004006880591944256,0.80582657827895,1.0724134582407294,0.0031384428067988152,0.013925756386675148,0.057832841396615334,0.00047716521230950205,0.0016983915360380135
full,helmholtz_highk,proxy_0.20_0.05,0.0,0.5068576435248057,0.0,0.22527089218298593,0.18003581960995993,1.3945442948563405e-10,0.006691190258910258,0.002541180409025401,0.622300942738851,0.04833285075922807,99.11602293333272,0.6592565576235453,1.0862793723742168,0.0002954144741427929,0.38620342562596005,0.0003252747458949064,0.7054656346638998,1.0,0.0,44.889041900634766,0.0003252747458949064,0.570514996846517,0.049497908602158226,0.0,8.199831511128871e-13,1.5588388840357463,0.0023201527850081525,0.0022184616730858884,1.3102378837202717e-14,0.0006290756476422151,1.4689840316384206e-10,1.4689840316384206e-10,0.705464760462443,1.4689840316384206e-10,0.006690193898975849,0.7069362203280131,0.708001951376597,0.24466893325249353,0.24466893325249353,0.007705728833874066,0.5156668027242025,0.0,1.0,0.06372366100549698,1.3623838424682617,0.7540266911188761,0.0828109122812748,38.86132049560547,2.110379914442698,0.38447366158167523,0.03917041483024756,0.02977456773320834,0.8760097374518713,0.06647893289724986,MiNO-Plus_wingaussian_modshell_balanced_K6_modes8_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0_diss0_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_frameanisotropic_gabor_sparse1_sklp0.16_tsyn1_tin1_tsmwarp_tdec1x16_tdgate1_tref0_br3_brroutemetadata_softmax_brent0.01_brdiv0.01,positive,3,helmholtz_highk_positive,0.0,0.00018806472850297303,0.0,0.00015424036049730197,0.00011829710299731457,9.987362525560733e-11,2.489582780181343e-09,0.0015456621347577362,0.0001195566745989683,9.757055583315089e-06,0.12214015008179098,0.00244124966206555,0.003159298073133615,6.146158962202727e-05,0.0032035910576859675,0.0001741644290504591,0.00015711169687291648,0.0,0.0,2.2976127488083202,0.0001741644290504591,0.0022480359848660487,0.0007091058981267161,0.0,7.493788423293446e-13,0.08760182980489693,0.0008145767284813827,0.0008605434503087096,3.463850010069728e-15,0.00014731722940565734,1.0420415402462037e-10,1.0420415402462037e-10,0.00015922837655227084,1.0420415402462037e-10,2.4640479228129524e-09,0.00020216031312375327,0.000260122989823199,0.01581194251952433,0.01581194251952433,0.05104429897814467,0.05951004487341496,0.0,0.0,0.0,0.0,2.2870895857152756e-06,0.006676686164085591,0.7583703004047779,1.4888815985163943,0.004615458269798032,0.009865039781379899,0.007626494334743108,0.0014400878094119715,0.0026826100360736044
no_branch_routing,helmholtz_highk,proxy_0.20_0.05,0.0,0.506865938504537,0.0,0.22528430571158728,0.18002810577551523,1.393975236167281e-10,0.006691190258910258,0.001712944028743853,0.6222888032595316,0.04833294078707695,86.57335176666675,0.6666666269302368,1.0986120700836182,0.0002970022966716594,0.3333333730697632,0.0003262325772084296,0.7054507335027059,1.0,0.0,44.85515340169271,0.0003262325772084296,0.5704771280288696,0.04949891194701195,0.0,1.5551721829808532e-12,1.5622283220291138,0.0023191826961313686,0.002217276293473939,1.0199236796787489e-14,0.0006292470498010516,1.4680352188508236e-10,1.4680352188508236e-10,0.7054498394330343,1.4680352188508236e-10,0.006690194985518853,0.7069197694460551,0.7079845269521078,0.24471823250253996,0.24471823250253996,0.019787368193647126,0.5053817431131998,0.0,1.0,0.06372366100549698,1.3623838424682617,0.7540266513824463,0.08225805560747783,38.848349253336586,2.0992093781630197,0.38439521193504333,0.03916903274754683,0.030275774498780567,0.8758501758178076,0.06643496205409367,MiNO-Plus_wingaussian_modshell_balanced_K6_modes8_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0_diss0_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_frameanisotropic_gabor_sparse1_sklp0.16_tsyn1_tin1_tsmwarp_tdec1x16_tdgate1_tref0_br3_brroutemetadata_softmax_brent0.01_brdiv0.01,positive,3,helmholtz_highk_positive,0.0,0.00015069488716453567,0.0,0.00013851224608526586,0.00011497660136977455,9.991834561642233e-11,2.489582780181343e-09,0.0008215038718574077,0.00011084096046407591,5.6752817035567005e-06,1.8021517111399519,0.0,0.0,6.181980241324768e-05,0.0,0.00016755424305213543,0.00016653368506894822,0.0,0.0,2.286202985575152,0.00016755424305213543,0.0022255195348347954,0.0006224561197123186,0.0,2.0577535291630787e-12,0.05891653118112221,0.0008158985285229969,0.000862076315530336,3.4951902420490392e-15,0.00014842390549283865,1.0429036569463678e-10,1.0429036569463678e-10,0.0001685503042491841,1.0429036569463678e-10,3.1005256429684314e-09,0.0002124022562957592,0.0002714191096135272,0.01356842207854355,0.01356842207854355,0.04005500672643033,0.05627646022853959,0.0,0.0,0.0,0.0,2.448147866477114e-06,0.006985881964601554,0.754746412492682,1.4816071316282988,0.004588109491979667,0.00984802704936364,0.0085323211620481,0.0011964636146308432,0.0026722625920546843
no_symbol,helmholtz_highk,proxy_0.20_0.05,0.0,0.506860281030337,0.0,0.22527269025643668,0.18003741775949797,1.3943884010399662e-10,0.0066911903365204735,4.185533268758288e-24,0.6223163108030955,0.048331779117385544,89.00995646666463,0.6595071951548258,1.0867789189020793,0.000291807264147792,0.38483994205792743,0.00031345085881184787,0.7054617404937744,1.0,0.0,45.034202575683594,0.00031345085881184787,0.5706129868825277,0.04961298033595085,0.0,2.5129961204229238e-12,1.5135682026545207,0.0023189163378750286,0.002216610824689269,1.0490493169693459e-14,0.0006303189632793268,1.4680251227601934e-10,1.4680251227601934e-10,0.7054608464241028,1.4680251227601934e-10,0.006690193898975849,0.7069334586461385,0.708002507686615,0.0,0.0,2.5129961204229238e-12,0.671568234761556,0.0,1.0,0.06372366100549698,1.3623838424682617,0.7540270090103149,0.08453457616269588,38.91089375813802,1.97391144434611,0.38477452596028644,0.03920241445302963,0.025585008164246876,0.8775565177202225,0.066656028230985,MiNO-Plus_wingaussian_modshell_balanced_K6_modes8_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0_diss0_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_frameanisotropic_gabor_sparse1_sklp0.16_tsyn1_tin1_tsmwarp_tdec1x16_tdgate1_tref0_br3_brroutemetadata_softmax_brent0.01_brdiv0.01,positive,3,helmholtz_highk_positive,0.0,0.00027139911604359544,0.0,0.00019778229133998658,0.00011490149099307506,1.0005024206745082e-10,2.554071860993954e-09,2.1388632421658582e-24,0.00010646561867195415,9.750238801851249e-06,3.2299117755209057,0.0024313524758692723,0.0031320517534841287,6.845185059995366e-05,0.004392188160219914,0.00015056577088848314,9.928249976694295e-05,0.0,0.0,2.097041265612012,0.00015056577088848314,0.00207475486088888,0.0005640444719541806,0.0,2.38581484000372e-12,0.05593665147356142,0.0008183877725396362,0.0008646069576663841,3.4847355315835707e-15,0.00014924410740477015,1.0450657151144094e-10,1.0450657151144094e-10,0.00010135434660967806,1.0450657151144094e-10,2.4640479228129524e-09,0.00013966466364208303,0.0001913978650390161,0.0,0.0,2.38581484000372e-12,0.10090536160105586,0.0,0.0,0.0,0.0,2.6702614765885016e-06,0.005443247517635756,0.6935133205934894,1.2996557207531472,0.0042125943615011815,0.009788107346836883,0.005653855775320265,0.000507273165520038,0.002431649431988504
no_transport,helmholtz_highk,proxy_0.20_0.05,0.0,0.5065872818231583,0.0,0.22501645733912787,0.18003890787561735,1.3977338326106223e-10,0.006691190414130688,0.014129613370945057,0.6223040272792181,0.04836566373705864,1.2799058999989938,0.6596838335196177,1.0869293908278148,0.0,0.3839533229668935,5.672465519523939e-08,0.7057384451230367,1.0,0.0,48.04376729329427,5.672465519523939e-08,0.5672372579574585,0.05049202715357145,0.0,2.261222061735827e-12,1.5769000848134358,0.002326498079734544,0.002220375269340972,1.1597217665902139e-14,0.0006438170482094089,1.47124715188518e-10,1.47124715188518e-10,0.7057375113169352,1.47124715188518e-10,0.006690195140739282,0.7072761654853821,0.7084293365478516,0.23667331164081892,0.23667331164081892,-0.04520457237958908,0.48563607533772785,0.0,1.0,0.06372366100549698,1.3623838424682617,0.7540266911188761,0.0,39.89928944905599,0.00016730371862649918,0.390753706296285,0.03972490504384041,1.3991904476521693e-06,0.0,0.07011753817399342,MiNO-Plus_wingaussian_modshell_balanced_K6_modes8_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0_diss0_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_frameanisotropic_gabor_sparse1_sklp0.16_tsyn1_tin1_tsmwarp_tdec1x16_tdgate1_tref0_br3_brroutemetadata_softmax_brent0.01_brdiv0.01,positive,3,helmholtz_highk_positive,0.0,0.0001224056219592372,0.0,3.197901880535019e-05,0.00010053026525602994,9.979153231219941e-11,2.83250703024595e-09,0.012910642445758343,9.987821215461473e-05,0.0,0.040652857138560636,0.0022537399366740945,0.0029137124121329503,0.0,0.0023713994449784752,1.1582017680236199e-09,9.630241007032602e-05,0.0,0.0,0.0016285913175921986,1.1582017680236199e-09,0.00027798419700303677,2.2640795071826335e-05,0.0,2.8006011465058514e-14,0.04106178930244943,0.0008150181432554826,0.0008604110812017017,3.176075919548326e-15,0.00016120358921878036,1.0410949035903849e-10,1.0410949035903849e-10,9.836955862334121e-05,1.0410949035903849e-10,3.763895374096353e-09,9.836745785434495e-05,9.843968291372748e-05,0.018696449531745006,0.018696449531745006,0.10166084948826055,0.12375016682085703,0.0,0.0,0.0,0.0,2.454910718771374e-06,0.0,6.387007830238017e-05,2.88142905562529e-07,7.304264887888449e-06,0.009270398764714935,4.35669519312384e-08,0.0,3.947836584808811e-05
