ablation,batch_size,best_val_loss,campaign,canonical_loss_weight,core_field_weight,core_warmup_epochs,dissipative_symbol_scale,dissipative_time_step,effective_metadata_flow_loss_weight,epochs,family,final_train_canonical_consistency,final_train_core_field_loss,final_train_core_warmup_loss,final_train_highfreq_core_loss,final_train_metadata_flow_loss,final_train_packet_space_loss,final_train_residual_energy,final_train_route_l1,final_train_symbol_order_loss,final_train_symbol_proxy,final_train_transport_proxy,frame_type,freeze_refinement_epochs,grad_clip_norm,height,highfreq_core_loss_weight,highfreq_cutoff,in_channels,learning_rate,local_refine_scale,loss_config,max_modes,max_test_samples,max_train_samples,max_val_samples,metadata_flow_loss_weight,mode_strategy,model,model_variant,oom_fallback,out_channels,packet_space_loss_weight,parameters,patch_size,pdo_symbol_order,pdo_symbol_scale,proxy_temperature,reference_source,refine_lowpass_cutoff,regime,requested_batch_size,residual_energy_weight,route_bias_init,route_l1_weight,row_type,run_id,runtime_seconds,scenario,seed,skip_lowpass_cutoff,source_kind,sparse_topk,stride,symbol_order,symbol_order_loss_weight,symbol_order_target,symbol_proxy_weight,test_canonical_flow_error,test_core_relative_l2,test_dissipative_multiplier_mean,test_dissipative_symbol_norm,test_high_frequency_relative_error_proxy,test_loss,test_metadata_shift_norm,test_packet_consistency,test_packet_wavefront_localization_error,test_pdo_identity_norm,test_pdo_identity_order_proxy,test_phase_error,test_raw_refine_correction_norm,test_refine_correction_norm,test_refine_high_frequency_fraction,test_refine_lowpass_removed_norm,test_refine_relative_energy,test_refinement_energy,test_relative_l2,test_residual_energy,test_route_mean,test_sobolev_h1_error_proxy,test_sobolev_h2_error_proxy,test_symbol_budget,test_symbol_error_proxy,test_symbol_order_proxy,test_symbol_order_scaling_error_proxy,test_symplectic_defect_proxy,test_tokenizer_active_fraction,test_tokenizer_covering_radius,test_tokenizer_phase_window_diameter,test_tokenizer_reconstruction_error,test_transport_budget,test_transported_input_norm,test_transported_input_shift_norm,test_transported_landing_gate,test_transported_landing_norm,test_transported_synthesis_shift_norm,test_wavefront_confidence_proxy,test_wf_transport_error_proxy,token_refine_scale,transport_highpass_cutoff,transport_parameterization,transport_proxy_weight,transport_stencil,transported_decoder_channels,transported_decoder_scale,transported_decoder_transport_gate,transported_input_scale,transported_synthesis_mode,transported_synthesis_scale,wavefront_confidence_scale,weight_decay,width,window_type
full,2,0.0002922176026913803,branch_id_v3_controls,0.02,2.0,12,0.0,1.0,2.0,24,wave,0.0,0.0002373382544647029,0.0,5.201043813940487e-05,1.0126118439757192e-05,0.014412546734092757,3.3783850080885505e-09,0.006345935621842121,0.07037735722648601,0.07985437277238816,0.06627747657087942,gabor_gaussian,12,1.0,64,1.0,0.16,1,0.0001,0.05,proxy_0.20_0.05,16,0,0,0,2.0,shell_balanced,MiNO-Plus,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0_diss0_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_framegabor_gaussian_sparse1_sklp0.16_tsyn1_tin1_tsmwarp_tdec1x16_tdgate1_tref0,False,1,0.05,1062677,16,-2.0,0.0,0.05,,0.16,synthetic,2,0.5,-5.0,0.05,run,branch_id_v3_controls_wave_bicharacteristic_control_proxy_0p20_0p05_full_7_hamiltonian_verlet_gabor_gaussian_True_2p0_0p16_0p16_0p16_1p0_1p0_warp_16_1p0_0p0_2p0_0p01_0p05_1p0_2p0_12_12,144.4054683999998,wave_bicharacteristic_control,7,0.16,synthetic,True,8,0.0,0.01,0.0,0.05,3.9996693885768764e-05,0.05992905143648386,1.0,0.0,0.8497826159000397,0.0001777647321432596,0.01830283273011446,18395.574369119015,0.0030223532376112416,0.0,0.0,1.2700338959693909,0.001073127168638166,0.0007652979256818071,1.7237639496063442e-14,0.0006555866566486657,3.771350454151445e-09,3.771350454151445e-09,0.05991115514189005,3.771350454151445e-09,0.006334427162073553,0.06105503020808101,0.061628099996596575,0.9825321162740389,0.9825321162740389,-0.2735896444272233,2.541534051299095,0.0,0.9011479467153549,0.25,1.0774961709976196,4.878527939319611,0.20697928437342247,9.438888430595398,7.681392073631287,,5.16885980963707,1.1893249452114105,1.413810799519221,0.001818892895244062,0.0,0.16,hamiltonian_verlet,0.2,12,16,1.0,True,1.0,warp,1.0,2.0,0.0001,64,gaussian
full,2,6.925966999915545e-05,branch_id_v3_controls,0.02,2.0,12,0.0,1.0,2.0,24,wave,0.0,0.00014972409887074414,0.0,4.050823501226356e-05,2.2488395264493494e-05,0.019449866260401905,1.1704971465455645e-09,0.006349262461299077,0.10641582015280922,0.0794143221185853,0.06911788686799507,gabor_gaussian,12,1.0,64,1.0,0.16,1,0.0001,0.05,proxy_0.20_0.05,16,0,0,0,2.0,shell_balanced,MiNO-Plus,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0_diss0_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_framegabor_gaussian_sparse1_sklp0.16_tsyn1_tin1_tsmwarp_tdec1x16_tdgate1_tref0,False,1,0.05,1062677,16,-2.0,0.0,0.05,,0.16,synthetic,2,0.5,-5.0,0.05,run,branch_id_v3_controls_wave_bicharacteristic_control_proxy_0p20_0p05_full_11_hamiltonian_verlet_gabor_gaussian_True_2p0_0p16_0p16_0p16_1p0_1p0_warp_16_1p0_0p0_2p0_0p01_0p05_1p0_2p0_12_12,138.5517845999998,wave_bicharacteristic_control,11,0.16,synthetic,True,8,0.0,0.01,0.0,0.05,3.995676661361358e-05,0.05252568470314145,1.0,0.0,1.014713698066771,0.0001327296517956711,0.01831166516058147,40293.03851157427,0.004404009363497607,0.0,0.0,1.2336980700492859,0.0005567512998823076,0.0004213337888359092,2.1798465107148173e-14,0.00032770822144811973,1.1718484307920995e-09,1.1718484307920995e-09,0.05251217260956764,1.1718484307920995e-09,0.006415776850190014,0.05328219151124358,0.05347204161807895,0.8504461795091629,0.8504461795091629,-0.024315844212348264,1.9010310024023056,0.0,0.8805006220936775,0.25,1.0774961709976196,3.7669263035058975,0.19552983002116284,8.580036342144012,7.270569443702698,,4.840043693780899,0.9623342156410217,1.4004509349664052,0.0014487900043604895,0.0,0.16,hamiltonian_verlet,0.2,12,16,1.0,True,1.0,warp,1.0,2.0,0.0001,64,gaussian
full,2,0.00016179136400751304,branch_id_v3_controls,0.02,2.0,12,0.0,1.0,2.0,24,wave,0.0,0.00019185612669995558,0.0,2.834063075359457e-05,7.626205501765071e-06,0.019924390323770542,1.955578117264952e-09,0.006362022880542402,0.010728330147685483,0.062155001874392234,0.06739629168684284,gabor_gaussian,12,1.0,64,1.0,0.16,1,0.0001,0.05,proxy_0.20_0.05,16,0,0,0,2.0,shell_balanced,MiNO-Plus,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0_diss0_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_framegabor_gaussian_sparse1_sklp0.16_tsyn1_tin1_tsmwarp_tdec1x16_tdgate1_tref0,False,1,0.05,1062677,16,-2.0,0.0,0.05,,0.16,synthetic,2,0.5,-5.0,0.05,run,branch_id_v3_controls_wave_bicharacteristic_control_proxy_0p20_0p05_full_19_hamiltonian_verlet_gabor_gaussian_True_2p0_0p16_0p16_0p16_1p0_1p0_warp_16_1p0_0p0_2p0_0p01_0p05_1p0_2p0_12_12,158.8292494999996,wave_bicharacteristic_control,19,0.16,synthetic,True,8,0.0,0.01,0.0,0.05,3.428660875215428e-05,0.06737453024834394,1.0,0.0,0.8155764378607273,0.00027087067792308517,0.01831816299818456,664.7166335582733,0.008997076627565548,0.0,0.0,1.1783003360033035,0.0009330365355708636,0.0005919525829085615,2.29352313914832e-14,0.0006919511142768897,1.7264472698674815e-09,1.7264472698674815e-09,0.06735584838315845,1.7264472698674815e-09,0.006346616544760764,0.0677094585262239,0.06762467185035348,1.1095042216281097,1.1095042216281097,-0.0807214311498683,1.2166094332933426,0.0,0.9121492132544518,0.25,1.0774961709976196,2.1458764150738716,0.22557509131729603,10.369248867034912,9.031688064336777,,6.420361042022705,0.49134938791394234,1.3288284291823704,0.0009225537505699322,0.0,0.16,hamiltonian_verlet,0.2,12,16,1.0,True,1.0,warp,1.0,2.0,0.0001,64,gaussian
full_no_flow_supervision,2,0.0002359262616664637,branch_id_v3_controls,0.02,2.0,12,0.0,1.0,0.0,24,wave,0.0,0.00020128519099671394,0.0,3.87602458810458e-05,0.0,0.009214988841752833,4.008660875465253e-09,0.0063370180141646415,0.026673752853336435,0.1026277073348562,0.06625595789713164,gabor_gaussian,12,1.0,64,1.0,0.16,1,0.0001,0.05,proxy_0.20_0.05,16,0,0,0,2.0,shell_balanced,MiNO-Plus,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0_diss0_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_framegabor_gaussian_sparse1_sklp0.16_tsyn1_tin1_tsmwarp_tdec1x16_tdgate1_tref0,False,1,0.05,1062677,16,-2.0,0.0,0.05,,0.16,synthetic,2,0.5,-5.0,0.05,run,branch_id_v3_controls_wave_bicharacteristic_control_proxy_0p20_0p05_full_no_flow_supervision_7_hamiltonian_verlet_gabor_gaussian_True_2p0_0p16_0p16_0p16_1p0_1p0_warp_16_1p0_0p0_2p0_0p01_0p05_1p0_2p0_12_12,169.3882622000001,wave_bicharacteristic_control,7,0.16,synthetic,True,8,0.0,0.01,0.0,0.05,0.0015520152810495347,0.05243147537112236,1.0,0.0,0.517283390276134,0.00014536871185555356,0.016767871798947453,13265.813982889522,0.004382653583888896,0.0,0.0,1.1847605109214783,0.0010218985698884353,0.0007316379123949446,1.7514772159262578e-14,0.0006206345606187824,3.454788469192671e-09,3.454788469192671e-09,0.05241074878722429,3.454788469192671e-09,0.0063514632056467235,0.05297622364014387,0.053042827639728785,0.8878671079874039,0.8878671079874039,0.17453105499347052,1.8194728791713715,0.0,0.9011479467153549,0.25,1.0774961709976196,4.878527939319611,0.20395862342168888,9.300323843955994,7.343687891960144,,5.1289476454257965,0.97667146474123,1.423467216392358,0.0024605307553429157,0.0,0.16,hamiltonian_verlet,0.2,12,16,1.0,True,1.0,warp,1.0,2.0,0.0001,64,gaussian
full_no_flow_supervision,2,7.867089470892097e-05,branch_id_v3_controls,0.02,2.0,12,0.0,1.0,0.0,24,wave,0.0,0.00015230764006446407,0.0,3.744087132417917e-05,0.0,0.010114520434096145,1.8531203452530158e-09,0.006341774375565971,0.011169157583661141,0.10149278623672824,0.06911033174643914,gabor_gaussian,12,1.0,64,1.0,0.16,1,0.0001,0.05,proxy_0.20_0.05,16,0,0,0,2.0,shell_balanced,MiNO-Plus,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0_diss0_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_framegabor_gaussian_sparse1_sklp0.16_tsyn1_tin1_tsmwarp_tdec1x16_tdgate1_tref0,False,1,0.05,1062677,16,-2.0,0.0,0.05,,0.16,synthetic,2,0.5,-5.0,0.05,run,branch_id_v3_controls_wave_bicharacteristic_control_proxy_0p20_0p05_full_no_flow_supervision_11_hamiltonian_verlet_gabor_gaussian_True_2p0_0p16_0p16_0p16_1p0_1p0_warp_16_1p0_0p0_2p0_0p01_0p05_1p0_2p0_12_12,183.53671349999968,wave_bicharacteristic_control,11,0.16,synthetic,True,8,0.0,0.01,0.0,0.05,0.0014883021649438888,0.053631849586963654,1.0,0.0,1.065603081136942,0.00013578087236965075,0.016864245757460594,40578.44423146546,0.0044694692915072665,0.0,0.0,1.2134862393140793,0.000656435910059372,0.0005120733330841176,2.1191970882189254e-14,0.0003692449172376655,1.7185720138646055e-09,1.7185720138646055e-09,0.053615514654666185,1.7185720138646055e-09,0.006414848321583122,0.05445045605301857,0.05466584535315633,0.8371578430136045,0.8371578430136045,0.21367843348222473,2.223500967025757,0.0,0.8805006220936775,0.25,1.0774961709976196,3.7669263035058975,0.18924866151064634,8.452191233634949,6.973302006721497,,4.906046211719513,1.4167689681053162,1.3994128654400508,0.0021835981679032557,0.0,0.16,hamiltonian_verlet,0.2,12,16,1.0,True,1.0,warp,1.0,2.0,0.0001,64,gaussian
full_no_flow_supervision,2,0.00019732813780137803,branch_id_v3_controls,0.02,2.0,12,0.0,1.0,0.0,24,wave,0.0,0.0002255945419165073,0.0,3.6294161399534154e-05,0.0,0.015237806966373077,3.6887299823447814e-09,0.006353135492342214,0.03313453355804086,0.06800973586117227,0.06741967339379092,gabor_gaussian,12,1.0,64,1.0,0.16,1,0.0001,0.05,proxy_0.20_0.05,16,0,0,0,2.0,shell_balanced,MiNO-Plus,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0_diss0_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_framegabor_gaussian_sparse1_sklp0.16_tsyn1_tin1_tsmwarp_tdec1x16_tdgate1_tref0,False,1,0.05,1062677,16,-2.0,0.0,0.05,,0.16,synthetic,2,0.5,-5.0,0.05,run,branch_id_v3_controls_wave_bicharacteristic_control_proxy_0p20_0p05_full_no_flow_supervision_19_hamiltonian_verlet_gabor_gaussian_True_2p0_0p16_0p16_0p16_1p0_1p0_warp_16_1p0_0p0_2p0_0p01_0p05_1p0_2p0_12_12,191.4583564000004,wave_bicharacteristic_control,19,0.16,synthetic,True,8,0.0,0.01,0.0,0.05,0.001074010186130181,0.0724712423980236,1.0,0.0,1.0430920161306858,0.0003159416501148371,0.01725056883879006,651.095155255869,0.009296064512454905,0.0,0.0,1.1085148975253105,0.0012515897979028523,0.0008258010966528673,2.296404215839287e-14,0.0008905907598091289,3.4152395633757493e-09,3.4152395633757493e-09,0.07244905550032854,3.4152395633757493e-09,0.006340228545013815,0.07293440774083138,0.07291409419849515,1.0981483583648999,1.0981483583648999,-0.16200399119406939,1.9869300425052643,0.0,0.9121492132544518,0.25,1.0774961709976196,2.1458764150738716,0.22875241159150997,10.223916828632355,8.648941397666931,,6.490569233894348,0.6028149873018265,1.4146652991573017,0.0008913832862162963,0.0,0.16,hamiltonian_verlet,0.2,12,16,1.0,True,1.0,warp,1.0,2.0,0.0001,64,gaussian
no_transport,2,0.00023343366774497554,branch_id_v3_controls,0.02,2.0,12,0.0,1.0,2.0,24,wave,0.0,0.0002592826288794943,0.0,0.00016418875251626255,0.9999998211860657,0.009258991376555059,5.170993462126165e-09,0.006324100143198545,0.05547570235406359,0.10458239951791863,0.06653729818450908,gabor_gaussian,12,1.0,64,1.0,0.16,1,0.0001,0.05,proxy_0.20_0.05,16,0,0,0,2.0,shell_balanced,MiNO-Plus,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0_diss0_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_framegabor_gaussian_sparse1_sklp0.16_tsyn1_tin1_tsmwarp_tdec1x16_tdgate1_tref0,False,1,0.05,349913,16,-2.0,0.0,0.05,,0.16,synthetic,2,0.5,-5.0,0.05,run,branch_id_v3_controls_wave_bicharacteristic_control_proxy_0p20_0p05_no_transport_7_hamiltonian_verlet_gabor_gaussian_True_2p0_0p16_0p16_0p16_1p0_1p0_warp_16_1p0_0p0_2p0_0p01_0p05_1p0_2p0_12_12,67.74095959999977,wave_bicharacteristic_control,7,0.16,synthetic,True,8,0.0,0.01,0.0,0.05,0.018309833481907845,0.06695177918300033,1.0,0.0,0.8479146100580692,0.00021161087352083996,0.0,16503.457188080996,0.006121953862020746,0.0,0.0,1.2515443488955498,0.001242744954652153,0.000989135543932207,1.4383365256888077e-14,0.0006651638759649359,5.789825674451521e-09,5.789825674451521e-09,0.0669394712895155,5.789825674451521e-09,0.006308852054644376,0.06854404229670763,0.06937397224828601,0.9249086404840151,0.9249086404840151,0.2364522939381762,2.3100724071264267,0.0,0.9011479467153549,0.25,1.0774961709976196,4.878527939319611,0.0,10.44059431552887,3.527180615492398e-05,,9.970741033554077,2.1482594725341642e-07,0.0,0.006329309966531582,0.0,0.16,hamiltonian_verlet,0.2,12,16,1.0,True,1.0,warp,1.0,2.0,0.0001,64,gaussian
no_transport,2,0.00046457651296805125,branch_id_v3_controls,0.02,2.0,12,0.0,1.0,2.0,24,wave,0.0,0.00036265283173027757,0.0,0.0003001747269687864,0.9999998211860657,0.009142463762448946,3.6105380710656685e-09,0.006338948189901809,0.0944158296721677,0.11306618821496765,0.0691873151032875,gabor_gaussian,12,1.0,64,1.0,0.16,1,0.0001,0.05,proxy_0.20_0.05,16,0,0,0,2.0,shell_balanced,MiNO-Plus,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0_diss0_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_framegabor_gaussian_sparse1_sklp0.16_tsyn1_tin1_tsmwarp_tdec1x16_tdgate1_tref0,False,1,0.05,349913,16,-2.0,0.0,0.05,,0.16,synthetic,2,0.5,-5.0,0.05,run,branch_id_v3_controls_wave_bicharacteristic_control_proxy_0p20_0p05_no_transport_11_hamiltonian_verlet_gabor_gaussian_True_2p0_0p16_0p16_0p16_1p0_1p0_warp_16_1p0_0p0_2p0_0p01_0p05_1p0_2p0_12_12,62.32829630000015,wave_bicharacteristic_control,11,0.16,synthetic,True,8,0.0,0.01,0.0,0.05,0.018309833481907845,0.0969857582822442,1.0,0.0,1.3604167960584164,0.000483687928863219,0.0,44093.07031355798,0.00566397633519955,0.0,0.0,1.265079602599144,0.0010629182725097053,0.000906369874428492,2.1958455231324407e-14,0.00048049629913293757,5.310489353815839e-09,5.310489353815839e-09,0.09696823079138994,5.310489353815839e-09,0.006323801237158477,0.09821905475109816,0.09916816372424364,0.8616938292980194,0.8616938292980194,0.3078121847162644,2.2166959196329117,0.0,0.8805006220936775,0.25,1.0774961709976196,3.7669263035058975,0.0,9.323403596878052,2.858986908904626e-05,,9.004811346530914,1.8078633878815253e-07,0.0,0.006587767245946452,0.0,0.16,hamiltonian_verlet,0.2,12,16,1.0,True,1.0,warp,1.0,2.0,0.0001,64,gaussian
no_transport,2,0.0006238023015612271,branch_id_v3_controls,0.02,2.0,12,0.0,1.0,2.0,24,wave,0.0,0.0005963599169263034,0.0,0.00046717186743687006,0.9999998211860657,0.007260565243389768,2.0934683264695053e-08,0.006333209933169807,0.039414824064200125,0.09602892127198477,0.0676967609518518,gabor_gaussian,12,1.0,64,1.0,0.16,1,0.0001,0.05,proxy_0.20_0.05,16,0,0,0,2.0,shell_balanced,MiNO-Plus,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0_diss0_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_framegabor_gaussian_sparse1_sklp0.16_tsyn1_tin1_tsmwarp_tdec1x16_tdgate1_tref0,False,1,0.05,349913,16,-2.0,0.0,0.05,,0.16,synthetic,2,0.5,-5.0,0.05,run,branch_id_v3_controls_wave_bicharacteristic_control_proxy_0p20_0p05_no_transport_19_hamiltonian_verlet_gabor_gaussian_True_2p0_0p16_0p16_0p16_1p0_1p0_warp_16_1p0_0p0_2p0_0p01_0p05_1p0_2p0_12_12,62.768916199999694,wave_bicharacteristic_control,19,0.16,synthetic,True,8,0.0,0.01,0.0,0.05,0.018309833481907845,0.10734942741692066,1.0,0.0,1.3613506108522415,0.0006809382139181253,0.0,601.1135425670072,0.018505790823837742,0.0,0.0,1.2570348232984543,0.00292608659947291,0.002052072188234888,1.4879220885309586e-14,0.0019172758620698005,2.0168025804956358e-08,2.0168025804956358e-08,0.10731690842658281,2.0168025804956358e-08,0.006318012659903616,0.1081840330734849,0.10866442043334246,0.9360065770645937,0.9360065770645937,0.20209044388805827,1.2162845879793167,0.0,0.9121492132544518,0.25,1.0774961709976196,2.1458764150738716,0.0,11.226778864860535,3.251042608098942e-05,,11.935611605644226,1.7665601603766845e-07,0.0,0.0035718438011826947,0.0,0.16,hamiltonian_verlet,0.2,12,16,1.0,True,1.0,warp,1.0,2.0,0.0001,64,gaussian
identity_transport,2,0.00025249701138818637,branch_id_v3_controls,0.02,2.0,12,0.0,1.0,2.0,24,wave,0.0,0.0002759009736716204,0.0,0.00017287072262206493,0.9999999403953552,0.009254857223519744,5.158956706274864e-09,0.006330967434526731,0.028446733641127746,0.10442208056338131,0.06653729740840693,gabor_gaussian,12,1.0,64,1.0,0.16,1,0.0001,0.05,proxy_0.20_0.05,16,0,0,0,2.0,shell_balanced,MiNO-Plus,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0_diss0_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_framegabor_gaussian_sparse1_sklp0.16_tsyn1_tin1_tsmwarp_tdec1x16_tdgate1_tref0,False,1,0.05,1062677,16,-2.0,0.0,0.05,,0.16,synthetic,2,0.5,-5.0,0.05,run,branch_id_v3_controls_wave_bicharacteristic_control_proxy_0p20_0p05_identity_transport_7_hamiltonian_verlet_gabor_gaussian_True_2p0_0p16_0p16_0p16_1p0_1p0_warp_16_1p0_0p0_2p0_0p01_0p05_1p0_2p0_12_12,200.43884550000075,wave_bicharacteristic_control,7,0.16,synthetic,True,8,0.0,0.01,0.0,0.05,0.018309833481907845,0.06902506574988365,1.0,0.0,0.9036710858345032,0.00022337512928061187,0.0,14289.056596078444,0.007597657197038643,0.0,0.0,1.281049445271492,0.0012422709696693346,0.0009966010475181974,1.304988944071775e-14,0.0006570644109160639,5.8251226342509455e-09,5.8251226342509455e-09,0.06901154341176152,5.8251226342509455e-09,0.006316088256426156,0.0704448763281107,0.07138614729046822,0.8864586167037487,0.8864586167037487,0.17054886257392354,2.651708886027336,0.0,0.9011479467153549,0.25,1.0774961709976196,4.878527939319611,0.20595739440371594,10.44260847568512,3.5295374118504697e-05,,9.963168978691101,2.4724897507155674e-07,1.3321843147277832,0.006314656318863854,0.0,0.16,hamiltonian_verlet,0.2,12,16,1.0,True,1.0,warp,1.0,2.0,0.0001,64,gaussian
