ablation,family,loss_config,mean_final_train_canonical_consistency,mean_final_train_core_field_loss,mean_final_train_core_warmup_loss,mean_final_train_highfreq_core_loss,mean_final_train_packet_space_loss,mean_final_train_residual_energy,mean_final_train_route_l1,mean_final_train_symbol_order_loss,mean_final_train_symbol_proxy,mean_final_train_transport_proxy,mean_runtime_seconds,mean_test_canonical_flow_error,mean_test_core_relative_l2,mean_test_dissipative_multiplier_mean,mean_test_dissipative_symbol_norm,mean_test_high_frequency_relative_error_proxy,mean_test_metadata_shift_norm,mean_test_packet_consistency,mean_test_packet_wavefront_localization_error,mean_test_pdo_identity_norm,mean_test_pdo_identity_order_proxy,mean_test_phase_error,mean_test_raw_refine_correction_norm,mean_test_refine_correction_norm,mean_test_refine_high_frequency_fraction,mean_test_refine_lowpass_removed_norm,mean_test_refine_relative_energy,mean_test_refinement_energy,mean_test_relative_l2,mean_test_residual_energy,mean_test_route_mean,mean_test_sobolev_h1_error_proxy,mean_test_sobolev_h2_error_proxy,mean_test_symbol_budget,mean_test_symbol_error_proxy,mean_test_symbol_order_proxy,mean_test_symbol_order_scaling_error_proxy,mean_test_symplectic_defect_proxy,mean_test_tokenizer_active_fraction,mean_test_tokenizer_covering_radius,mean_test_tokenizer_phase_window_diameter,mean_test_tokenizer_reconstruction_error,mean_test_transport_budget,mean_test_transported_input_norm,mean_test_transported_input_shift_norm,mean_test_transported_landing_gate,mean_test_transported_landing_norm,mean_test_transported_synthesis_shift_norm,mean_test_wavefront_confidence_proxy,mean_test_wf_transport_error_proxy,model_variant,regime,runs,scenario,std_final_train_canonical_consistency,std_final_train_core_field_loss,std_final_train_core_warmup_loss,std_final_train_highfreq_core_loss,std_final_train_packet_space_loss,std_final_train_residual_energy,std_final_train_route_l1,std_final_train_symbol_order_loss,std_final_train_symbol_proxy,std_final_train_transport_proxy,std_runtime_seconds,std_test_canonical_flow_error,std_test_core_relative_l2,std_test_dissipative_multiplier_mean,std_test_dissipative_symbol_norm,std_test_high_frequency_relative_error_proxy,std_test_metadata_shift_norm,std_test_packet_consistency,std_test_packet_wavefront_localization_error,std_test_pdo_identity_norm,std_test_pdo_identity_order_proxy,std_test_phase_error,std_test_raw_refine_correction_norm,std_test_refine_correction_norm,std_test_refine_high_frequency_fraction,std_test_refine_lowpass_removed_norm,std_test_refine_relative_energy,std_test_refinement_energy,std_test_relative_l2,std_test_residual_energy,std_test_route_mean,std_test_sobolev_h1_error_proxy,std_test_sobolev_h2_error_proxy,std_test_symbol_budget,std_test_symbol_error_proxy,std_test_symbol_order_proxy,std_test_symbol_order_scaling_error_proxy,std_test_symplectic_defect_proxy,std_test_tokenizer_active_fraction,std_test_tokenizer_covering_radius,std_test_tokenizer_phase_window_diameter,std_test_tokenizer_reconstruction_error,std_test_transport_budget,std_test_transported_input_norm,std_test_transported_input_shift_norm,std_test_transported_landing_gate,std_test_transported_landing_norm,std_test_transported_synthesis_shift_norm,std_test_wavefront_confidence_proxy,std_test_wf_transport_error_proxy
full,wave,proxy_0.20_0.05,0.0,0.00019297282667846754,0.0,4.0286434635087666e-05,0.017928934439421736,2.1681534239663556e-09,0.006352406987894533,0.06250716917566024,0.07380789892178857,0.0675972183752391,147.26216749999972,3.808002308384554e-05,0.05994308879598975,1.0,0.0,0.8933575839425126,0.018310886962960165,19784.443171417184,0.005474479742891465,0.0,0.0,1.2273441006739934,0.0008543050013637791,0.0005928614324754259,2.0657111998231604e-14,0.0005584153307912251,2.2232153849370087e-09,2.2232153849370087e-09,0.059926392044872046,2.2232153849370087e-09,0.006365606852341443,0.060682226748516165,0.060908271155009665,0.9808275058037705,0.9808275058037705,-0.12620897326314662,1.8863914956649144,0.0,0.8979325940211614,0.25,1.0774961709976196,3.5971102192997932,0.20936140190396044,9.46272454659144,7.99454986055692,nan,5.476421515146892,0.8810028495887915,1.3810300545559988,0.0013967455500581611,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0_diss0_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_framegabor_gaussian_sparse1_sklp0.16_tsyn1_tin1_tsmwarp_tdec1x16_tdgate1_tref0,synthetic,3,wave_bicharacteristic_control,0.0,4.38177513028922e-05,0.0,1.1836462392785543e-05,0.003054509803932632,1.1191887231613853e-09,8.492114504326638e-06,0.04832679206027112,0.010094103147005765,0.001430825396256502,10.436208267547963,3.2852538358056804e-06,0.007424432725260322,0.0,0.0,0.10648002385668073,7.69470424569065e-06,19850.63452712301,0.0031279002575987764,0.0,0.0,0.04619568379328908,0.00026703932354110857,0.0001719838694898079,3.015402716240961e-15,0.00020062383001711781,1.3691006582697385e-09,1.3691006582697385e-09,0.007421849617196578,1.3691006582697385e-09,4.387387349742424e-05,0.007220854879789677,0.007103720911871329,0.1295374330812025,0.1295374330812025,0.1307141699817652,0.6625836152649399,0.0,0.016067426686514005,0.0,0.0,1.3742176738355394,0.015163617462043878,0.894844391570931,0.9213769850718764,nan,0.8338443393767124,0.3560246662439545,0.04569878295921987,0.0004504302770535169
full_no_flow_supervision,wave,proxy_0.20_0.05,0.0,0.00019306245765922844,0.0,3.749842620158637e-05,0.01152243874740735,3.18350373435435e-09,0.0063439759606909426,0.023659147998346144,0.09071007647758557,0.0675953210124539,181.46111070000006,0.0013714425440412015,0.05951152245203654,1.0,0.0,0.8753261625145873,0.016960895465066034,18165.117789870284,0.006049395795950356,0.0,0.0,1.1689205492536228,0.0009766414259502199,0.0006898374473773098,2.0556928399948235e-14,0.0006268234125551923,2.862866682144342e-09,2.862866682144342e-09,0.059491772980739675,2.862866682144342e-09,0.006368846690747887,0.060120362477997936,0.06020758906379342,0.9410577697886361,0.9410577697886361,0.07540183242720862,2.0099679629007974,0.0,0.8979325940211614,0.25,1.0774961709976196,3.5971102192997932,0.20731989884128174,9.325477302074432,7.655310432116191,nan,5.508521030346553,0.9987518067161242,1.4125151269965701,0.0018451707364874892,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0_diss0_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_framegabor_gaussian_sparse1_sklp0.16_tsyn1_tin1_tsmwarp_tdec1x16_tdgate1_tref0,synthetic,3,wave_bicharacteristic_control,0.0,3.732897672616142e-05,0.0,1.2340492658006634e-06,0.003248885966493951,1.1631977113074028e-09,8.281214192254805e-06,0.011288725226869627,0.01966725983838703,0.0014352705606815463,11.180490138484384,0.00025954642347825744,0.011239483100806967,0.0,0.0,0.31027835418552263,0.00025545054815632415,20409.573351939423,0.0028120326381141617,0.0,0.0,0.05424872292011102,0.00030014695461038043,0.00016098675897486164,2.7795854181052783e-15,0.00026072801596271813,9.911855249537813e-10,9.911855249537813e-10,0.011237492732730494,9.911855249537813e-10,4.023265998551545e-05,0.01112174254783173,0.011034038298745203,0.13838694719146558,0.13838694719146558,0.2065291096373789,0.2029968799660008,0.0,0.016067426686514005,0.0,0.0,1.3742176738355394,0.01996522469063653,0.8861305876301275,0.880212075452261,nan,0.8577501197060066,0.40742597713297335,0.012170471649643636,0.0008375295754286076
identity_transport,wave,proxy_0.20_0.05,0.0,0.0004275510602585402,0.0,0.0003261704268248246,0.008551903335804429,1.1488136383929698e-08,0.006333808686273793,0.042198980240047805,0.10452438994414276,0.0678071250828604,182.33883953333375,0.018309833481907845,0.09262384256968896,1.0,0.0,1.1934695827464263,0.0,18571.389709207073,0.010630323309063291,0.0,0.0,1.29452479382356,0.0018504723460258294,0.0013863009783866194,1.7062768026502093e-14,0.0010957335252896883,1.2033910497718145e-08,1.2033910497718145e-08,0.09260151768103242,1.2033910497718145e-08,0.006318715187565734,0.0937627733995517,0.09453487116843462,0.8804838297267755,0.8804838297267755,0.20586334672407247,1.9644226630528767,0.0,0.8979325940211614,0.25,1.0774961709976196,3.5971102192997932,0.20407023860348597,10.31776605049769,3.209000548546707e-05,nan,10.297179341316223,1.9863896068746575e-07,1.3321843147277832,0.005565789309912361,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0_diss0_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_framegabor_gaussian_sparse1_sklp0.16_tsyn1_tin1_tsmwarp_tdec1x16_tdgate1_tref0,synthetic,3,wave_bicharacteristic_control,0.0,0.00017904775721409966,0.0,0.0001574315817236017,0.0011213868710504558,1.2728503034266069e-08,3.255453416128846e-06,0.01870614836164247,0.008506273181384149,0.0013284520012170477,15.758591991580076,0.0,0.021274747150495998,0.0,0.0,0.2517518476925875,0.0,20418.4173481463,0.006965981635981342,0.0,0.0,0.046177403839498414,0.0012547161630646303,0.0008025231383282055,4.352788047286208e-15,0.0009187186730613213,1.175388035092289e-08,1.175388035092289e-08,0.021264633181352143,1.175388035092289e-08,3.1172953016488344e-06,0.020987494496035805,0.020789260139174967,0.04779294850768543,0.04779294850768543,0.04199702580081762,0.6285127855841481,0.0,0.016067426686514005,0.0,0.0,1.3742176738355394,0.01915666791648857,0.9737436251277044,3.42032038473664e-06,nan,1.5027221399112565,4.209898129710622e-08,0.0,0.001623815722326698
no_symbol,wave,proxy_0.20_0.05,0.0,0.00013842233825774505,0.0,2.803267892659278e-05,0.008527290829483213,1.5741587612891659e-09,0.0063091789100629585,0.0,0.10488816782728666,0.06759850491976573,159.28555310000016,3.5854171528626466e-05,0.04964030999690294,1.0,0.0,0.7610283490891258,0.01831201611397167,14083.526858063415,0.004786051145250288,0.0,0.0,1.1733853270610173,0.0007533553871326149,0.000526538111444097,2.0664938759129433e-14,0.0004925277523094943,1.6942479144170057e-09,1.6942479144170057e-09,0.04962465834493438,1.6942479144170057e-09,0.006293103545128058,0.05006167727212111,0.05013109929859638,0.0,0.0,0.0,1.2082545906305313,0.0,0.8979325940211614,0.25,1.0774961709976196,3.5971102192997932,0.6633079656296306,9.438708086808523,7.972968449195226,nan,5.392440567413966,0.33234350197017193,0.9094484473268191,0.0011752270305199393,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0_diss0_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_framegabor_gaussian_sparse1_sklp0.16_tsyn1_tin1_tsmwarp_tdec1x16_tdgate1_tref0,synthetic,3,wave_bicharacteristic_control,0.0,4.0830333694281544e-05,0.0,6.398936163760691e-06,0.0010985644707504584,8.831589143512322e-10,2.7707793747316366e-05,0.0,0.008555846289440724,0.0014327224975940022,2.490609366897877,4.072437868088313e-06,0.006674522825900941,0.0,0.0,0.2804047146132172,4.250769468358373e-06,15056.571969119976,0.002324857345384716,0.0,0.0,0.012249207941179499,0.00019122704331436311,0.00012640618585207613,3.990741270561638e-15,0.00014156423726221788,8.133373408444444e-10,8.133373408444444e-10,0.006672799225835075,8.133373408444444e-10,2.8569320616413434e-05,0.006556106311586482,0.006506224757328331,0.0,0.0,0.0,0.16928338110697844,0.0,0.016067426686514005,0.0,0.0,1.3742176738355394,0.05451874070386774,0.8852378191421565,0.8998522874195255,nan,0.8368399201827994,0.09357874383679311,0.08143623465207135,0.0002261046465223029
no_transport,wave,proxy_0.20_0.05,0.0,0.0004060984591786918,0.0,0.00031051178230730636,0.008554006794131257,9.905404932628962e-09,0.0063320860887567205,0.06310211869681047,0.10455916966829035,0.06780712474654946,64.27939069999987,0.018309833481907845,0.09042898829405506,1.0,0.0,1.1898940056562424,0.0,20399.213681401994,0.010097240340352679,0.0,0.0,1.2578862582643826,0.001743916608878256,0.001315859202198529,1.707368045784069e-14,0.0010209786790558912,1.042278027774124e-08,1.042278027774124e-08,0.09040820350249608,1.042278027774124e-08,0.006316888650568823,0.09164904337376356,0.09240218546862404,0.907536348948876,0.907536348948876,0.24878497418083298,1.9143509715795517,0.0,0.8979325940211614,0.25,1.0774961709976196,3.5971102192997932,0.0,10.33025892575582,3.212403377498655e-05,nan,10.303721328576406,1.9075610069307913e-07,0.0,0.005496307004553576,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0_diss0_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_framegabor_gaussian_sparse1_sklp0.16_tsyn1_tin1_tsmwarp_tdec1x16_tdgate1_tref0,synthetic,3,wave_bicharacteristic_control,0.0,0.00017268733722406422,0.0,0.00015175583355031934,0.001121667488652822,9.583448786919528e-09,7.487549160052164e-06,0.028282491477000533,0.008518657226408962,0.0013284511819551435,3.005891034477761,0.0,0.020981799737305785,0.0,0.0,0.29616321220365327,0.0,22006.14152762534,0.007285617803505478,0.0,0.0,0.00680767796910733,0.0010277299372400872,0.0006389207381346521,4.237597980201342e-15,0.0007816885624673372,8.443032548578137e-09,8.443032548578137e-09,0.020972835429734573,8.443032548578137e-09,7.537709346910612e-06,0.020620523861422053,0.02050045550621472,0.040086699852208085,0.040086699852208085,0.05392905406561763,0.6063433837675558,0.0,0.016067426686514005,0.0,0.0,1.3742176738355394,0.0,0.9564725695853099,3.3576844697933268e-06,nan,1.493504083476015,2.0947148411763044e-08,0.0,0.001671636625336685
no_transport_no_carrier,wave,proxy_0.20_0.05,0.0,0.03326957927654601,0.0,0.024450640405929234,0.007540107118176012,8.602672076563067e-05,0.006443032894619844,0.05084696629395088,0.10185733864394327,0.0678071263504939,53.86897540000003,0.018309833481907845,0.8178100561102232,1.0,0.0,3.705362190802892,0.0,100539.72191181283,0.23231289582327008,0.0,0.0,1.5001735786596935,0.10356592177413404,0.10328185535036027,2.196935266312123e-14,0.007098425388297376,7.034838967001633e-05,7.034838967001633e-05,0.8142420028646787,7.034838967001633e-05,0.0064546726061962545,0.816758764286836,0.8192294910550117,0.9659051514334149,0.9659051514334149,0.2306520055151648,3.932902773221334,0.0,0.8979325940211614,0.25,1.0774961709976196,3.5971102192997932,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.09149201827434202,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0_diss0_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_framegabor_gaussian_sparse1_sklp0.16_tsyn1_tin1_tsmwarp_tdec1x16_tdgate1_tref0,synthetic,3,wave_bicharacteristic_control,0.0,0.002385053006637975,0.0,0.00225262799751537,0.000889376108212391,6.954021249771453e-06,7.3169858346447366e-06,0.012274994297599828,0.008124548535206815,0.0013284523559866797,1.5759753655127802,0.0,0.021371801822244407,0.0,0.0,0.5077699604832917,0.0,118501.24361942295,0.03931692763279378,0.0,0.0,0.056521405622329754,0.05557669164830388,0.05545188483883223,1.6308572608260326e-15,0.0036273806608290863,5.211627096807155e-05,5.211627096807155e-05,0.01964140489435926,5.211627096807155e-05,3.161432868938702e-05,0.01906796821516274,0.018637853759149642,0.04651909879242401,0.04651909879242401,0.03354133824857319,0.2523363629596179,0.0,0.016067426686514005,0.0,0.0,1.3742176738355394,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.03353973786271356
randomized_metadata,wave,proxy_0.20_0.05,0.0,0.025950539461013656,0.0,0.025759280056162324,0.008588015212606276,2.80564297527566e-09,0.00639448456867184,0.00799799936794443,0.13100920436489913,0.04138220922969696,179.35079026666668,0.46034536386529606,0.7246318235993385,1.0,0.0,7.914780696233113,0.460917629301548,90461.32338721554,0.21645141501600543,0.0,0.0,1.4940666904052098,0.0008316011274776732,0.0008287022307437534,4.649659153163351e-15,6.5020807445156e-05,3.680606865582211e-09,3.680606865582211e-09,0.7217428671816984,3.680606865582211e-09,0.006476696192597349,0.7298734212915102,0.7348156546552976,0.8864474499391185,0.8864474499391185,0.07887781487079337,4.500660498936971,0.0,0.8979325940211614,0.25,1.0774961709976196,3.5971102192997932,0.1717797534333335,5.211907356977463,11.428728938102722,nan,7.35963648557663,0.9537880358596643,0.0,0.12244173356642325,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0_diss0_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_framegabor_gaussian_sparse1_sklp0.16_tsyn1_tin1_tsmwarp_tdec1x16_tdgate1_tref0,synthetic,3,wave_bicharacteristic_control,0.0,0.0024909330677703174,0.0,0.002472809151905161,0.0011038273427321312,1.4158616122641627e-09,1.6494880421562683e-05,0.011779404057102547,0.009860828168393,0.0005228478723108975,8.236925049976774,0.0028032082369442287,0.021178651011355448,0.0,0.0,2.5622219617034148,0.0028803139292631324,108279.28156879923,0.04305931882509316,0.0,0.0,0.010256402234963536,5.9216866988739085e-05,5.658041351591548e-05,2.1391635699737187e-15,3.310285681010438e-05,1.1249463404011202e-10,1.1249463404011202e-10,0.022664366566212357,1.1249463404011202e-10,8.165200855397943e-05,0.020788403077827092,0.020435982777075576,0.02510092264466773,0.02510092264466773,0.06660582173315592,0.05047336685369394,0.0,0.016067426686514005,0.0,0.0,1.3742176738355394,0.0062289956543180895,0.14649820235632943,0.911496187700242,nan,0.42930110154082873,0.33911080236197555,0.0,0.04565084310611468
full,wave,proxy_0.20_0.05,0.0,3.3206625829507175e-05,0.0,1.268250092797037e-05,0.007757805941057288,2.870381585533343e-10,0.006346860198795589,0.01926171533866889,0.043473853884885706,0.10882587022044592,202.4365458000002,4.461263165467244e-05,0.05680394141624371,1.0,0.0,2.7650796954209604,0.017543323105201125,564232.3043212891,0.007910909247584641,0.0,0.0,1.4345063467820485,0.0001357158929143528,8.847823679995297e-05,8.488138216733386e-15,9.65754685845847e-05,2.9230337652656296e-10,2.9230337652656296e-10,0.0568013257967929,2.9230337652656296e-10,0.0063421837985515594,0.058722241781651974,0.05975536691645781,0.9654531255364418,0.9654531255364418,-0.12301465129065844,0.9132822627822558,0.0,0.4967314936220646,0.25,1.0774961709976196,0.5932435983171066,0.2154484607486261,4.357038766145706,4.6608936587969465,nan,1.9247056071956952,0.5370122802754244,1.398527021209399,0.0012725583583232947,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0_diss0_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_framegabor_gaussian_sparse1_sklp0.16_tsyn1_tin1_tsmwarp_tdec1x16_tdgate1_tref0,synthetic,3,wave_chirp_propagation,0.0,7.375603108381398e-06,0.0,6.2181123740309845e-06,0.0008654121663035636,1.5833620890709888e-10,5.912021286094594e-06,0.012964028526896995,0.004021378409643961,0.0004055761234119938,2.1268262050750093,2.6183081001463607e-05,0.0034287743205671556,0.0,0.0,0.6954706006861889,7.334799622470443e-06,168953.16175640497,0.0031336813920410087,0.0,0.0,0.031741479796333814,1.7298502806020028e-05,2.71897746551352e-05,3.5258888564945e-15,2.390186324798563e-05,1.7993713772643146e-10,1.7993713772643146e-10,0.003426828151255683,1.7993713772643146e-10,2.3308159424637074e-05,0.003300381814856399,0.003276944748308714,0.07099455675462239,0.07099455675462239,0.040907431759842225,0.16139936514864406,0.0,0.013847329607521936,0.0,0.0,0.13730731467394844,0.009630710558296904,0.14137541467857437,0.6725801910038706,nan,0.5079252067209922,0.08548708849051828,0.03220999459863537,0.00043691713424763053
full_no_flow_supervision,wave,proxy_0.20_0.05,0.0,6.371886959439305e-05,0.0,4.468162266056829e-05,0.003916642723690226,3.0668776962932165e-10,0.006363821775367898,0.014694895938090567,0.05900470137324495,0.10141042097368173,266.6835765333335,0.003924757547792979,0.0667261783964932,1.0,0.0,2.449679865501821,0.014934081467799842,521294.7887369792,0.01041372705124862,0.0,0.0,1.418240134914716,0.0001294157176137863,9.459393398477307e-05,8.705414140867755e-15,8.48369782033842e-05,3.2608007642422515e-10,3.2608007642422515e-10,0.06672476992631952,3.2608007642422515e-10,0.006538565212395042,0.06771046031887333,0.06825414005046089,0.9041375290188525,0.9041375290188525,0.12192510860040782,1.0686919043461482,0.0,0.4967314936220646,0.25,1.0774961709976196,0.5932435983171066,0.21057986550860935,4.239177574714025,4.389940480391185,nan,1.9855691691239674,0.7207606149216493,1.386155048178302,0.0020661058830834613,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0_diss0_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_framegabor_gaussian_sparse1_sklp0.16_tsyn1_tin1_tsmwarp_tdec1x16_tdgate1_tref0,synthetic,3,wave_chirp_propagation,0.0,3.401398208232828e-05,0.0,3.384114042788868e-05,0.004352582631664354,1.571182398602178e-10,2.841600078113938e-05,0.005895695097526087,0.014409429175375155,0.0069610138452533945,57.13733758922754,0.002179212878152273,0.011109283219795488,0.0,0.0,1.1441847672781047,0.0015504408076059677,97106.9489099576,0.006266374777280636,0.0,0.0,0.03464876259858557,1.1818065636068911e-05,2.345247380222276e-05,4.621616150405098e-15,1.1132050706458956e-05,1.5829804437118535e-10,1.5829804437118535e-10,0.011110659077618098,1.5829804437118535e-10,0.00018539894221764438,0.011045748084534335,0.011223174575446061,0.07708021239375061,0.07708021239375061,0.21580457727027055,0.3615302025490755,0.0,0.013847329607521936,0.0,0.0,0.13730731467394844,0.018649006452293847,0.10197262503578317,0.5735449628828151,nan,0.45391208032266006,0.3501967387197486,0.05223150972411605,0.0007271395980702063
identity_transport,wave,proxy_0.20_0.05,0.0,9.833507177366603e-05,0.0,8.372482754263426e-05,0.0013165178499876776,5.730159322056406e-10,0.0063393787131644785,0.04874581119252576,0.0655346131663666,0.10888490246401893,209.78542083333377,0.017541948705911636,0.10673568770289421,1.0,0.0,3.1590340149899325,0.0,544098.6053059896,0.014268557283988533,0.0,0.0,1.390945941209793,0.00018116417262111403,0.00012832837455789559,1.3341336060752976e-14,0.0001188352694043715,5.970767994606385e-10,5.970767994606385e-10,0.10673282264421384,5.970767994606385e-10,0.006324274581857026,0.10810413289194305,0.10917398318027456,0.8643622125188509,0.8643622125188509,0.21073942965207001,0.9676653643449148,0.0,0.4967314936220646,0.25,1.0774961709976196,0.5932435983171066,0.21058424251774946,4.589627355337143,1.4893415292741944e-05,nan,5.282602955897649,3.542586946754985e-07,1.3321843147277832,0.00554948430605388,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0_diss0_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_framegabor_gaussian_sparse1_sklp0.16_tsyn1_tin1_tsmwarp_tdec1x16_tdgate1_tref0,synthetic,3,wave_chirp_propagation,0.0,1.523745409848698e-05,0.0,1.3801509218203605e-05,0.00014450672588856502,7.405789189640237e-11,2.15526347460494e-06,0.0387395395939621,0.005144202871802847,0.00033628637061694315,32.26612179031638,0.0,0.009593181050734725,0.0,0.0,1.455334830997393,0.0,73294.18065263251,0.0020767692415820964,0.0,0.0,0.06517219450142667,3.865256675989742e-05,1.9262802773205244e-05,2.251982898978809e-15,4.141269656972498e-05,1.570152838124184e-10,1.570152838124184e-10,0.009592770257386488,1.570152838124184e-10,2.1093225252943217e-06,0.009860794725263798,0.010178928187062288,0.03131073706358362,0.03131073706358362,0.0820808357454631,0.2574891393478739,0.0,0.013847329607521936,0.0,0.0,0.13730731467394844,0.019557494703958126,0.15293548126208353,1.2485901775293563e-06,nan,0.7423207193597476,2.7640052052554362e-08,0.0,0.0024501918555150906
