track,scenario,model,loss_config,ablation,runs,mean_primary_error,std_primary_error,best_primary_error,best_seed,best_run_id,source_dirs
empirical_closure,helmholtz_dirichlet_control,MiNO-Plus,proxy_0.02_0.02,full,1,0.2885858118534088,0.0,0.2885858118534088,7,smoke_helmholtz_dirichlet_control_proxy_0p02_0p02_full_7,generated/empirical_closure/smoke_quick_v2
empirical_closure,helmholtz_highk_positive,MiNO-Plus,proxy_0.02_0.02,full,7,0.4131154886313847,0.12155644106445147,0.34332243849833805,19,stage3_helmholtz_highk_positive_proxy_0p02_0p02_full_19,generated/empirical_closure/ablation_core;generated/empirical_closure/smoke_quick_v2;generated/empirical_closure/stage3
empirical_closure,helmholtz_highk_positive,MiNO-Plus,proxy_0.02_0.02,no_local_refine,1,0.5583423028389612,0.0,0.5583423028389612,7,ablation_core_helmholtz_highk_positive_proxy_0p02_0p02_no_local_refine_7,generated/empirical_closure/ablation_core
empirical_closure,helmholtz_variable_control,MiNO-Plus,field_only,full,3,0.030154785917450983,0.0006391989050005582,0.029274148245652516,11,proxy_sweep_helmholtz_variable_control_field_only_full_11,generated/empirical_closure/proxy_sweep
empirical_closure,helmholtz_variable_control,MiNO-Plus,proxy_0.02_0.02,full,7,0.043415782352288566,0.027884954289323995,0.030166978482156992,11,proxy_sweep_helmholtz_variable_control_proxy_0p02_0p02_full_11,generated/empirical_closure/ablation_core;generated/empirical_closure/proxy_sweep;generated/empirical_closure/smoke_quick_v2
empirical_closure,helmholtz_variable_control,MiNO-Plus,proxy_0.02_0.02,no_local_refine,3,0.09380760499172741,0.00012202969022793176,0.09366962934533755,7,ablation_core_helmholtz_variable_control_proxy_0p02_0p02_no_local_refine_7,generated/empirical_closure/ablation_core
empirical_closure,helmholtz_variable_control,MiNO-Plus,proxy_0.02_0.02,no_symbol,3,0.03335126546315021,0.00041831552333870326,0.03305344035228094,7,ablation_core_helmholtz_variable_control_proxy_0p02_0p02_no_symbol_7,generated/empirical_closure/ablation_core
empirical_closure,helmholtz_variable_control,MiNO-Plus,proxy_0.02_0.02,no_transport,3,0.031808738648477525,0.0006814768949380119,0.030909452587366104,11,ablation_core_helmholtz_variable_control_proxy_0p02_0p02_no_transport_11,generated/empirical_closure/ablation_core
empirical_closure,wave_synth,MiNO-Plus,field_only,full,4,0.2801533176098019,0.2132536496074553,0.15416636690497398,7,proxy_sweep_wave_synth_field_only_full_7,generated/empirical_closure/ablation_micro;generated/empirical_closure/proxy_sweep
empirical_closure,wave_synth,MiNO-Plus,field_only,no_local_refine,1,0.5645052194595337,0.0,0.5645052194595337,7,ablation_wave_synth_field_only_no_local_refine_7,generated/empirical_closure/ablation_micro
